DATA;FENOMENI
2018-08-01;
2018-08-02;
2018-08-03;
2018-08-04;
2018-08-05;temporale
2018-08-06;temporale
2018-08-07;temporale
2018-08-08;temporale
2018-08-09;
2018-08-10;
2018-08-11;
2018-08-12;
2018-08-13;
2018-08-14;
2018-08-15;temporale
2018-08-16;pioggia
2018-08-17;
2018-08-18;temporale
2018-08-19;temporale
2018-08-20;temporale
2018-08-21;temporale
2018-08-22;temporale
2018-08-23;temporale
2018-08-24;temporale
2018-08-25;temporale
2018-08-26;
2018-08-27;
2018-08-28;
2018-08-29;
2018-08-30;
2018-08-31;
