LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;2018-04-01;14;14;15;8;65;18;38;50;0;1015;0;0;
Palermo;2018-04-02;13;9;17;6;63;20;13;22;0;1018;0;0;
Palermo;2018-04-03;14;9;18;9;70;21;8;18;0;1017;0;0;
Palermo;2018-04-04;15;14;18;12;78;20;14;37;0;1017;0;0;
Palermo;2018-04-05;15;12;17;12;81;19;17;31;0;1017;0;0;
Palermo;2018-04-06;14;11;16;10;78;17;12;28;0;1018;0;0;
Palermo;2018-04-07;14;9;19;9;73;21;10;26;0;1016;0;0;
Palermo;2018-04-08;18;12;22;11;67;19;10;30;0;1009;0;0;
Palermo;2018-04-09;15;12;18;11;76;19;15;54;0;1013;0;0;pioggia 
Palermo;2018-04-10;14;11;17;9;73;19;10;26;0;1013;0;0;pioggia 
Palermo;2018-04-11;17;14;20;13;76;14;10;26;0;1005;0;0;pioggia 
Palermo;2018-04-12;16;13;19;12;79;14;11;30;0;1008;0;0;
Palermo;2018-04-13;16;11;22;11;73;19;11;35;0;1013;0;0;
Palermo;2018-04-14;18;14;23;10;60;19;23;61;0;1008;0;0;pioggia 
Palermo;2018-04-15;17;15;19;13;77;11;10;24;0;1005;0;0;pioggia temporale 
Palermo;2018-04-16;16;15;18;12;79;20;18;31;0;1013;0;0;pioggia 
Palermo;2018-04-17;16;13;17;12;80;22;10;18;0;1019;0;0;
Palermo;2018-04-18;16;14;18;13;83;19;11;30;0;1021;0;0;pioggia temporale 
Palermo;2018-04-19;16;13;20;13;80;20;13;28;0;1022;0;0;
Palermo;2018-04-20;16;13;19;14;85;20;7;18;0;1020;0;0;
Palermo;2018-04-21;16;14;19;15;88;16;8;15;0;1019;0;0;nebbia 
Palermo;2018-04-22;18;15;20;15;81;19;11;21;0;1019;0;0;
Palermo;2018-04-23;18;14;22;13;76;17;12;26;0;1019;0;0;
Palermo;2018-04-24;18;13;24;12;66;19;9;24;0;1019;0;0;
Palermo;2018-04-25;18;14;23;13;73;19;9;21;0;1018;0;0;
Palermo;2018-04-26;19;15;24;12;66;18;11;28;0;1013;0;0;
Palermo;2018-04-27;18;15;25;13;74;19;14;46;0;1009;0;0;pioggia 
Palermo;2018-04-28;19;14;24;11;62;18;13;30;0;1010;0;0;pioggia 
Palermo;2018-04-29;20;18;24;14;70;21;14;24;0;1010;0;0;
Palermo;2018-04-30;18;17;19;14;77;19;12;21;0;1015;0;0;
