DATA;FENOMENI
2018-12-01;pioggia
2018-12-02;pioggia
2018-12-03;
2018-12-04;
2018-12-05;
2018-12-06;temporale
2018-12-07;pioggia
2018-12-08;
2018-12-09;
2018-12-10;
2018-12-11;pioggia
2018-12-12;pioggia
2018-12-13;
2018-12-14;temporale
2018-12-15;pioggia
2018-12-16;
2018-12-17;pioggia
2018-12-18;pioggia
2018-12-19;
2018-12-20;
2018-12-21;
2018-12-22;
2018-12-23;
2018-12-24;
2018-12-25;pioggia
2018-12-26;
2018-12-27;
2018-12-28;
2018-12-29;
2018-12-30;pioggia
2018-12-31;temporale
