LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;2018-06-01;22;20;25;19;81;20;22;31;0;1018;0;0;
Palermo;2018-06-02;23;18;30;17;71;21;13;39;0;1017;0;0;
Palermo;2018-06-03;23;20;29;19;75;20;8;21;0;1015;0;0;
Palermo;2018-06-04;22;20;24;18;78;18;13;30;0;1013;0;0;
Palermo;2018-06-05;22;18;24;18;78;19;13;22;0;1012;0;0;
Palermo;2018-06-06;23;19;27;17;69;19;20;37;0;1014;0;0;
Palermo;2018-06-07;23;21;27;19;77;19;14;31;0;1013;0;0;
Palermo;2018-06-08;22;21;22;18;81;21;20;31;0;1013;0;0;
Palermo;2018-06-09;22;20;23;17;76;19;15;26;0;1015;0;0;
Palermo;2018-06-10;23;19;28;17;69;20;15;31;0;1013;0;0;
Palermo;2018-06-11;23;20;27;17;68;20;14;39;0;1011;0;0;
Palermo;2018-06-12;23;22;24;19;83;19;14;26;0;1011;0;0;
Palermo;2018-06-13;22;19;24;18;78;19;21;33;0;1010;0;0;
Palermo;2018-06-14;21;19;22;17;77;17;32;42;0;1006;0;0;pioggia 
Palermo;2018-06-15;22;21;23;18;80;21;21;28;0;1009;0;0;
Palermo;2018-06-16;22;21;23;19;83;18;21;28;0;1011;0;0;
Palermo;2018-06-17;22;19;24;19;80;20;11;21;0;1014;0;0;
Palermo;2018-06-18;23;20;24;19;78;21;10;17;0;1014;0;0;
Palermo;2018-06-19;24;21;26;20;80;20;16;24;0;1014;0;0;
Palermo;2018-06-20;24;22;26;20;77;19;12;30;0;1017;0;0;pioggia temporale 
Palermo;2018-06-21;23;20;25;19;78;19;7;15;0;1017;0;0;
Palermo;2018-06-22;23;20;25;19;79;21;10;21;0;1015;0;0;
Palermo;2018-06-23;24;22;26;18;68;18;15;31;0;1014;0;0;
Palermo;2018-06-24;24;20;25;18;72;20;16;26;0;1014;0;0;
Palermo;2018-06-25;24;22;26;17;64;20;17;30;0;1012;0;0;pioggia temporale 
Palermo;2018-06-26;23;23;25;16;64;20;21;31;0;1012;0;0;pioggia temporale 
Palermo;2018-06-27;24;23;25;17;64;21;16;31;0;1011;0;0;
Palermo;2018-06-28;24;22;25;18;72;20;16;28;0;1012;0;0;
Palermo;2018-06-29;24;22;27;15;60;18;23;33;0;1010;0;0;
Palermo;2018-06-30;24;21;27;17;64;21;21;39;0;1011;0;0;
