LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;2018-05-01;19;14;22;15;77;17;16;41;0;1010;0;0;
Palermo;2018-05-02;19;16;24;13;70;17;16;37;0;998;0;0;pioggia temporale 
Palermo;2018-05-03;16;14;18;13;85;13;25;50;0;996;0;0;pioggia temporale 
Palermo;2018-05-04;16;15;17;11;74;17;31;41;0;1007;0;0;pioggia 
Palermo;2018-05-05;17;15;19;11;70;20;19;33;0;1013;0;0;pioggia 
Palermo;2018-05-06;17;14;19;14;81;20;15;30;0;1015;0;0;
Palermo;2018-05-07;17;14;19;14;81;21;12;18;0;1014;0;0;
Palermo;2018-05-08;17;14;19;13;80;20;9;17;0;1009;0;0;
Palermo;2018-05-09;17;13;19;13;79;21;8;15;0;1008;0;0;
Palermo;2018-05-10;18;16;20;15;81;19;10;17;0;1011;0;0;
Palermo;2018-05-11;18;16;20;16;84;19;12;18;0;1016;0;0;
Palermo;2018-05-12;19;16;21;15;79;19;21;33;0;1016;0;0;
Palermo;2018-05-13;19;16;23;15;75;20;11;28;0;1013;0;0;
Palermo;2018-05-14;17;16;19;12;70;19;15;39;0;1016;0;0;pioggia temporale 
Palermo;2018-05-15;16;13;18;10;68;20;13;26;0;1016;0;0;
Palermo;2018-05-16;16;12;19;11;71;20;11;21;0;1016;0;0;
Palermo;2018-05-17;18;14;21;14;77;21;11;28;0;1015;0;0;
Palermo;2018-05-18;19;18;24;15;79;20;18;39;0;1013;0;0;pioggia 
Palermo;2018-05-19;19;16;22;15;79;20;17;33;0;1012;0;0;
Palermo;2018-05-20;20;18;23;17;82;19;16;37;0;1011;0;0;
Palermo;2018-05-21;20;17;21;17;86;20;11;26;0;1011;0;0;
Palermo;2018-05-22;20;18;22;17;84;16;9;26;0;1014;0;0;pioggia 
Palermo;2018-05-23;19;18;19;16;85;19;18;30;0;1016;0;0;
Palermo;2018-05-24;19;17;21;16;80;20;11;21;0;1018;0;0;
Palermo;2018-05-25;20;16;22;16;78;21;20;37;0;1015;0;0;
Palermo;2018-05-26;21;17;24;18;82;20;13;33;0;1017;0;0;
Palermo;2018-05-27;22;19;27;18;77;19;11;26;0;1017;0;0;
Palermo;2018-05-28;22;20;25;18;76;21;13;31;0;1016;0;0;
Palermo;2018-05-29;23;21;28;18;74;19;14;31;0;1012;0;0;
Palermo;2018-05-30;21;19;23;18;78;20;10;22;0;1014;0;0;
Palermo;2018-05-31;22;19;24;18;81;18;16;30;0;1016;0;0;
