DATA;FENOMENI
2018-03-01;
2018-03-02;
2018-03-03;pioggia
2018-03-04;
2018-03-05;pioggia
2018-03-06;pioggia
2018-03-07;pioggia
2018-03-08;
2018-03-09;pioggia
2018-03-10;
2018-03-11;
2018-03-12;temporale
2018-03-13;
2018-03-14;
2018-03-15;
2018-03-16;
2018-03-17;pioggia
2018-03-18;pioggia
2018-03-19;
2018-03-20;temporale
2018-03-21;pioggia
2018-03-22;pioggia
2018-03-23;pioggia
2018-03-24;pioggia
2018-03-25;pioggia
2018-03-26;pioggia
2018-03-27;pioggia
2018-03-28;pioggia
2018-03-29;
2018-03-30;
2018-03-31;
