DATA;FENOMENI
2018-10-01;
2018-10-02;
2018-10-03;temporale
2018-10-04;pioggia
2018-10-05;pioggia
2018-10-06;pioggia
2018-10-07;
2018-10-08;
2018-10-09;
2018-10-10;
2018-10-11;pioggia
2018-10-12;temporale
2018-10-13;temporale
2018-10-14;pioggia
2018-10-15;pioggia
2018-10-16;
2018-10-17;
2018-10-18;temporale
2018-10-19;
2018-10-20;
2018-10-21;
2018-10-22;temporale
2018-10-23;pioggia
2018-10-24;
2018-10-25;
2018-10-26;
2018-10-27;
2018-10-28;
2018-10-29;temporale
2018-10-30;
2018-10-31;pioggia
