LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Palermo;2018-09-01;25;21;28;19;69;20;8;24;0;1016;0;0;
Palermo;2018-09-02;25;23;27;20;71;20;12;18;0;1016;0;0;
Palermo;2018-09-03;24;21;27;19;71;21;9;17;0;1015;0;0;
Palermo;2018-09-04;25;21;29;17;61;20;15;28;0;1014;0;0;
Palermo;2018-09-05;26;21;29;19;64;20;11;18;0;1014;0;0;
Palermo;2018-09-06;26;22;28;20;70;22;9;22;0;1012;0;0;
Palermo;2018-09-07;26;22;29;21;76;21;12;31;0;1013;0;0;
Palermo;2018-09-08;26;23;27;21;76;22;15;22;0;1017;0;0;
Palermo;2018-09-09;25;21;27;20;74;20;15;54;0;1019;0;0;
Palermo;2018-09-10;25;23;27;20;72;20;11;30;0;1020;0;0;
Palermo;2018-09-11;25;24;27;20;74;20;20;33;0;1022;0;0;
Palermo;2018-09-12;25;21;28;19;69;21;17;28;0;1021;0;0;
Palermo;2018-09-13;24;21;26;17;66;20;10;21;0;1016;0;0;
Palermo;2018-09-14;24;22;27;18;69;20;12;18;0;1015;0;0;pioggia 
Palermo;2018-09-15;25;23;26;19;72;20;17;26;0;1019;0;0;
Palermo;2018-09-16;24;20;27;19;73;20;11;26;0;1021;0;0;
Palermo;2018-09-17;24;21;28;19;71;19;7;13;0;1020;0;0;
Palermo;2018-09-18;25;22;27;20;72;20;11;24;0;1019;0;0;
Palermo;2018-09-19;26;24;29;19;67;20;14;30;0;1017;0;0;pioggia 
Palermo;2018-09-20;26;23;28;19;66;21;19;30;0;1016;0;0;pioggia temporale 
Palermo;2018-09-21;25;24;27;18;64;20;18;31;0;1013;0;0;pioggia 
Palermo;2018-09-22;25;23;27;20;71;20;13;24;0;1016;0;0;pioggia 
Palermo;2018-09-23;24;21;27;21;81;18;8;13;0;1019;0;0;
Palermo;2018-09-24;25;23;28;20;76;20;17;37;0;1016;0;0;
Palermo;2018-09-25;24;21;26;19;75;19;15;31;0;1019;0;0;pioggia 
Palermo;2018-09-26;22;20;24;12;52;20;33;42;0;1024;0;0;
Palermo;2018-09-27;20;19;23;9;48;20;31;42;0;1023;0;0;pioggia 
Palermo;2018-09-28;21;19;23;9;47;20;19;33;0;1015;0;0;
Palermo;2018-09-29;22;17;24;13;58;21;11;18;0;1014;0;0;
Palermo;2018-09-30;21;17;24;16;72;21;8;13;0;1016;0;0;
