Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-01-01;01:00;VIALE DIANA ;F;2;13,342569;38,160163
2018-01-01;03:30;VIALE REGIONE SICILIANA S.E. ;C;;13,379696;38,09062
2018-01-01;03:00;VIA ALLA FALCONARA ;C;;13,292086;38,117536
2018-01-01;08:00;VIA SAURO NAZARIO ;F;1;13,332412;38,122549
2018-01-01;16:55;VIALE REGIONE SICILIANA N.O. ;C;;13,32867;38,117358
2018-01-01;13:15;VIA MALASPINA ;F;1;13,347778;38,124183
2018-01-01;17:00;VIA OLIO DI LINO ;F;1;13,326955;38,085677
2018-01-02;09:15;VIA MESSINA MARINE ;C;;13,383035;38,10679
2018-01-02;11:30;VIA SUNSERI GIUSEPPE ;C;;13,338802;38,108123
2018-01-02;07:50;VIA PANDOLFINI ;C;;13,307633;38,113376
2018-01-02;18:00;VIA BELGIO ;C;;13,331055;38,151747
2018-01-02;18:30;VIA MAJALI GIULIANO ;F;2;13,359745;38,109241
2018-01-02;22:00;VIA DANTE ;C;;13,34382;38,122068
2018-01-03;09:45;VIA GRAVINA AMMIRAGLIO ;F;1;13,358613;38,125014
2018-01-03;14:00;PIAZZA MARINA ;F;2;13,36765;38,118175
2018-01-02;07:04;VIA POLLACI GIUSEPPE ;C;;13,329774;38,102835
2018-01-02;11:00;VIA PIANO DI GALLO ;F;1;13,328453;38,208464
2018-01-03;15:30;VIALE CAMPANIA ;F;1;13,340003;38,144234
2018-01-03;16:20;VIALE DE GASPERI ALCIDE ;R;;13,3355;38,150141
2018-01-03;21:00;VIA RAMPOLLA MARIANO CARD. ;C;;13,365065;38,149147
2018-01-03;21:15;VIA BASILE ERNESTO ;C;;13,353556;38,10712
2018-01-04;01:00;VIA CRISPI FRANCESCO ;C;;13,362375;38,126988
2018-01-04;06:00;CORSO CALATAFIMI ;F;2;13,345234;38,109118
2018-01-04;10:00;VIA PIPITONE FEDERICO GIUSEPPE ;C;;13,3461;38,136151
2018-01-04;10:15;VIA RIZZO AMMIRAGLIO ;F;1;13,358489;38,14339
2018-01-04;11:30;VIA MONTE S.CALOGERO ;C;;13,326684;38,151831
2018-01-04;11:00;VIA EUGENIO L'EMIRO ;F;1;13,341666;38,114628
2018-01-05;09:30;VIALE REGIONE SICILIANA S.E. ;F;1;13,33461;38,096784
2018-01-04;14:30;VIALE COTTOLENGO ;C;;13,324313;38,169103
2018-01-05;16:00;VIA CRISTODULO AMMIRAGLIO ;F;1;13,426032;38,096792
