ID,Via,Coordinate,Fondo Stradale,Pavimentazione,Illuminazione,Data,Ora,Tipo,Meteo,Visibilita,N. Illesi,N. Feriti,N. Prognosi Riservata,N. Deceduti
3621540,VIA ENRICO DELL'ACQUA,"(41.86544,12.65032)",Bagnato (umidit? in atto),Asfaltata,Sufficiente,01/01/2018,02:00,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Buona,3,0,0,0
3621622,VIA DI TOR VERGATA,"(41.83425,12.61964)",Asciutto,Asfaltata,Sufficiente,01/01/2018,01:15,Scontro frontale fra veicoli in marcia,Sereno,Sufficiente,2,2,0,0
3621640,VIA DI DRAGONE,"(41.78343,12.33258)",Asciutto,Con buche,Insufficiente,01/01/2018,04:30,Veicolo in marcia contro ostacolo accidentale,Sereno,Buona,2,0,0,0
3621646,PIAZZA CESARIO CONSOLE,"(41.72738,12.28571)",Asciutto,Asfaltata,Insufficiente,01/01/2018,01:50,Scontro frontale/laterale DX fra veicoli in marcia,Sereno,Buona,4,0,0,0
3621750,VIALE DELLE GARDENIE,"(41.88587,12.56439)",Bagnato (umidit? in atto),Asfaltata,Sufficiente,01/01/2018,00:30,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Sufficiente,1,3,0,0
3621850,VIA DEL MARE,"(41.84026,12.46323)",Asciutto,Asfaltata,Ore Diurne,01/01/2018,10:15,Veicolo in marcia contro ostacolo fisso,Sereno,Buona,0,1,0,0
3622030,VIA PRENESTINA,"(41.88956,12.68998)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,12:00,Scontro frontale fra veicoli in marcia,Pioggia in atto,Buona,3,0,0,0
3622032,VIA CASILINA,"(41.86376,12.66257)",Asciutto,Asfaltata,Sufficiente,01/01/2018,07:00,Scontro frontale fra veicoli in marcia,Nuvoloso,Buona,2,2,0,0
3622033,VIA DI FONTANA CANDIDA,"(41.85938,12.6892)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,10:00,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,3,1,0,0
3622269,VIA QUIRINO MAJORANA,"(41.86827,12.46223)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,07:30,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,1,1,0,0
3622279,VIALE GIUSEPPE SIRTORI,"(41.85556,12.44856)",Bagnato (umidit? in atto),Asfaltata,Ore Diurne,01/01/2018,13:30,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,2,0,0,0
3622293,VIA CRISTOFORO COLOMBO,"(41.8602,12.49801)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,11:45,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,4,0,0,0
3622299,LUNGOTEVERE DELLA FARNESINA,"(41.89254,12.46948)",Bagnato (pioggia),Asfaltata,Sufficiente,01/01/2018,06:30,Veicolo in marcia contro veicoli in sosta,Nuvoloso,Buona,1,0,0,0
3622302,VIA DEL SERAFICO,"(41.82971,12.48473)",Bagnato (umidit? in atto),Asfaltata,Ore Diurne,01/01/2018,07:10,Veicolo in marcia contro veicolo in sosta,Nuvoloso,Sufficiente,1,0,0,0
3622303,CORSO DI FRANCIA,"(41.93671,12.47168)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,09:50,Tamponamento,Pioggia in atto,Buona,2,0,0,0
3622308,VIA SARSINA,"(41.79613,12.40619)",Bagnato (pioggia),Strada pavimentata dissestata,Sufficiente,02/01/2018,00:45,Scontro frontale fra veicoli in marcia,Nuvoloso,Buona,4,0,0,0
3622312,VIA LUCHINO DAL VERME,"(41.88877,12.53573)",Bagnato (umidit? in atto),Asfaltata,Ore Diurne,01/01/2018,07:45,Veicolo in marcia contro veicoli in sosta,Nuvoloso,Buona,2,0,0,0
3622313,VIA DI GROTTA PERFETTA,"(41.84673,12.48875)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,11:00,Scontro frontale/laterale SX fra veicoli in marcia,Sereno,Buona,3,0,0,0
3622328,VIA DI MACCHIA PALOCCO,"(,)",,,,01/01/2018,04:12,Veicolo in marcia contro ostacolo accidentale,,,1,0,0,0
3622329,VIA DEL FORNETTO,"(41.87141,12.46376)",Bagnato (pioggia),Asfaltata,Ore Diurne,01/01/2018,18:00,Veicolo in marcia contro veicolo in sosta,Nuvoloso,Buona,2,0,0,0
3622336,VIA MARMORATA,"(41.87872,12.47916)",Bagnato (umidit? in atto),Lastricata,Sufficiente,01/01/2018,02:05,Veicolo in marcia contro ostacolo fisso,Nuvoloso,Sufficiente,2,0,0,0
3622354,VIA DELLA CAMILLUCCIA,"(41.93285,12.44422)",Asciutto,Asfaltata,Sufficiente,01/01/2018,02:40,Tamponamento,Sereno,Buona,3,0,0,0
3622358,VIALE PALMIRO TOGLIATTI,"(41.85519,12.57139)",Bagnato (pioggia),Asfaltata,Sufficiente,01/01/2018,05:00,Veicolo in marcia contro veicoli in sosta,Nuvoloso,Sufficiente,2,0,0,0
3622361,VIALE PALMIRO TOGLIATTI,"(41.87821,12.57275)",Bagnato (umidit? in atto),Asfaltata,Sufficiente,01/01/2018,19:00,Veicolo in marcia contro ostacolo fisso,Nuvoloso,Buona,0,1,0,0
