DATA;FENOMENI
2018-01-01;
2018-01-02;pioggia
2018-01-03;
2018-01-04;
2018-01-05;
2018-01-06;
2018-01-07;
2018-01-08;
2018-01-09;pioggia
2018-01-10;pioggia
2018-01-11;temporale
2018-01-12;pioggia
2018-01-13;
2018-01-14;
2018-01-15;
2018-01-16;
2018-01-17;
2018-01-18;
2018-01-19;
2018-01-20;
2018-01-21;
2018-01-22;
2018-01-23;
2018-01-24;
2018-01-25;
2018-01-26;
2018-01-27;
2018-01-28;
2018-01-29;
2018-01-30;
2018-01-31;
2018-02-01;pioggia
2018-02-02;pioggia
2018-02-03;pioggia
2018-02-04;
2018-02-05;pioggia
2018-02-06;temporale
2018-02-07;pioggia
2018-02-08;pioggia
2018-02-09;pioggia
2018-02-10;pioggia
2018-02-11;temporale
2018-02-12;pioggia
2018-02-13;temporale
2018-02-14;temporale
2018-02-15;
2018-02-16;
2018-02-17;
2018-02-18;pioggia
2018-02-19;pioggia
2018-02-20;pioggia
2018-02-21;pioggia
2018-02-22;
2018-02-23;pioggia
2018-02-24;
2018-02-25;pioggia
2018-02-26;
2018-02-27;
2018-02-28;
2018-03-01;
2018-03-02;
2018-03-03;pioggia
2018-03-04;
2018-03-05;pioggia
2018-03-06;pioggia
2018-03-07;pioggia
2018-03-08;
2018-03-09;pioggia
2018-03-10;
2018-03-11;
2018-03-12;temporale
2018-03-13;
2018-03-14;
2018-03-15;
2018-03-16;
2018-03-17;pioggia
2018-03-18;pioggia
2018-03-19;
2018-03-20;temporale
2018-03-21;pioggia
2018-03-22;pioggia
2018-03-23;pioggia
2018-03-24;pioggia
2018-03-25;pioggia
2018-03-26;pioggia
2018-03-27;pioggia
2018-03-28;pioggia
2018-03-29;
2018-03-30;
2018-03-31;
2018-04-01;
2018-04-02;
2018-04-03;
2018-04-04;
2018-04-05;
2018-04-06;
2018-04-07;
2018-04-08;
2018-04-09;pioggia
2018-04-10;pioggia
2018-04-11;pioggia
2018-04-12;
2018-04-13;
2018-04-14;pioggia
2018-04-15;temporale
2018-04-16;pioggia
2018-04-17;
2018-04-18;temporale
2018-04-19;
2018-04-20;
2018-04-21;nebbia
2018-04-22;
2018-04-23;
2018-04-24;
2018-04-25;
2018-04-26;
2018-04-27;pioggia
2018-04-28;pioggia
2018-04-29;
2018-04-30;
2018-05-01;
2018-05-02;temporale
2018-05-03;temporale
2018-05-04;pioggia
2018-05-05;pioggia
2018-05-06;
2018-05-07;
2018-05-08;
2018-05-09;
2018-05-10;
2018-05-11;
2018-05-12;
2018-05-13;
2018-05-14;temporale
2018-05-15;
2018-05-16;
2018-05-17;
2018-05-18;pioggia
2018-05-19;
2018-05-20;
2018-05-21;
2018-05-22;pioggia
2018-05-23;
2018-05-24;
2018-05-25;
2018-05-26;
2018-05-27;
2018-05-28;
2018-05-29;
2018-05-30;
2018-05-31;
2018-06-01;
2018-06-02;
2018-06-03;
2018-06-04;
2018-06-05;
2018-06-06;
2018-06-07;
2018-06-08;
2018-06-09;
2018-06-10;
2018-06-11;
2018-06-12;
2018-06-13;
2018-06-14;pioggia
2018-06-15;
2018-06-16;
2018-06-17;
2018-06-18;
