ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3757860,Roma,VIA FLAMINIA,Bagnato (umidit? in atto),Asfaltata,Sufficiente
3757860,Roma,VIA FLAMINIA,Bagnato (umidit? in atto),Asfaltata,Sufficiente
3757864,Roma,VIA DI S. CORNELIA,Bagnato (pioggia),Asfaltata,Sufficiente
3757928,Roma,VIA VINCENZO BONIFATI,Bagnato (pioggia),Asfaltata,Sufficiente
3757983,Roma,VIALE DELL'ACQUEDOTTO ALESSANDRINO,Asciutto,Asfaltata,Ore Diurne
3757983,Roma,VIALE DELL'ACQUEDOTTO ALESSANDRINO,Asciutto,Asfaltata,Ore Diurne
3757983,Roma,VIALE DELL'ACQUEDOTTO ALESSANDRINO,Asciutto,Asfaltata,Ore Diurne
3757983,Roma,VIALE DELL'ACQUEDOTTO ALESSANDRINO,Asciutto,Asfaltata,Ore Diurne
3758035,Roma,VIA GIOVANNI GIOLITTI,Bagnato (umidit? in atto),Con buche,Sufficiente
3758035,Roma,VIA GIOVANNI GIOLITTI,Bagnato (umidit? in atto),Con buche,Sufficiente
3758279,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3758279,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3758279,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3758279,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3758285,Roma,VIA DELLA MARRANELLA DI MARINO,Asciutto,Asfaltata,Ore Diurne
3758285,Roma,VIA DELLA MARRANELLA DI MARINO,Asciutto,Asfaltata,Ore Diurne
3758285,Roma,VIA DELLA MARRANELLA DI MARINO,Asciutto,Asfaltata,Ore Diurne
3758285,Roma,VIA DELLA MARRANELLA DI MARINO,Asciutto,Asfaltata,Ore Diurne
3758646,Roma,PIAZZA S. GIOVANNI BATTISTA DE LA SALLE,Asciutto,Asfaltata,Ore Diurne
3758646,Roma,PIAZZA S. GIOVANNI BATTISTA DE LA SALLE,Asciutto,Asfaltata,Ore Diurne
3758646,Roma,PIAZZA S. GIOVANNI BATTISTA DE LA SALLE,Asciutto,Asfaltata,Ore Diurne
3758933,Roma,VIA BRUNO BRUNI,Asciutto,Asfaltata,Ore Diurne
3758933,Roma,VIA BRUNO BRUNI,Asciutto,Asfaltata,Ore Diurne
3758933,Roma,VIA BRUNO BRUNI,Asciutto,Asfaltata,Ore Diurne
3758943,Roma,VIALE DELLO STADIO OLIMPICO,Asciutto,Asfaltata,Sufficiente
3758943,Roma,VIALE DELLO STADIO OLIMPICO,Asciutto,Asfaltata,Sufficiente
3758948,Roma,VIA TUSCOLANA,Bagnato (pioggia),Asfaltata,Sufficiente
3758948,Roma,VIA TUSCOLANA,Bagnato (pioggia),Asfaltata,Sufficiente
3758963,Roma,VIA FEDERICO DELPINO,Asciutto,Asfaltata,Ore Diurne
3758963,Roma,VIA FEDERICO DELPINO,Asciutto,Asfaltata,Ore Diurne
3758963,Roma,VIA FEDERICO DELPINO,Asciutto,Asfaltata,Ore Diurne
3758963,Roma,VIA FEDERICO DELPINO,Asciutto,Asfaltata,Ore Diurne
