ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3655297,Roma,VIA PINCIANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49397,41.91502)"
3655297,Roma,VIA PINCIANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49397,41.91502)"
3655297,Roma,VIA PINCIANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49397,41.91502)"
3655297,Roma,VIA PINCIANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49397,41.91502)"
3659667,Roma,VIA VAL DI CHIENTI,Asciutto,Asfaltata,Sufficiente,"(12.52374,41.94345)"
3659667,Roma,VIA VAL DI CHIENTI,Asciutto,Asfaltata,Sufficiente,"(12.52374,41.94345)"
3664611,Roma,VIALE CARLO FELICE,Asciutto,Asfaltata,Sufficiente,"(12.51209,41.88739)"
3664675,Roma,VIA DELLE VIGNE,Asciutto,Asfaltata,Ore Diurne,"(12.42158,41.84288)"
3664675,Roma,VIA DELLE VIGNE,Asciutto,Asfaltata,Ore Diurne,"(12.42158,41.84288)"
3664675,Roma,VIA DELLE VIGNE,Asciutto,Asfaltata,Ore Diurne,"(12.42158,41.84288)"
3664766,Roma,PIAZZALE DEI CADUTI DELLA MONTAGNOLA,Asciutto,Asfaltata,Ore Diurne,"(12.48302,41.84539)"
3664766,Roma,PIAZZALE DEI CADUTI DELLA MONTAGNOLA,Asciutto,Asfaltata,Ore Diurne,"(12.48302,41.84539)"
3664842,Roma,VIA VETURIA,Asciutto,Asfaltata,Sufficiente,"(12.5234,41.8776)"
3664842,Roma,VIA VETURIA,Asciutto,Asfaltata,Sufficiente,"(12.5234,41.8776)"
3664842,Roma,VIA VETURIA,Asciutto,Asfaltata,Sufficiente,"(12.5234,41.8776)"
3664842,Roma,VIA VETURIA,Asciutto,Asfaltata,Sufficiente,"(12.5234,41.8776)"
3664842,Roma,VIA VETURIA,Asciutto,Asfaltata,Sufficiente,"(12.5234,41.8776)"
3664862,Roma,VIALE AVENTINO,Asciutto,Acciotolata,Ore Diurne,"(12.48681,41.88242)"
3664862,Roma,VIALE AVENTINO,Asciutto,Acciotolata,Ore Diurne,"(12.48681,41.88242)"
3664862,Roma,VIALE AVENTINO,Asciutto,Acciotolata,Ore Diurne,"(12.48681,41.88242)"
3664912,Roma,VIALE ARTURO MARTINI,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.41423,41.84727)"
3664912,Roma,VIALE ARTURO MARTINI,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.41423,41.84727)"
3664990,Roma,VIA DI BOCCEA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.37575,41.92135)"
3664990,Roma,VIA DI BOCCEA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.37575,41.92135)"
3665107,Roma,VIA CIRO DA URBINO,Asciutto,Asfaltata,Ore Diurne,"(12.53993,41.87823)"
3665177,Roma,VIA DI GROTTAROSSA,Bagnato (umidit? in atto),Asfaltata,Inesistente,"(12.4629,41.97439)"
3665215,Roma,VIALE PALMIRO TOGLIATTI,Asciutto,Asfaltata,Ore Diurne,"(12.5728,41.88066)"
3665231,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12.37857,42.00989)"
3665231,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12.37857,42.00989)"
3665288,Roma,PIAZZALE LUIGI STURZO,Asciutto,Asfaltata,Ore Diurne,"(12.4673,41.83414)"
3665288,Roma,PIAZZALE LUIGI STURZO,Asciutto,Asfaltata,Ore Diurne,"(12.4673,41.83414)"
3665344,Roma,VIALE DI TRASTEVERE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.46804,41.88182)"
3665344,Roma,VIALE DI TRASTEVERE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.46804,41.88182)"
3665344,Roma,VIALE DI TRASTEVERE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.46804,41.88182)"
