ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3621540,Roma,VIA ENRICO DELL'ACQUA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.65032,41.86544)"
3621540,Roma,VIA ENRICO DELL'ACQUA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.65032,41.86544)"
3621540,Roma,VIA ENRICO DELL'ACQUA,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.65032,41.86544)"
3621622,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Sufficiente,"(12.61964,41.83425)"
3621622,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Sufficiente,"(12.61964,41.83425)"
3621622,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Sufficiente,"(12.61964,41.83425)"
3621622,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Sufficiente,"(12.61964,41.83425)"
3621640,Roma,VIA DI DRAGONE,Asciutto,Con buche,Insufficiente,"(12.33258,41.78343)"
3621640,Roma,VIA DI DRAGONE,Asciutto,Con buche,Insufficiente,"(12.33258,41.78343)"
3621646,Roma,PIAZZA CESARIO CONSOLE,Asciutto,Asfaltata,Insufficiente,"(12.28571,41.72738)"
3621646,Roma,PIAZZA CESARIO CONSOLE,Asciutto,Asfaltata,Insufficiente,"(12.28571,41.72738)"
3621646,Roma,PIAZZA CESARIO CONSOLE,Asciutto,Asfaltata,Insufficiente,"(12.28571,41.72738)"
3621750,Roma,VIALE DELLE GARDENIE,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.56439,41.88587)"
3621750,Roma,VIALE DELLE GARDENIE,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.56439,41.88587)"
3621750,Roma,VIALE DELLE GARDENIE,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.56439,41.88587)"
3621750,Roma,VIALE DELLE GARDENIE,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.56439,41.88587)"
3621850,Roma,VIA DEL MARE,Asciutto,Asfaltata,Ore Diurne,"(12.46323,41.84026)"
3622030,Roma,VIA PRENESTINA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.68998,41.88956)"
3622030,Roma,VIA PRENESTINA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.68998,41.88956)"
3622030,Roma,VIA PRENESTINA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.68998,41.88956)"
3622032,Roma,VIA CASILINA,Asciutto,Asfaltata,Sufficiente,"(12.66257,41.86376)"
3622032,Roma,VIA CASILINA,Asciutto,Asfaltata,Sufficiente,"(12.66257,41.86376)"
3622032,Roma,VIA CASILINA,Asciutto,Asfaltata,Sufficiente,"(12.66257,41.86376)"
3622032,Roma,VIA CASILINA,Asciutto,Asfaltata,Sufficiente,"(12.66257,41.86376)"
3622033,Roma,VIA DI FONTANA CANDIDA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.6892,41.85938)"
3622033,Roma,VIA DI FONTANA CANDIDA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.6892,41.85938)"
3622033,Roma,VIA DI FONTANA CANDIDA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.6892,41.85938)"
3622033,Roma,VIA DI FONTANA CANDIDA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.6892,41.85938)"
3622269,Roma,VIA QUIRINO MAJORANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.46223,41.86827)"
