ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3851558,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Sufficiente,"(12,49621,41,8673)"
3851558,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Sufficiente,"(12,49621,41,8673)"
3851558,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Sufficiente,"(12,49621,41,8673)"
3851679,Roma,VIA DI TORRENOVA,Asciutto,Strada pavimentata dissestata,Sufficiente,"(12,61854,41,87795)"
3851679,Roma,VIA DI TORRENOVA,Asciutto,Strada pavimentata dissestata,Sufficiente,"(12,61854,41,87795)"
3851744,Roma,VIA DEI GELSI,Asciutto,Asfaltata,Sufficiente,"(12,56352,41,88815)"
3851796,Roma,VIA DEL TEMPIO DEGLI ARVALI,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12,43529,41,83493)"
3851796,Roma,VIA DEL TEMPIO DEGLI ARVALI,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12,43529,41,83493)"
3851796,Roma,VIA DEL TEMPIO DEGLI ARVALI,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12,43529,41,83493)"
3851881,Roma,VIA APPIA PIGNATELLI,Asciutto,Asfaltata,Ore Diurne,"(12,5423,41,84224)"
3851881,Roma,VIA APPIA PIGNATELLI,Asciutto,Asfaltata,Ore Diurne,"(12,5423,41,84224)"
3851971,Roma,VIA PIER DELLA FRANCESCA,Asciutto,Asfaltata,Sufficiente,"(12,46394,41,92677)"
3851971,Roma,VIA PIER DELLA FRANCESCA,Asciutto,Asfaltata,Sufficiente,"(12,46394,41,92677)"
3851971,Roma,VIA PIER DELLA FRANCESCA,Asciutto,Asfaltata,Sufficiente,"(12,46394,41,92677)"
3851992,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne,"(12,61039,41,89349)"
3851992,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne,"(12,61039,41,89349)"
3851992,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne,"(12,61039,41,89349)"
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne,"(12,40685,41,96019)"
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne,"(12,40685,41,96019)"
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne,"(12,40685,41,96019)"
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne,"(12,40685,41,96019)"
3852094,Roma,VIA GIUSEPPE MANTELLINI,,,,"(,)"
3852099,Roma,VIA TRIONFALE,Asciutto,Asfaltata,Ore Diurne,"(12,41323,41,94989)"
3852099,Roma,VIA TRIONFALE,Asciutto,Asfaltata,Ore Diurne,"(12,41323,41,94989)"
3852145,Roma,VIA CRISTOFORO SABBADINO,Asciutto,Asfaltata,Ore Diurne,"(12,31002,41,82113)"
3852145,Roma,VIA CRISTOFORO SABBADINO,Asciutto,Asfaltata,Ore Diurne,"(12,31002,41,82113)"
3852145,Roma,VIA CRISTOFORO SABBADINO,Asciutto,Asfaltata,Ore Diurne,"(12,31002,41,82113)"
3852157,Roma,PIAZZA S. GIOVANNI BATTISTA DE LA SALLE,Asciutto,Asfaltata,Ore Diurne,"(12,42743,41,89859)"
3852160,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Ore Diurne,"(12,62044,41,83069)"
3852160,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Ore Diurne,"(12,62044,41,83069)"
3852160,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Ore Diurne,"(12,62044,41,83069)"
3852308,Roma,VIALE VATICANO,Asciutto,Asfaltata,Ore Diurne,"(12,44868,41,90426)"
3852308,Roma,VIALE VATICANO,Asciutto,Asfaltata,Ore Diurne,"(12,44868,41,90426)"
3852329,Roma,VIA ROGHUDI,Asciutto,Asfaltata,Ore Diurne,"(12,61978,41,81762)"
3852329,Roma,VIA ROGHUDI,Asciutto,Asfaltata,Ore Diurne,"(12,61978,41,81762)"
3852334,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12,40432,41,98647)"
3852334,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne,"(12,40432,41,98647)"
3852356,Roma,VIA ROVIGNO D'ISTRIA,Asciutto,Asfaltata,Ore Diurne,"(12,55638,41,89678)"
3852356,Roma,VIA ROVIGNO D'ISTRIA,Asciutto,Asfaltata,Ore Diurne,"(12,55638,41,89678)"
3852356,Roma,VIA ROVIGNO D'ISTRIA,Asciutto,Asfaltata,Ore Diurne,"(12,55638,41,89678)"
3852364,Roma,LUNGOMARE AMERIGO VESPUCCI,Asciutto,Asfaltata,Ore Diurne,"(12,33397,41,70723)"
3852364,Roma,LUNGOMARE AMERIGO VESPUCCI,Asciutto,Asfaltata,Ore Diurne,"(12,33397,41,70723)"
3852429,Roma,CIRCONVALLAZIONE NOMENTANA,Asciutto,Asfaltata,Ore Diurne,"(12,52539,41,92852)"
3852429,Roma,CIRCONVALLAZIONE NOMENTANA,Asciutto,Asfaltata,Ore Diurne,"(12,52539,41,92852)"
