ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3802129,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.57966,41.87106)"
3802129,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.57966,41.87106)"
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33471,41.88794)"
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33471,41.88794)"
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33471,41.88794)"
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33471,41.88794)"
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33471,41.88794)"
3802402,Roma,VIALE FILARETE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.53951,41.87685)"
3802628,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.43638,41.89964)"
3802628,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.43638,41.89964)"
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.4403,41.9021)"
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.4403,41.9021)"
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.4403,41.9021)"
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.4403,41.9021)"
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne,"(12.4403,41.9021)"
3802778,Roma,VIA ARDEATINA,Asciutto,Asfaltata,Sufficiente,"(12.56269,41.73573)"
3802778,Roma,VIA ARDEATINA,Asciutto,Asfaltata,Sufficiente,"(12.56269,41.73573)"
3802778,Roma,VIA ARDEATINA,Asciutto,Asfaltata,Sufficiente,"(12.56269,41.73573)"
3802849,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Sufficiente,"(12.42196,41.90313)"
3802849,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Sufficiente,"(12.42196,41.90313)"
3802849,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Sufficiente,"(12.42196,41.90313)"
3803043,Roma,VIA CRISTOFORO COLOMBO,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49795,41.86383)"
3803043,Roma,VIA CRISTOFORO COLOMBO,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49795,41.86383)"
3803043,Roma,VIA CRISTOFORO COLOMBO,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.49795,41.86383)"
3803047,Roma,VIA ANTONIO PACINOTTI,Asciutto,Asfaltata,Ore Diurne,"(12.46809,41.87107)"
3803047,Roma,VIA ANTONIO PACINOTTI,Asciutto,Asfaltata,Ore Diurne,"(12.46809,41.87107)"
3803049,Roma,VIA MAGNAGRECIA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.50832,41.88142)"
3803049,Roma,VIA MAGNAGRECIA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.50832,41.88142)"
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12.62375,41.87848)"
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12.62375,41.87848)"
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12.62375,41.87848)"
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12.62375,41.87848)"
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12.62375,41.87848)"
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne,"(12.62375,41.87848)"
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente,"(12.52898,41.87462)"
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente,"(12.52898,41.87462)"
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente,"(12.52898,41.87462)"
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente,"(12.52898,41.87462)"
3803066,Roma,VIA BRACCIANENSE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.29975,42.03132)"
3803066,Roma,VIA BRACCIANENSE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.29975,42.03132)"
3803066,Roma,VIA BRACCIANENSE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.29975,42.03132)"
3803067,Roma,VIA RAOUL CHIODELLI,,,,"(12.66213,41.90584)"
3803067,Roma,VIA RAOUL CHIODELLI,,,,"(12.66213,41.90584)"
3803074,Roma,VIA ATTEONE,Asciutto,Asfaltata,Sufficiente,"(12.6203,41.87883)"
3803074,Roma,VIA ATTEONE,Asciutto,Asfaltata,Sufficiente,"(12.6203,41.87883)"
3803074,Roma,VIA ATTEONE,Asciutto,Asfaltata,Sufficiente,"(12.6203,41.87883)"
3803082,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Sufficiente,"(12.62428,41.89301)"
3803083,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne,"(12.52594,41.8726)"
3803083,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne,"(12.52594,41.8726)"
3803084,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne,"(12.52016,41.88089)"
3803084,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne,"(12.52016,41.88089)"
3803099,Roma,GALLERIA GIOVANNI XXIII,Asciutto,Asfaltata,Ore Diurne,"(12.44128,41.94052)"
3803102,Roma,VIA TRIONFALE,Asciutto,Asfaltata,Sufficiente,"(12.43367,41.93443)"
3803115,Roma,CIRCONVALLAZIONE GIANICOLENSE,Asciutto,Asfaltata,Sufficiente,"(12.45966,41.87164)"
3803115,Roma,CIRCONVALLAZIONE GIANICOLENSE,Asciutto,Asfaltata,Sufficiente,"(12.45966,41.87164)"
3803119,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.60446,41.86447)"
3803119,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(12.60446,41.86447)"
3803126,Roma,VIA DELLA PINETA SACCHETTI,Asciutto,Asfaltata,Sufficiente,"(12.42744,41.93027)"
3803126,Roma,VIA DELLA PINETA SACCHETTI,Asciutto,Asfaltata,Sufficiente,"(12.42744,41.93027)"
3803126,Roma,VIA DELLA PINETA SACCHETTI,Asciutto,Asfaltata,Sufficiente,"(12.42744,41.93027)"
3803138,Roma,VIA CASORIA,Asciutto,Asfaltata,Sufficiente,"(12.5157,41.88338)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803146,Roma,VIA CARLO CASINI,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.33742,41.78232)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803168,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.57129,41.92454)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803180,Roma,VIA TIBURTINA,Asciutto,Asfaltata,Ore Diurne,"(12.59298,41.9328)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803200,Roma,VIA DI S. GREGORIO,Asciutto,Asfaltata,Ore Diurne,"(,)"
3803208,Roma,VIA ACQUI,Asciutto,Asfaltata,Ore Diurne,"(12.51633,41.87793)"
3803208,Roma,VIA ACQUI,Asciutto,Asfaltata,Ore Diurne,"(12.51633,41.87793)"
3803210,Roma,CIRCONVALLAZIONE SALARIA,Asciutto,Asfaltata,Ore Diurne,"(12.52092,41.93437)"
3803221,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Sufficiente,"(12.61676,41.89327)"
3803223,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(13.64966,41.53532)"
3803223,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne,"(13.64966,41.53532)"
