ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3706661,Roma,VIA DI BOCCEA,Bagnato (pioggia),Asfaltata,Ore Diurne
3706661,Roma,VIA DI BOCCEA,Bagnato (pioggia),Asfaltata,Ore Diurne
3706773,Roma,VIALE GUGLIELMO MARCONI,Bagnato (pioggia),Asfaltata,Ore Diurne
3706774,Roma,VIALE GUIDO BACCELLI,Bagnato (umidit? in atto),Asfaltata,Sufficiente
3706831,Roma,LUNGOTEVERE TESTACCIO,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3706831,Roma,LUNGOTEVERE TESTACCIO,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3706858,Roma,LUNGOTEVERE VITTORIO GASSMAN,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3706858,Roma,LUNGOTEVERE VITTORIO GASSMAN,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3706944,Roma,VIA DEL CASALE DI S. PIO V,Bagnato (pioggia),Asfaltata,Ore Diurne
3706944,Roma,VIA DEL CASALE DI S. PIO V,Bagnato (pioggia),Asfaltata,Ore Diurne
3707011,Roma,VIA CASSIA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707011,Roma,VIA CASSIA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707011,Roma,VIA CASSIA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707069,Roma,VIA DEL FORTE BRASCHI,Bagnato (pioggia),Asfaltata,Ore Diurne
3707069,Roma,VIA DEL FORTE BRASCHI,Bagnato (pioggia),Asfaltata,Ore Diurne
3707069,Roma,VIA DEL FORTE BRASCHI,Bagnato (pioggia),Asfaltata,Ore Diurne
3707098,Roma,RAMPA USCITA G.R.A. CARREGGIATA INTERNA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707098,Roma,RAMPA USCITA G.R.A. CARREGGIATA INTERNA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707104,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Ore Diurne
3707104,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Ore Diurne
3707258,Roma,VIA ERASMO GATTAMELATA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707258,Roma,VIA ERASMO GATTAMELATA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707408,Roma,CORSO DI FRANCIA,Asciutto,Asfaltata,Ore Diurne
3707408,Roma,CORSO DI FRANCIA,Asciutto,Asfaltata,Ore Diurne
3707408,Roma,CORSO DI FRANCIA,Asciutto,Asfaltata,Ore Diurne
3707517,Roma,VIA PIEMONTE,Asciutto,Asfaltata,Ore Diurne
3707528,Roma,VIA GIUSEPPE DI BARTOLO,Asciutto,Asfaltata,Ore Diurne
3707528,Roma,VIA GIUSEPPE DI BARTOLO,Asciutto,Asfaltata,Ore Diurne
3707561,Roma,VIA OSTIENSE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707600,Roma,VIA NAPOLEONE III,Asciutto,Asfaltata,Ore Diurne
3707600,Roma,VIA NAPOLEONE III,Asciutto,Asfaltata,Ore Diurne
3707613,Roma,VIA DELLA MAGLIANA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707613,Roma,VIA DELLA MAGLIANA,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
3707810,Roma,VIA CRISTOFORO COLOMBO,Bagnato (umidit? in atto),Asfaltata,Ore Diurne
