ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
08352018010116500,Matera,km 2+600,,,,"(40.639179018502254,16.622164249420166)"
08352018010210201,Matera,via zanardelli,,,,"(,)"
08352018010216502,Matera,"vai annunziatella altezza ""Linea Sport""",,,,"(40.67079852,16.60556406)"
08352018010317153,Matera,Via Trabaci c/o rotatoria Via La Martella,,,,"(40.67351842,16.58615291)"
08352018010512404,Matera,Via Da Vinci incr. Via Pizzilli- Vico III Nazionale,,,,"(40.67642331,16.59537435)"
08352018010718405,Matera,Via Nazionale n. 56,,,,"(40.67357741,16.60001725)"
08352018010808056,Matera,Via Parini intersezione Via Petrarca,,,,"(40.67344315,16.59621119)"
08352018010810107,Matera,"Area Ospedale ""Madonna delle Grazie"" Parcheggio",,,,"(40.6542876,16.61323786)"
08352018010908008,Matera,Via A.Moro altezza n. 26,,,,"(40.66573479,16.60027206)"
08352018010919509,Matera,Via Don Minzoni ang. Piazza Matteotti,,,,"(40.66666253,16.60217911)"
083520180110093010,Matera,Via Dante fr. civ. n. 61/G,,,,"(40.6723609,16.59390986)"
083520180111172011,Matera,Via dei Peucezi civ. 20-22,,,,"(40.68247476,16.58620387)"
083520180112102512,Matera,Km 15+800,,,,"(,)"
083520180112131513,Matera,Via Mattei altezza I.T.I.S. Pentasuglia,,,,"(40.67966573,16.57906651)"
083520180113101514,Matera,"Area Ospedale ""Madonna delle Grazie""",,,,"(40.65404749,16.6121918)"
083520180116082515,Matera,Via Einaudi 13,,,,"(40.66794425,16.59808874)"
083520180117124016,Matera,Via Dante inters. Via Montefinese,,,,"(40.67582525,16.58881903)"
083520180118085017,Matera,Via a Moro,,,,"(,)"
083520180113141518,Matera,Via Cappuccini intersezione Via Casalnuovo,,,,"(40.65535386,16.61695004)"
083520180121130019,Matera,Area Parcheggio Via Saragat,,,,"(40.66658522,16.59681201)"
083520180122104020,Matera,Via Passarelli intersezione Via D'Alessio,,,,"(40.66456087,16.60256535)"
083520180123165521,Matera,Via San Vito inters. SS 7,,,,"(40.68150859964763,16.602444648742676)"
083520180124123022,Matera,V.le Europa inters. Via Santa Caterina da Siena,,,,"(40.66481925,16.5939045)"
083520180124200023,Matera,Via Ferrari nei pressi inters. Via Alvino,,,,"(40.6813052,16.54193401)"
083520180125111524,Matera,Via Lucana intersezione Via Fortunato,,,,"(40.66026578,16.61247075)"
083520180126074025,Matera,Via Nazionale n. 39,,,,"(40.67360792,16.59984291)"
083520180127121026,Matera,Via Amendola inters. Via XX Settembre,,,,"(40.66928087,16.60624802)"
083520180129075527,Matera,Km 564 direzione Matera,,,,"(,)"
083520180130093028,Matera,Via XX Settembre n. 48,,,,"(40.66905708,16.60622388)"
083520180130160029,Matera,Via La Martella in prossimità civ. n. 17,,,,"(40.67129898,16.58400446)"
083520180131134530,Matera,Via La Martella in prossimità civ. n. 17,,,,"(40.67129898,16.58400446)"
083520180201121031,Matera,Via delle Arti antistante P.C. 995,,,,"(,)"
083520180201180032,Matera,Via dei Normanni fr. n. 11,,,,"(40.67195607,16.59033179)"
083520180205081033,Matera,Via Annunziatella altezza civ. 97,,,,"(40.67190114,16.60370529)"
083520180207132034,Matera,"Via Moro rotatoria ""Pino"" Liceo Scientifico",,,,"(40.66454662,16.59775615)"
083520180207161535,Matera,Km 6+815,,,,"(,)"
083520180207193536,Matera,Via Ugo La Malfa 47/49,,,,"(40.66848541,16.59948081)"
083520180212174537,Matera,Km 567+VII,,,,"(,)"
083520180213081038,Matera,Via La Martella rotatoria Via delle Arti,,,,"(40.66901842940948,16.57387375831604)"
083520180213114039,Matera,Via Manzoni angolo Via Parini,,,,"(40.67450504,16.59393132)"
083520180214155040,Matera,Via Passarelli ang. Largo Passarelli,,,,"(40.66500643,16.60343707)"
083520180214173041,Matera,Viale C. Levi prossimità Via dell'Ulivo,,,,"(40.65832873,16.60429537)"
083520180216114042,Matera,Via Moro antistante Tribunale,,,,"(40.66549879,16.60004944)"
083520180217124043,Matera,Via Vena,,,,"(,)"
083520180220090044,Matera,Km 564+671 direzione Matera,,,,"(,)"
083520180220144545,Matera,intersezione Via Monticchio,,,,"(40.65900019,16.54174089)"
083520180221085546,Matera,Via Marconi n. 109-111,,,,"(40.67591679,16.59941375)"
083520180221193547,Matera,Via A.M. Di Francia-strada di collegamento Via Castello,,,,"(40.65990767,16.59866273)"
083520180224131048,Matera,svincolo SS 99 Ipercoop -Borgo Venusio,,,,"(40.71961153,16.57721579)"
083520180225110049,Matera,Via Lucana/Via XX Settembre,,,,"(40.6685851,16.60610586)"
083520180225133050,Matera,Via Borsellino intersezione Via Impastato,,,,"(40.6865935,16.57540798)"
083520180226081051,Matera,Via Lanera altezza Liceo Pedagogico,,,,"(40.66153745,16.60358459)"
083520180226132052,Matera,Via del Giglio,,,,"(40.65874789,16.60536826)"
083520180227090053,Matera,Via della Scienza n. 22,,,,"(40.67327227,16.57292694)"
083520180301145054,Matera,Via Granulari,,,,"(,)"
083520180302104155,Matera,Via Cererie Istituto Penitenziario,,,,"(40.67445825,16.60569549)"
083520180302164556,Matera,"Via Nazionale n., 238",,,,"(40.67698881,16.59269482)"
083520180303181557,Matera,Via Annunziatella n. 141,,,,"(40.67230597,16.60276115)"
083520180304083058,Matera,Via Roma int. Via Lucana,,,,"(40.66719556,16.60444826)"
083520180307132059,Matera,Via Lucana incrocio Via Don Minzoni,,,,"(40.66639804,16.60443217)"
083520180308081060,Matera,Via Dante tratto tra via Gandhi e Via Montefinese,,,,"(40.67549978,16.58911943)"
083520180308111561,Matera,Via Dante altezza civ. n. 51,,,,"(40.67180654,16.59474671)"
083520180312082562,Matera,Piazza degli Olmi,,,,"(,)"
083520180312182063,Matera,Via Montescaglioso inters. Via Lucana,,,,"(40.65546171,16.61480695)"
083520180313101064,Matera,Strada di collegamento Via Moro/Piazza Matteotti,,,,"(40.66656487,16.60166413)"
083520180313163565,Matera,Via Gattini,,,,"(,)"
083520180314083066,Matera,Via Lazazzera/Via Dante,,,,"(40.6705483,16.59706414)"
083520180315115567,Matera,via Marconi/via Istria,,,,"(40.67499122,16.59980267)"
083520180317103568,Matera,Via Lucana altezza ex casello ferroviario,,,,"(40.65549427,16.61452532)"
083520180319104069,Matera,km 580+830,,,,"(,)"
083520180319183070,Matera,a circa mt 85 dall'intersez. Con la S.P. n. 41,,,,"(40.73841297394456,16.673598289489746)"
083520180321083571,Matera,Via Gravina altezza civ. n. 1/A,,,,"(40.6802963,16.58490568)"
083520180326132572,Matera,Via Nazionale inters. Via Sturzo/Via San Pardo,,,,"(40.67757872,16.59172118)"
083520180326161073,Matera,Via La Martella/Via delle Arti,,,,"(40.66910794,16.57388449)"
083520180328153074,Matera,Km 1+300,,,,"(,)"
083520180329165175,Matera,Via F.P. Festa int. Via Volpe,,,,"(40.67017804,16.60727531)"
083520180330162076,Matera,Via Cererie,,,,"(,)"
083520180403155377,Matera,via roma civico 44-46,,,,"(40.66718336,16.60431415)"
083520180403181578,Matera,via La Martella,,,,"(,)"
083520180403190079,Matera,via Lucana fr. civici 117-119,,,,"(40.66510816,16.60689175)"
083520180407083080,Matera,"via Roma , 14",,,,"(40.66724032,16.60541654)"
083520180407133081,Matera,via S. Pardo,,,,"(,)"
083520180410085082,Matera,"km.563+199,85",,,,"(,)"
083520180411082583,Matera,"viale Europa ,3",,,,"(40.66449983,16.59620315)"
083520180411132084,Matera,via bizantini incrocio via Dante,,,,"(40.67793673,16.58718288)"
083520180412090085,Matera,area ospedaliera,,,,"(40.65398644,16.61228299)"
083520180414180086,Matera,via Lucana,,,,"(,)"
083520180416085587,Matera,via Moro incrocio area sosta SISAS,,,,"(40.66676832,16.60145223)"
083520180416200588,Matera,"via pecci, 6-8",,,,"(40.66216208,16.5991804)"
083520180417121589,Matera,"P.zza Matteotti,5-6",,,,"(40.66694532,16.60241514)"
083520180417151590,Matera,via C. Levi in crocio via del ciclamino,,,,"(40.6597978,16.60129666)"
083520180418141591,Matera,"via Gravina, 15",,,,"(40.68120349,16.58220738)"
083520180418193092,Matera,"parallela via Nazionale ,37",,,,"(40.6735591,16.59985632)"
083520180419153093,Matera,via beneventi,,,,"(40.67403918950404,16.597337722778317)"
083520180420082594,Matera,via parini incrocio via Manzoni,,,,"(40.674539617319354,16.593899130821228)"
083520180421191595,Matera,"via seneca, 13-17",,,,"(40.68036749,16.57706559)"
083520180422093096,Matera,via montescaglioso presso area di servizio Q8,,,,"(40.6529812,16.61618561)"
083520180423142597,Matera,via gattini incrocio via S. Stefano,,,,"(40.67302205,16.60728872)"
083520180423170598,Matera,"via Lucana ,95-97",,,,"(40.66560255,16.60571963)"
083520180424172099,Matera,via borsellino incrocio via falcone,,,,"(40.68786264,16.57686442)"
0835201804270950100,Matera,via degli Aragonisi incrocio via La Martella,,,,"(40.67190724,16.58427536)"
0835201804271315101,Matera,via Istria incrocio via Marconi,,,,"(40.67498105,16.59980267)"
0835201804281100102,Matera,Piazza della visitazione,,,,"(40.6653401,16.60049736)"
0835201804281800103,Matera,via protospata incrocio la Croce,,,,"(40.67258264,16.60173386)"
0835201804301105104,Matera,km1+700,,,,"(,)"
0835201804301415105,Matera,viale Italia,,,,"(,)"
0835201804301900106,Matera,via Torraca incrocio via Passarelli,,,,"(40.66522616,16.60399497)"
0835201805021450107,Matera,via degli Aragonisi,,,,"(,)"
0835201805031710108,Matera,Piazzale municipio via A. Moro,,,,"(40.66669508,16.6001004)"
0835201805041720109,Matera,via Lucana n.109,,,,"(40.66532585,16.60632044)"
0835201805081600110,Matera,altezza km564,,,,"(,)"
0835201805100800111,Matera,area ospedaliera Madonna Delle Grazie,,,,"(40.6539376,16.61263704)"
0835201805102105112,Matera,via Lucana n.205,,,,"(40.66122614,16.61055297)"
0835201805110855113,Matera,strada di collegamento via Bizantini e SS.99 inrcocio SS.7,,,,"(40.68053632,16.5901494)"
0835201805120900114,Matera,via Annunziatella,,,,"(,)"
0835201805121210115,Matera,via Dante,,,,"(,)"
0835201805131350116,Matera,via S. Pardo altezza civico n.18,,,,"(40.67679963,16.59674495)"
0835201805161030117,Matera,km.4+350,,,,"(,)"
0835201805161700118,Matera,via Miorana altezza civico n.112,,,,"(40.67375032,16.59072876)"
0835201805162000119,Matera,via Lucana incrocio via Gamsci,,,,"(40.66546827,16.6059047)"
0835201805181315120,Matera,via Manzoni n.6,,,,"(40.67394358,16.59261435)"
