ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
0912018010101000,Palermo,VIALE DIANA a mt. 150 Ex col. com,,,,"(38,160163,13,342569)"
0912018010103301,Palermo,VIALE REGIONE SICILIANA S.E. altezza del civico 4835,,,,"(38,09062,13,379696)"
0912018010103002,Palermo,VIA ALLA FALCONARA nr. 66,,,,"(38,117536,13,292086)"
0912018010108003,Palermo,VIA SAURO NAZARIO altezza del civico 11,,,,"(38,122549,13,332412)"
0912018010116554,Palermo,VIALE REGIONE SICILIANA N.O. in prossimit? di VIA PERGUSA,,,,"(38,117358,13,32867)"
0912018010113155,Palermo,VIA MALASPINA intersezione con VIA SELINUNTE,,,,"(38,124183,13,347778)"
0912018010117006,Palermo,VIA OLIO DI LINO altezza del civico 12,,,,"(38,085677,13,326955)"
0912018010209157,Palermo,VIA MESSINA MARINE intersezione con VIA CAPPELLO SALVATORE,,,,"(38,10679,13,383035)"
0912018010211308,Palermo,VIA SUNSERI GIUSEPPE di fronte al civico 4,,,,"(38,108123,13,338802)"
0912018010207509,Palermo,VIA PANDOLFINI nr. 5,,,,"(38,113376,13,307633)"
09120180102180010,Palermo,VIA BELGIO altezza del civico 13,,,,"(38,151747,13,331055)"
09120180102183011,Palermo,VIA MAJALI GIULIANO altezza del civico 45,,,,"(38,109241,13,359745)"
09120180102220012,Palermo,VIA DANTE intersezione con VIA NARBONE ALESSIO,,,,"(38,122068,13,34382)"
09120180103094513,Palermo,VIA GRAVINA AMMIRAGLIO intersezione con VIA ROMA,,,,"(38,125014,13,358613)"
09120180103140014,Palermo,PIAZZA MARINA intersezione VIA VITTORIO EMANUELE,,,,"(38,118175,13,36765)"
09120180102070415,Palermo,VIA POLLACI GIUSEPPE intersezione CORSO CALATAFIMI,,,,"(38,102835,13,329774)"
09120180102110016,Palermo,VIA PIANO DI GALLO nr. 24,,,,"(38,208464,13,328453)"
09120180103153017,Palermo,VIALE CAMPANIA altezza del civico 5,,,,"(38,144234,13,340003)"
09120180103162018,Palermo,VIALE DE GASPERI ALCIDE altezza del civico 42,,,,"(38,150141,13,3355)"
09120180103210019,Palermo,VIA RAMPOLLA MARIANO CARD. altezza del civico 17,,,,"(38,149147,13,365065)"
09120180103211520,Palermo,VIA BASILE ERNESTO altezza (spec.) ponte brasa,,,,"(38,10712,13,353556)"
09120180104010021,Palermo,VIA CRISPI FRANCESCO altezza (spec.) Amari E.,,,,"(38,126988,13,362375)"
09120180104060022,Palermo,CORSO CALATAFIMI intersezione con VIA ONORATO CARMELO,,,,"(38,109118,13,345234)"
09120180104100023,Palermo,VIA PIPITONE FEDERICO GIUSEPPE intersezione con VIA PIRANDELLO LUIGI,,,,"(38,136151,13,3461)"
09120180104101524,Palermo,VIA RIZZO AMMIRAGLIO altezza del civico 69,,,,"(38,14339,13,358489)"
09120180104113025,Palermo,VIA MONTE S.CALOGERO pressi 9,,,,"(38,151831,13,326684)"
09120180104110026,Palermo,VIA EUGENIO L'EMIRO altezza del civico 22,,,,"(38,114628,13,341666)"
09120180105093027,Palermo,VIALE REGIONE SICILIANA S.E. altezza del civico 725,,,,"(38,096784,13,33461)"
09120180104143028,Palermo,VIALE COTTOLENGO altezza del civico 1,,,,"(38,169103,13,324313)"
09120180105160029,Palermo,VIA CRISTODULO AMMIRAGLIO altezza del civico 2/C,,,,"(38,096792,13,426032)"
09120180105183530,Palermo,VIA MALASPINA intersezione VIA CIMAROSA DOMENICO,,,,"(38,128822,13,34001)"
09120180105151531,Palermo,VIA SIRTORI GIUSEPPE GEN. intersezione VIA TURR STEFANO,,,,"(38,127378,13,341325)"
09120180105183032,Palermo,VIA LANZA DI SCALEA GIUSEPPE altezza del civico 2113,,,,"(38,183166,13,30396)"
09120180105230033,Palermo,PIAZZA GIULIO CESARE,,,,"(38,110695,13,366503)"
09120180106040034,Palermo,VIA STABILE MARIANO altezza del civico 142,,,,"(38,123149,13,358127)"
