ID,TipoPersona,Sesso,TipoLesione
3757860,Conducente,F,Rimandato
3757860,Passeggero,F,Rimandato
3757864,Conducente,M,Illeso
3757928,Conducente,M,Illeso
3757983,Conducente,M,Illeso
3757983,Passeggero,M,Illeso
3757983,Passeggero,M,Illeso
3757983,Passeggero,M,Illeso
3758035,Conducente,M,Illeso
3758035,Passeggero,M,Illeso
3758279,Conducente,M,Rimandato
3758279,Passeggero,F,Ricoverato
3758279,Conducente,F,Rifiuta cure immediate
3758279,Conducente,M,Illeso
3758285,Conducente,F,Illeso
3758285,Passeggero,M,Illeso
3758285,Passeggero,M,Illeso
3758285,Passeggero,M,Illeso
3758646,Conducente,M,Rifiuta cure immediate
3758646,Conducente,M,Rifiuta cure immediate
3758646,Passeggero,M,Illeso
3758933,Conducente,M,Illeso
3758933,Passeggero,M,Illeso
3758933,Conducente,M,Illeso
3758943,Conducente,M,Rimandato
3758943,Passeggero,F,Rimandato
3758948,Conducente,M,Illeso
3758948,Conducente,M,Illeso
3758963,Conducente,M,Illeso
3758963,Passeggero,M,Illeso
3758963,Passeggero,F,Illeso
3758963,Passeggero,F,Illeso
3758963,Conducente,M,Illeso
3758977,Conducente,M,Illeso
3758977,Conducente,M,Illeso
3759011,Conducente,M,Illeso
3759015,Conducente,M,Rifiuta cure immediate
3759015,Conducente,M,Illeso
3759092,Conducente,M,Illeso
3759095,Conducente,M,Illeso
3759095,Passeggero,F,Illeso
3759101,Conducente,M,Illeso
3759101,Conducente,M,Illeso
3759126,Conducente,M,Rifiuta cure immediate
3759126,Conducente,M,Rifiuta cure immediate
3759127,Pedone,F,Rimandato
3759133,Conducente,M,Illeso
3759135,Conducente,M,Illeso
3759135,Passeggero,F,Illeso
3759135,Passeggero,F,Illeso
3759135,Conducente,F,Illeso
3759145,Conducente,M,Illeso
3759145,Conducente,M,Illeso
3759162,Conducente,M,Illeso
3759162,Conducente,M,Illeso
3759176,Conducente,M,Illeso
3759176,Conducente,M,Illeso
3759189,Pedone,M,Rimandato
3759189,Conducente,M,Illeso
3759189,Passeggero,F,Illeso
3759189,Passeggero,M,Illeso
3759189,Passeggero,M,Illeso
3759189,Passeggero,M,Illeso
3759495,Pedone,F,Rimandato
3759495,Conducente,M,Illeso
3759502,Conducente,M,Ricoverato
3759502,Passeggero,F,Ricoverato
3759502,Passeggero,M,Prognosi riservata
3759502,Conducente,M,Illeso
3759521,Conducente,M,Ricoverato
3759521,Passeggero,F,Deceduto sul posto
3759521,Conducente,M,Rimandato
3759527,Conducente,M,Illeso
3759527,Passeggero,F,Illeso
3759535,Passeggero,M,Illeso
3759535,Conducente,M,Illeso
3759535,Conducente,M,Rimandato
3759536,Conducente,M,Illeso
3759557,Conducente,M,Rimandato
3759574,Conducente,F,Rimandato
3759574,Passeggero,F,Rimandato
3759574,Conducente,M,Illeso
3759575,Conducente,F,Illeso
3759575,Passeggero,M,Illeso
3759575,Conducente,F,Rimandato
3759575,Passeggero,F,Rimandato
3759576,Conducente,M,Illeso
3759577,Conducente,M,Illeso
3759577,Passeggero,M,Illeso
3759577,Conducente,M,Illeso
3759577,Passeggero,F,Illeso
3759582,Conducente,M,Illeso
3759583,Conducente,M,Illeso
3759583,Passeggero,F,Illeso
3759587,Conducente,M,Illeso
3759587,Conducente,M,Rimandato
3759587,Passeggero,M,Illeso
3759588,Conducente,F,Illeso
3759588,Conducente,M,Illeso
3759602,Conducente,M,Illeso
3759602,Conducente,M,Illeso
3759602,Passeggero,M,Illeso
3759608,Conducente,M,Illeso
3759613,Conducente,M,Rimandato
3759613,Conducente,M,Rifiuta cure immediate
3759613,Passeggero,M,Rifiuta cure immediate
