ID,Modello,Targa,Tipo veicolo
3757860,Autovettura privata,,
3757860,Autovettura privata,,
3757864,Autovettura privata,,
3757928,Autovettura privata,,
3757983,Autovettura privata,,
3757983,Autovettura privata,,
3757983,Autovettura privata,,
3757983,Autovettura privata,,
3758035,Autovettura privata,,
3758035,Autovettura privata,,
3758279,Autovettura privata,,
3758279,Autovettura privata,,
3758279,Autovettura privata,,
3758279,Autovettura privata,,
3758285,Autovettura privata,,
3758285,Autovettura privata,,
3758285,Autovettura privata,,
3758285,Autovettura privata,,
3758646,Autovettura privata,,
3758646,Autovettura privata,,
3758646,Autovettura privata,,
3758933,Autovettura privata,,
3758933,Autovettura privata,,
3758933,Autovettura privata,,
3758943,Autovettura privata,,
3758943,Autovettura privata,,
3758948,Autovettura privata,,
3758948,Autovettura privata,,
3758963,Autovettura privata,,
3758963,Autovettura privata,,
3758963,Autovettura privata,,
3758963,Autovettura privata,,
3758963,Autovettura privata,,
3758977,Autovettura privata,,
3758977,Autovettura privata,,
3759011,Autovettura privata,,
3759015,Autovettura privata,,
3759015,Autocarro inferiore 35 q.,,
3759092,Autobus urbano,,
3759095,Autovettura privata,,
3759095,Autovettura privata,,
3759101,Autovettura privata,,
3759101,Autovettura privata,,
3759126,Autovettura pubblica,,
3759126,Autocarro inferiore 35 q.,,
3759127,,,
3759133,Autovettura privata,,
3759135,Autovettura privata,,
3759135,Autovettura privata,,
3759135,Autovettura privata,,
3759135,Autovettura privata,,
3759145,Autovettura privata,,
3759145,Autobus urbano,,
3759162,Autovettura privata,,
3759162,Autovettura privata,,
3759176,Autovettura privata,,
3759176,Autovettura privata,,
3759189,,,
3759189,Autovettura privata,,
3759189,Autovettura privata,,
3759189,Autovettura privata,,
3759189,Autovettura privata,,
3759189,Autovettura privata,,
3759495,,,
3759495,Autovettura privata,,
3759502,Autovettura privata,,
3759502,Autovettura privata,,
3759502,Autovettura privata,,
3759502,Autovettura privata,,
3759521,Autovettura privata,,
3759521,Autovettura privata,,
3759521,Autovettura privata,,
3759527,Autovettura privata,,
3759527,Autovettura privata,,
3759535,Autovettura privata,,
3759535,Autovettura privata,,
3759535,Motociclo a solo,,
3759536,Autovettura privata,,
3759557,Autovettura privata,,
3759574,Autovettura privata,,
