ID,TipoPersona,Sesso,TipoLesione
3655297,Conducente,M,Illeso
3655297,Conducente,F,Illeso
3655297,Passeggero,F,Illeso
3655297,Conducente,F,Illeso
3659667,Conducente,M,Illeso
3659667,Conducente,M,Illeso
3664611,Conducente,M,Illeso
3664675,Conducente,M,Illeso
3664675,Passeggero,F,Illeso
3664675,Conducente,M,Rimandato
3664766,Pedone,M,Illeso
3664766,Conducente,M,Illeso
3664842,Conducente,M,Illeso
3664842,Conducente,F,Rimandato
3664842,Passeggero,F,Rimandato
3664842,Passeggero,F,Rimandato
3664842,Passeggero,F,Rimandato
3664862,Conducente,M,Illeso
3664862,Conducente,M,Illeso
3664862,Passeggero,F,Illeso
3664912,Conducente,M,Rimandato
3664912,Conducente,M,Illeso
3664990,Conducente,M,Illeso
3664990,Conducente,M,Rimandato
3665107,Conducente,M,Illeso
3665177,Conducente,M,Illeso
3665215,Conducente,M,Illeso
3665231,Conducente,M,Illeso
3665231,Conducente,M,Illeso
3665288,Conducente,M,Illeso
3665288,Conducente,M,Illeso
3665344,Pedone,M,Rimandato
3665344,Conducente,F,Illeso
3665344,Passeggero,F,Illeso
3665367,Pedone,F,Illeso
3665367,Conducente,M,Rimandato
3665384,Conducente,M,Illeso
3665384,Conducente,M,Illeso
3665397,Conducente,F,Illeso
3665397,Passeggero,M,Illeso
3665397,Conducente,F,Illeso
3665404,Conducente,M,Illeso
3665407,Conducente,F,Illeso
3665407,Conducente,M,Rimandato
3665567,Conducente,M,Illeso
3665567,Passeggero,F,Illeso
3665567,Conducente,M,Illeso
3665573,Conducente,F,Illeso
3665573,Passeggero,F,Illeso
3665573,Conducente,M,Rimandato
3665599,Conducente,F,Illeso
3665599,Conducente,M,Illeso
3665628,Conducente,F,Illeso
3665628,Passeggero,F,Illeso
3665666,Conducente,M,Illeso
3665666,Conducente,M,Illeso
3665672,Conducente,M,Rimandato
3665672,Conducente,F,Illeso
3665681,Conducente,F,Illeso
3665681,Conducente,M,Illeso
3665750,Conducente,M,Illeso
3665750,Conducente,M,Illeso
3665756,Pedone,M,Rimandato
3665756,Conducente,M,Illeso
3666057,Conducente,F,Rifiuta cure immediate
3666057,Passeggero,F,Illeso
3666057,Conducente,M,Illeso
3666067,Conducente,F,Illeso
3666067,Conducente,M,Illeso
3666067,Conducente,F,Illeso
3666067,Passeggero,M,Illeso
3666071,Conducente,M,Illeso
3666071,Conducente,M,Illeso
3666078,Conducente,M,Illeso
3666078,Conducente,M,Illeso
3666079,Pedone,M,Rimandato
3666079,Conducente,F,Illeso
3666079,Conducente,F,Illeso
3666079,Passeggero,F,Illeso
3666084,Conducente,M,Illeso
3666084,Passeggero,M,Illeso
3666084,Passeggero,M,Illeso
3666084,Conducente,M,Rifiuta cure immediate
3666086,Conducente,M,Illeso
3666087,Conducente,F,Illeso
3666087,Conducente,M,Illeso
3666088,Conducente,M,Illeso
3666088,Conducente,M,Rimandato
3666090,Pedone,F,Rimandato
3666090,Conducente,M,Illeso
3666097,Conducente,F,Illeso
3666097,Conducente,F,Illeso
3666097,Conducente,F,Illeso
3666103,Conducente,M,Rimandato
3666113,Conducente,M,Illeso
3666113,Conducente,F,Illeso
3666120,Conducente,M,Illeso
3666120,Passeggero,M,Illeso
3666120,Conducente,F,Illeso
3666120,Passeggero,M,Illeso
3666120,Passeggero,F,Illeso
3666134,Conducente,F,Illeso
3666134,Passeggero,F,Illeso
3666134,Conducente,M,Rimandato
3666136,Conducente,M,Illeso
3666145,Conducente,M,Illeso
3666145,Conducente,M,Rimandato
3666145,Passeggero,F,Rimandato
3666150,Conducente,M,Illeso
3666150,Conducente,M,Illeso
3666151,Conducente,M,Illeso
3666151,Conducente,M,Rimandato
3666152,Conducente,M,Illeso
3666152,Passeggero,M,Illeso
3666152,Conducente,M,Illeso
3666155,Conducente,M,Illeso
3666155,Conducente,F,Rifiuta cure immediate
3666155,Passeggero,F,Rimandato
3666162,Conducente,M,Illeso
3666162,Passeggero,M,Rimandato
3666162,Passeggero,M,Illeso
3666163,Conducente,M,Illeso
3666163,Conducente,F,Illeso
3666164,Conducente,F,Illeso
3666164,Conducente,M,Illeso
3666164,Passeggero,F,Illeso
3666188,Conducente,M,Illeso
3666192,Conducente,M,Illeso
3666192,Conducente,M,Illeso
3666199,Conducente,M,Rifiuta cure immediate
3666199,Conducente,M,Illeso
3666199,Passeggero,M,Rifiuta cure immediate
3666202,Conducente,F,Illeso
3666202,Conducente,M,Illeso
3666244,Conducente,F,Illeso
3666244,Conducente,F,Illeso
3666258,Conducente,M,Illeso
3666258,Conducente,M,Illeso
3666258,Passeggero,F,Illeso
3666258,Passeggero,M,Illeso
3666260,Conducente,M,Illeso
3666300,Conducente,M,Illeso
3666300,Conducente,M,Illeso
3666301,Conducente,F,Illeso
3666301,Conducente,F,Rimandato
3666328,Conducente,F,Rimandato
3666363,Conducente,M,Illeso
3666363,Conducente,F,Illeso
3666363,Passeggero,F,Illeso
3666372,Conducente,M,Illeso
3666372,Conducente,M,Illeso
3666396,Conducente,M,Illeso
3666396,Passeggero,F,Illeso
3666396,Conducente,M,Illeso
3666402,Conducente,M,Illeso
3666402,Conducente,M,Illeso
3666417,Conducente,M,Illeso
3666431,Conducente,M,Illeso
3666452,Conducente,F,Rimandato
3666452,Conducente,F,Rimandato
3666470,Conducente,M,Illeso
3666470,Conducente,M,Illeso
3666476,Pedone,F,Rimandato
3666476,Conducente,F,Rimandato
3666579,Conducente,M,Illeso
3666579,Conducente,M,Illeso
3666579,Passeggero,F,Illeso
3666584,Conducente,M,Illeso
3666584,Passeggero,F,Illeso
3666584,Conducente,M,Illeso
3666590,Conducente,M,Illeso
3666631,Conducente,M,Rimandato
3666631,Conducente,F,Illeso
3666734,Conducente,M,Illeso
3666764,Conducente,M,Illeso
3666764,Conducente,M,Illeso
3666764,Passeggero,M,Rimandato
3666764,Conducente,M,Illeso
3666793,Conducente,M,Rimandato
3666830,Conducente,M,Illeso
3666855,Conducente,F,Illeso
3666855,Conducente,M,Illeso
3666867,Conducente,M,Illeso
3666867,Conducente,M,Illeso
3666867,Passeggero,M,Illeso
3666869,Conducente,M,Illeso
3666869,Conducente,M,Illeso
3666873,Conducente,F,Rimandato
3666873,Conducente,M,Illeso
3666875,Pedone,M,Rimandato
3666875,Conducente,M,Illeso
3666882,Conducente,F,Rifiuta cure immediate
3666882,Conducente,F,Illeso
3666896,Conducente,M,Illeso
3666896,Conducente,M,Illeso
3666910,Conducente,M,Rimandato
3666910,Passeggero,F,Rimandato
3666910,Conducente,M,Illeso
3667059,Conducente,M,Illeso
3667059,Passeggero,M,Illeso
3667059,Conducente,M,Illeso
3667059,Passeggero,M,Illeso
3667079,Conducente,F,Rimandato
3667079,Conducente,M,Illeso
3667089,Conducente,M,Illeso
3667138,Pedone,M,Rifiuta cure immediate
3667138,Conducente,F,Illeso
3667148,Conducente,M,Illeso
3667148,Conducente,M,Rifiuta cure immediate
3667162,Conducente,,Illeso
3667170,Conducente,,Illeso
3667172,Conducente,M,Illeso
3667176,Conducente,M,Illeso
3667176,Conducente,M,Illeso
3667177,Conducente,M,Illeso
3667177,Conducente,M,Illeso
3667177,Conducente,F,Illeso
3667177,Passeggero,F,Illeso
3667181,Conducente,M,Illeso
3667181,Conducente,M,Illeso
3667183,Conducente,M,Rifiuta cure immediate
3667183,Conducente,F,Rimandato
3667205,Conducente,F,Illeso
3667205,Passeggero,M,Illeso
3667214,Conducente,F,Illeso
3667214,Conducente,M,Illeso
3667224,Conducente,F,Illeso
3667224,Conducente,F,Rimandato
3667563,Conducente,M,Illeso
3667563,Passeggero,M,Rimandato
3667563,Passeggero,M,Illeso
3667564,Conducente,M,Illeso
3667564,Passeggero,M,Illeso
3667564,Conducente,M,Illeso
3667564,Passeggero,M,Rifiuta cure immediate
3667564,Passeggero,M,Illeso
3667568,Conducente,M,Illeso
3667568,Passeggero,M,Illeso
3667570,Conducente,M,Illeso
3667639,Pedone,M,Rimandato
3667639,Conducente,M,Illeso
3667639,Passeggero,M,Illeso
3667639,Passeggero,F,Illeso
3667639,Conducente,M,Illeso
