ID,Modello,Targa,Tipo veicolo
3655297,Autovettura privata,,
3655297,Autovettura privata,,
3655297,Autovettura privata,,
3655297,Autovettura privata,,
3659667,Autovettura privata,,
3659667,Autovettura privata,,
3664611,Motociclo a solo,,
3664675,Autovettura privata,,
3664675,Autovettura privata,,
3664675,Motociclo a solo,,
3664766,,,
3664766,Autovettura privata,,
3664842,Autovettura privata,,
3664842,Autovettura privata,,
3664842,Autovettura privata,,
3664842,Autovettura privata,,
3664842,Autovettura privata,,
3664862,Autovettura privata,,
3664862,Autovettura privata,,
3664862,Autovettura privata,,
3664912,Autovettura privata,,
3664912,Autovettura privata,,
3664990,Autovettura privata,,
3664990,Autovettura privata,,
3665107,Autovettura privata,,
3665177,Autovettura privata,,
3665215,Motociclo a solo,,
3665231,Autovettura privata,,
3665231,Autovettura privata,,
3665288,Autobus di linea,,
3665288,Autovettura privata,,
3665344,,,
3665344,Autovettura pubblica,,
3665344,Autovettura pubblica,,
3665367,,,
3665367,Motociclo a solo,,
3665384,Autocarro inferiore 35 q.,,
3665384,Autovettura privata,,
3665397,Autovettura privata,,
3665397,Autovettura privata,,
3665397,Autovettura privata,,
3665404,Autocarro inferiore 35 q.,,
3665407,Autovettura privata,,
3665407,Motociclo a solo,,
3665567,Autovettura privata,,
3665567,Autovettura privata,,
3665567,Autovettura privata,,
3665573,Quadriciclo leggero,,
3665573,Quadriciclo leggero,,
3665573,Motociclo a solo,,
3665599,Autovettura privata,,
3665599,Autovettura privata,,
3665628,Autovettura privata,,
3665628,Autovettura privata,,
3665666,Autovettura privata,,
3665666,Motociclo a solo,,
3665672,Motociclo a solo,,
3665672,Autovettura privata,,
3665681,Autovettura privata,,
3665681,Autovettura privata,,
3665750,Autovettura privata,,
3665750,Vettura tranviaria,,
3665756,,,
3665756,Autovettura privata,,
3666057,Autovettura privata,,
3666057,Autovettura privata,,
3666057,Autovettura privata,,
3666067,Autovettura privata,,
3666067,Autovettura privata,,
3666067,Autovettura privata,,
3666067,Autovettura privata,,
3666071,Autovettura privata,,
3666071,Autovettura privata,,
3666078,Autocarro inferiore 35 q.,,
3666078,Autovettura privata,,
3666079,,,
3666079,Autovettura privata,,
3666079,Autovettura privata,,
3666079,Autovettura privata,,
3666084,Autovettura privata,,
3666084,Autovettura privata,,
3666084,Autovettura privata,,
3666084,Autovettura pubblica,,
3666086,Autovettura privata,,
3666087,Autovettura privata,,
3666087,Autovettura privata,,
3666088,Autovettura privata,,
3666088,Autovettura privata,,
3666090,,,
3666090,Autovettura privata,,
3666097,Autovettura privata,,
3666097,Autovettura privata,,
3666097,Autovettura privata,,
3666103,Motociclo a solo,,
3666113,Autovettura privata,,
3666113,Autovettura privata,,
3666120,Autovettura privata,,
3666120,Autovettura privata,,
3666120,Autovettura privata,,
3666120,Autovettura privata,,
3666120,Autovettura privata,,
3666134,Autovettura privata,,
3666134,Autovettura privata,,
3666134,Motociclo a solo,,
3666136,Autovettura privata,,
3666145,Autovettura privata,,
3666145,Autovettura di polizia,,
3666145,Autovettura di polizia,,
3666150,Autovettura privata,,
3666150,Autovettura privata,,
3666151,Autovettura privata,,
3666151,Autovettura privata,,
3666152,Autovettura privata,,
3666152,Autovettura privata,,
3666152,Autocarro superiore 35 q.,,
3666155,Autovettura privata,,
3666155,Motociclo con passeggero,,
3666155,Motociclo con passeggero,,
3666162,Autovettura privata,,
3666162,Autovettura privata,,
3666162,Autovettura privata,,
3666163,Autovettura privata,,
3666163,Autovettura privata,,
3666164,Autovettura privata,,
3666164,Autovettura privata,,
3666164,Autovettura privata,,
3666188,Autocarro inferiore 35 q.,,
3666192,Autovettura privata,,
3666192,Autovettura privata,,
3666199,Autovettura privata,,
3666199,Autovettura privata,,
3666199,Autovettura privata,,
3666202,Autovettura privata,,
3666202,Autocarro inferiore 35 q.,,
3666244,Autovettura privata,,
3666244,Autovettura privata,,
3666258,Autovettura privata,,
3666258,Autovettura privata,,
3666258,Autovettura privata,,
