ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3851558,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Sufficiente
3851558,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Sufficiente
3851558,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Sufficiente
3851679,Roma,VIA DI TORRENOVA,Asciutto,Strada pavimentata dissestata,Sufficiente
3851679,Roma,VIA DI TORRENOVA,Asciutto,Strada pavimentata dissestata,Sufficiente
3851744,Roma,VIA DEI GELSI,Asciutto,Asfaltata,Sufficiente
3851796,Roma,VIA DEL TEMPIO DEGLI ARVALI,Asciutto,Strada pavimentata dissestata,Ore Diurne
3851796,Roma,VIA DEL TEMPIO DEGLI ARVALI,Asciutto,Strada pavimentata dissestata,Ore Diurne
3851796,Roma,VIA DEL TEMPIO DEGLI ARVALI,Asciutto,Strada pavimentata dissestata,Ore Diurne
3851881,Roma,VIA APPIA PIGNATELLI,Asciutto,Asfaltata,Ore Diurne
3851881,Roma,VIA APPIA PIGNATELLI,Asciutto,Asfaltata,Ore Diurne
3851971,Roma,VIA PIER DELLA FRANCESCA,Asciutto,Asfaltata,Sufficiente
3851971,Roma,VIA PIER DELLA FRANCESCA,Asciutto,Asfaltata,Sufficiente
3851971,Roma,VIA PIER DELLA FRANCESCA,Asciutto,Asfaltata,Sufficiente
3851992,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3851992,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3851992,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne
3852042,Roma,VIA TARSIA,Asciutto,Asfaltata,Ore Diurne
3852094,Roma,VIA GIUSEPPE MANTELLINI,,,
3852099,Roma,VIA TRIONFALE,Asciutto,Asfaltata,Ore Diurne
3852099,Roma,VIA TRIONFALE,Asciutto,Asfaltata,Ore Diurne
3852145,Roma,VIA CRISTOFORO SABBADINO,Asciutto,Asfaltata,Ore Diurne
3852145,Roma,VIA CRISTOFORO SABBADINO,Asciutto,Asfaltata,Ore Diurne
3852145,Roma,VIA CRISTOFORO SABBADINO,Asciutto,Asfaltata,Ore Diurne
3852157,Roma,PIAZZA S. GIOVANNI BATTISTA DE LA SALLE,Asciutto,Asfaltata,Ore Diurne
3852160,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Ore Diurne
3852160,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Ore Diurne
3852160,Roma,VIA DI TOR VERGATA,Asciutto,Asfaltata,Ore Diurne
3852308,Roma,VIALE VATICANO,Asciutto,Asfaltata,Ore Diurne
3852308,Roma,VIALE VATICANO,Asciutto,Asfaltata,Ore Diurne
3852329,Roma,VIA ROGHUDI,Asciutto,Asfaltata,Ore Diurne
3852329,Roma,VIA ROGHUDI,Asciutto,Asfaltata,Ore Diurne
3852334,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne
3852334,Roma,VIA CASSIA,Asciutto,Asfaltata,Ore Diurne
3852356,Roma,VIA ROVIGNO D'ISTRIA,Asciutto,Asfaltata,Ore Diurne
3852356,Roma,VIA ROVIGNO D'ISTRIA,Asciutto,Asfaltata,Ore Diurne
3852356,Roma,VIA ROVIGNO D'ISTRIA,Asciutto,Asfaltata,Ore Diurne
3852364,Roma,LUNGOMARE AMERIGO VESPUCCI,Asciutto,Asfaltata,Ore Diurne
3852364,Roma,LUNGOMARE AMERIGO VESPUCCI,Asciutto,Asfaltata,Ore Diurne
3852429,Roma,CIRCONVALLAZIONE NOMENTANA,Asciutto,Asfaltata,Ore Diurne
3852429,Roma,CIRCONVALLAZIONE NOMENTANA,Asciutto,Asfaltata,Ore Diurne
3852429,Roma,CIRCONVALLAZIONE NOMENTANA,Asciutto,Asfaltata,Ore Diurne
3852429,Roma,CIRCONVALLAZIONE NOMENTANA,Asciutto,Asfaltata,Ore Diurne
3852430,Roma,PIAZZA ADRIANA,Asciutto,Asfaltata,Insufficiente
3852440,Roma,VIA GUIDO CALZA,Asciutto,Asfaltata,Ore Diurne
3852440,Roma,VIA GUIDO CALZA,Asciutto,Asfaltata,Ore Diurne
3852447,Roma,VIA DELLA MAGLIANELLA,Asciutto,Asfaltata,Ore Diurne
3852469,Roma,VIA CAIO CANULEIO,Asciutto,Asfaltata,Ore Diurne
3852469,Roma,VIA CAIO CANULEIO,Asciutto,Asfaltata,Ore Diurne
3852474,Roma,VIA ALESSANDRO PIOLA CASELLI,Asciutto,Asfaltata,Ore Diurne
3852474,Roma,VIA ALESSANDRO PIOLA CASELLI,Asciutto,Asfaltata,Ore Diurne
3852483,Roma,VIA DEI DUE PONTI,Asciutto,Asfaltata,Ore Diurne
3852483,Roma,VIA DEI DUE PONTI,Asciutto,Asfaltata,Ore Diurne
3852609,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3852609,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3852609,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Ore Diurne
3852726,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne
3852726,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne
3852726,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne
3852736,Roma,VIA GIORGIO SCALIA,Asciutto,Asfaltata,Ore Diurne
3852736,Roma,VIA GIORGIO SCALIA,Asciutto,Asfaltata,Ore Diurne
3852738,Roma,CIRCONVALLAZIONE TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3852778,Roma,VIA DI CASALOTTI,Asciutto,Asfaltata,Ore Diurne
3852778,Roma,VIA DI CASALOTTI,Asciutto,Asfaltata,Ore Diurne
