ID,Modello,Targa,Tipo veicolo
3851558,Autovettura privata,,
3851558,Autocarro inferiore 35 q.,,
3851558,Autocarro inferiore 35 q.,,
3851679,Autovettura privata,,
3851679,Autovettura privata,,
3851744,Autovettura privata,,
3851796,Autocarro inferiore 35 q.,,
3851796,Motociclo con passeggero,,
3851796,Autovettura privata,,
3851881,Motociclo a solo,,
3851881,Autovettura privata,,
3851971,Autovettura privata,,
3851971,Autovettura privata,,
3851971,Autovettura di polizia,,
3851992,Autovettura privata,,
3851992,Autovettura privata,,
3851992,Motociclo a solo,,
3852042,,,
3852042,Autovettura privata,,
3852042,Autovettura privata,,
3852042,Autovettura privata,,
3852094,Autovettura privata,,
3852099,Motociclo a solo,,
3852099,Autovettura privata,,
3852145,Autobus di linea,,
3852145,Autovettura privata,,
3852145,Autovettura privata,,
3852157,Motociclo a solo,,
3852160,Autovettura privata,,
3852160,Autovettura privata,,
3852160,Autovettura privata,,
3852308,Autovettura privata,,
3852308,Motociclo a solo,,
3852329,Autovettura privata,,
3852329,Motociclo a solo,,
3852334,Autovettura privata,,
3852334,Motociclo a solo,,
3852356,Autovettura privata,,
3852356,Autovettura privata,,
3852356,Autovettura privata,,
3852364,Autovettura privata,,
3852364,Autovettura privata,,
3852429,Autovettura privata,,
3852429,Autovettura privata,,
3852429,Autovettura privata,,
3852429,Autovettura privata,,
3852430,Motociclo a solo,,
3852440,Autocarro inferiore 35 q.,,
3852440,Autovettura privata,,
3852447,Autobus di linea,,
3852469,Autovettura privata,,
3852469,Autovettura privata,,
3852474,,,
3852474,Autovettura privata,,
3852483,Motociclo con passeggero,,
3852483,Motociclo con passeggero,,
3852609,Autovettura privata,,
3852609,Autocarro inferiore 35 q.,,
3852609,Autocarro inferiore 35 q.,,
3852726,Autovettura privata,,
3852726,Autovettura privata,,
3852726,Autovettura privata,,
3852736,Autovettura privata,,
3852736,Autovettura privata,,
3852738,Autovettura privata,,
3852778,Autovettura privata,,
3852778,Autovettura privata,,
3852802,Motociclo a solo,,
3852867,,,
3852867,Autovettura privata,,
3852881,Autovettura privata,,
3852881,Autovettura privata,,
3852881,Motociclo a solo,,
3852890,Autovettura privata,,
3852890,Autovettura privata,,
3852892,Autovettura privata,,
3852900,,,
3852900,Autovettura privata,,
3852925,Autocarro inferiore 35 q.,,
3852925,Autovettura privata,,
3852939,,,
3852946,Motociclo con passeggero,,
3852946,Motociclo con passeggero,,
3852946,Autovettura privata,,
3852978,Autovettura privata,,
3852997,Motociclo a solo,,
3853017,Autovettura privata,,
3853017,Autovettura privata,,
3853017,Autovettura privata,,
3853017,Autovettura privata,,
3853498,Motociclo a solo,,
3853498,Motociclo a solo,,
3853498,Autovettura privata,,
3853501,Autovettura privata,,
3853501,Autovettura privata,,
3853501,Autovettura privata,,
3853501,Autovettura privata,,
3853509,Autovettura privata,,
3853509,Motociclo a solo,,
3853517,Autobus di linea,,
3853517,Autobus di linea,,
3853523,Autovettura privata,,
3853523,Autovettura privata,,
3853541,Motociclo a solo,,
3853541,Motociclo a solo,,
3853544,Autovettura privata,,
3853544,Motociclo a solo,,
3853551,Autovettura privata,,
3853557,Autovettura pubblica,,
3853557,Autovettura pubblica,,
3853557,Motociclo a solo,,
3853561,,,
3853561,Autovettura privata,,
3853622,Autovettura privata,,
