ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione
3802129,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3802129,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne
3802401,Roma,VIA DI CASAL SELCE,Bagnato (pioggia),Asfaltata,Ore Diurne
3802402,Roma,VIALE FILARETE,Bagnato (pioggia),Asfaltata,Ore Diurne
3802628,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802628,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802658,Roma,VIA BALDO DEGLI UBALDI,Asciutto,Asfaltata,Ore Diurne
3802778,Roma,VIA ARDEATINA,Asciutto,Asfaltata,Sufficiente
3802778,Roma,VIA ARDEATINA,Asciutto,Asfaltata,Sufficiente
3802778,Roma,VIA ARDEATINA,Asciutto,Asfaltata,Sufficiente
3802849,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Sufficiente
3802849,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Sufficiente
3802849,Roma,VIA DI BOCCEA,Asciutto,Asfaltata,Sufficiente
3803043,Roma,VIA CRISTOFORO COLOMBO,Bagnato (pioggia),Asfaltata,Ore Diurne
3803043,Roma,VIA CRISTOFORO COLOMBO,Bagnato (pioggia),Asfaltata,Ore Diurne
3803043,Roma,VIA CRISTOFORO COLOMBO,Bagnato (pioggia),Asfaltata,Ore Diurne
3803047,Roma,VIA ANTONIO PACINOTTI,Asciutto,Asfaltata,Ore Diurne
3803047,Roma,VIA ANTONIO PACINOTTI,Asciutto,Asfaltata,Ore Diurne
3803049,Roma,VIA MAGNAGRECIA,Bagnato (pioggia),Asfaltata,Ore Diurne
3803049,Roma,VIA MAGNAGRECIA,Bagnato (pioggia),Asfaltata,Ore Diurne
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne
3803054,Roma,VIA DI TOR BELLA MONACA,Asciutto,Strada pavimentata dissestata,Ore Diurne
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente
3803055,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Sufficiente
3803066,Roma,VIA BRACCIANENSE,Bagnato (pioggia),Asfaltata,Ore Diurne
3803066,Roma,VIA BRACCIANENSE,Bagnato (pioggia),Asfaltata,Ore Diurne
3803066,Roma,VIA BRACCIANENSE,Bagnato (pioggia),Asfaltata,Ore Diurne
3803067,Roma,VIA RAOUL CHIODELLI,,,
3803067,Roma,VIA RAOUL CHIODELLI,,,
3803074,Roma,VIA ATTEONE,Asciutto,Asfaltata,Sufficiente
3803074,Roma,VIA ATTEONE,Asciutto,Asfaltata,Sufficiente
3803074,Roma,VIA ATTEONE,Asciutto,Asfaltata,Sufficiente
3803082,Roma,VIA PRENESTINA,Asciutto,Asfaltata,Sufficiente
3803083,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3803083,Roma,VIA APPIA NUOVA,Asciutto,Asfaltata,Ore Diurne
3803084,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3803084,Roma,VIA TUSCOLANA,Asciutto,Asfaltata,Ore Diurne
3803099,Roma,GALLERIA GIOVANNI XXIII,Asciutto,Asfaltata,Ore Diurne
3803102,Roma,VIA TRIONFALE,Asciutto,Asfaltata,Sufficiente
3803115,Roma,CIRCONVALLAZIONE GIANICOLENSE,Asciutto,Asfaltata,Sufficiente
3803115,Roma,CIRCONVALLAZIONE GIANICOLENSE,Asciutto,Asfaltata,Sufficiente
3803119,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3803119,Roma,VIA CASILINA,Asciutto,Asfaltata,Ore Diurne
3803126,Roma,VIA DELLA PINETA SACCHETTI,Asciutto,Asfaltata,Sufficiente
3803126,Roma,VIA DELLA PINETA SACCHETTI,Asciutto,Asfaltata,Sufficiente
