ID,TipoPersona,Sesso,TipoLesione
3802129,Conducente,M,Illeso
3802129,Conducente,M,Illeso
3802401,Conducente,F,Rimandato
3802401,Conducente,M,Illeso
3802401,Passeggero,F,Rimandato
3802401,Passeggero,F,Illeso
3802401,Conducente,M,Rifiuta cure immediate
3802402,Conducente,M,Illeso
3802628,Conducente,M,Illeso
3802628,Conducente,M,Illeso
3802658,Conducente,M,Illeso
3802658,Conducente,M,Rifiuta cure immediate
3802658,Passeggero,F,Rifiuta cure immediate
3802658,Conducente,M,Illeso
3802658,Passeggero,F,Illeso
3802778,Conducente,F,Illeso
3802778,Passeggero,M,Illeso
3802778,Conducente,M,Ricoverato
3802849,Conducente,F,Rimandato
3802849,Passeggero,F,Rimandato
3802849,Conducente,M,Rimandato
3803043,Conducente,F,Illeso
3803043,Passeggero,M,Rimandato
3803043,Conducente,M,Illeso
3803047,Conducente,F,Illeso
3803047,Conducente,M,Illeso
3803049,Pedone,F,Rimandato
3803049,Conducente,M,Rimandato
3803054,Conducente,M,Illeso
3803054,Passeggero,M,Illeso
3803054,Conducente,M,Illeso
3803054,Passeggero,F,Illeso
3803054,Passeggero,M,Illeso
3803054,Passeggero,M,Illeso
3803055,Conducente,F,Rifiuta cure immediate
3803055,Conducente,F,Illeso
3803055,Passeggero,M,Illeso
3803055,Conducente,M,Illeso
3803066,Conducente,F,Illeso
3803066,Passeggero,M,Illeso
3803066,Conducente,M,Illeso
3803067,Conducente,M,Illeso
3803067,Conducente,M,Illeso
3803074,Conducente,M,Rifiuta cure immediate
3803074,Passeggero,M,Rifiuta cure immediate
3803074,Conducente,F,Illeso
3803082,Conducente,F,Illeso
3803083,Conducente,M,Illeso
3803083,Conducente,M,Illeso
3803084,Conducente,F,Illeso
3803084,Conducente,F,Rimandato
3803099,Conducente,M,Illeso
3803102,Conducente,F,Illeso
3803115,Conducente,F,Illeso
3803115,Passeggero,M,Illeso
3803119,Conducente,M,Illeso
3803119,Conducente,M,Illeso
3803126,Conducente,M,Illeso
3803126,Conducente,M,Rifiuta cure immediate
3803126,Passeggero,M,Rifiuta cure immediate
3803138,Conducente,M,Illeso
3803146,Conducente,M,Illeso
3803146,Passeggero,F,Illeso
3803146,Passeggero,M,Illeso
3803146,Passeggero,M,Illeso
3803146,Passeggero,M,Illeso
3803146,Conducente,F,Illeso
3803146,Passeggero,M,Illeso
3803168,Conducente,M,Illeso
3803168,Passeggero,M,Illeso
3803168,Passeggero,F,Illeso
3803168,Passeggero,F,Illeso
3803168,Conducente,M,Illeso
