Citta',Data,Ora,Luogo,Coordinate,Illesi,Feriti,Riservata,Decessi,Natura
Matera,2018-01-01,16:50,km 2+600,"(40.639179018502254,16.622164249420166)",0,3,0,0,Scontro frontale laterale
Matera,2018-01-02,10:20,via zanardelli,"(,)",0,0,0,0,Tamponamento
Matera,2018-01-02,16:50,"vai annunziatella altezza ""Linea Sport""","(40.67079852,16.60556406)",0,1,0,0,Investimento di pedone
Matera,2018-01-03,17:15,Via Trabaci c/o rotatoria Via La Martella,"(40.67351842,16.58615291)",0,0,0,0,Altro
Matera,2018-01-05,12:40,Via Da Vinci incr. Via Pizzilli- Vico III Nazionale,"(40.67642331,16.59537435)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-07,18:40,Via Nazionale n. 56,"(40.67357741,16.60001725)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-08,08:05,Via Parini intersezione Via Petrarca,"(40.67344315,16.59621119)",0,3,0,0,Scontro frontale laterale
Matera,2018-01-08,10:10,"Area Ospedale ""Madonna delle Grazie"" Parcheggio","(40.6542876,16.61323786)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-09,08:00,Via A.Moro altezza n. 26,"(40.66573479,16.60027206)",0,0,0,0,Urto contro ostacolo fisso
Matera,2018-01-09,19:50,Via Don Minzoni ang. Piazza Matteotti,"(40.66666253,16.60217911)",0,0,0,0,Tamponamento
Matera,2018-01-10,09:30,Via Dante fr. civ. n. 61/G,"(40.6723609,16.59390986)",0,0,0,0,Urto contro ostacolo fisso
Matera,2018-01-11,17:20,Via dei Peucezi civ. 20-22,"(40.68247476,16.58620387)",0,1,0,0,Investimento di pedone
Matera,2018-01-12,10:25,Km 15+800,"(,)",0,0,0,0,Urto contro ostacolo fisso
Matera,2018-01-12,13:15,Via Mattei altezza I.T.I.S. Pentasuglia,"(40.67966573,16.57906651)",0,1,0,0,Investimento di pedone
Matera,2018-01-13,10:15,"Area Ospedale ""Madonna delle Grazie""","(40.65404749,16.6121918)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-16,08:25,Via Einaudi 13,"(40.66794425,16.59808874)",0,2,0,0,Scontro frontale laterale
Matera,2018-01-17,12:40,Via Dante inters. Via Montefinese,"(40.67582525,16.58881903)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-18,08:50,Via a Moro,"(,)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-13,14:15,Via Cappuccini intersezione Via Casalnuovo,"(40.65535386,16.61695004)",0,0,0,0,Tamponamento
Matera,2018-01-21,13:00,Area Parcheggio Via Saragat,"(40.66658522,16.59681201)",0,2,0,0,Urto contro ostacolo fisso
Matera,2018-01-22,10:40,Via Passarelli intersezione Via D'Alessio,"(40.66456087,16.60256535)",0,0,0,0,Scontro frontale laterale
Matera,2018-01-23,16:55,Via San Vito inters. SS 7,"(40.68150859964763,16.602444648742676)",0,0,0,0,Altro
