Citta',Data,Ora,Luogo,Coordinate,Illesi,Feriti,Riservata,Decessi,Tipo,Causa,Visibilità,Fondo_stradale,Meteo,Pavimentazione,Illuminazione
Palermo,2018-01-01,01:00,VIALE DIANA ,"(38.160163,13.342569)",,2,,,,,,,,,
Palermo,2018-01-01,03:30,VIALE REGIONE SICILIANA S.E. ,"(38.09062,13.379696)",,,,,,,,,,,
Palermo,2018-01-01,03:00,VIA ALLA FALCONARA ,"(38.117536,13.292086)",,,,,,,,,,,
Palermo,2018-01-01,08:00,VIA SAURO NAZARIO ,"(38.122549,13.332412)",,1,,,,,,,,,
Palermo,2018-01-01,16:55,VIALE REGIONE SICILIANA N.O. ,"(38.117358,13.32867)",,,,,,,,,,,
Palermo,2018-01-01,13:15,VIA MALASPINA ,"(38.124183,13.347778)",,1,,,,,,,,,
Palermo,2018-01-01,17:00,VIA OLIO DI LINO ,"(38.085677,13.326955)",,1,,,,,,,,,
Palermo,2018-01-02,09:15,VIA MESSINA MARINE ,"(38.10679,13.383035)",,,,,,,,,,,
Palermo,2018-01-02,11:30,VIA SUNSERI GIUSEPPE ,"(38.108123,13.338802)",,,,,,,,,,,
Palermo,2018-01-02,07:50,VIA PANDOLFINI ,"(38.113376,13.307633)",,,,,,,,,,,
Palermo,2018-01-02,18:00,VIA BELGIO ,"(38.151747,13.331055)",,,,,,,,,,,
Palermo,2018-01-02,18:30,VIA MAJALI GIULIANO ,"(38.109241,13.359745)",,2,,,,,,,,,
Palermo,2018-01-02,22:00,VIA DANTE ,"(38.122068,13.34382)",,,,,,,,,,,
Palermo,2018-01-03,09:45,VIA GRAVINA AMMIRAGLIO ,"(38.125014,13.358613)",,1,,,,,,,,,
Palermo,2018-01-03,14:00,PIAZZA MARINA ,"(38.118175,13.36765)",,2,,,,,,,,,
Palermo,2018-01-02,07:04,VIA POLLACI GIUSEPPE ,"(38.102835,13.329774)",,,,,,,,,,,
Palermo,2018-01-02,11:00,VIA PIANO DI GALLO ,"(38.208464,13.328453)",,1,,,,,,,,,
Palermo,2018-01-03,15:30,VIALE CAMPANIA ,"(38.144234,13.340003)",,1,,,,,,,,,
Palermo,2018-01-03,16:20,VIALE DE GASPERI ALCIDE ,"(38.150141,13.3355)",,,,,,,,,,,
Palermo,2018-01-03,21:00,VIA RAMPOLLA MARIANO CARD. ,"(38.149147,13.365065)",,,,,,,,,,,
Palermo,2018-01-03,21:15,VIA BASILE ERNESTO ,"(38.10712,13.353556)",,,,,,,,,,,
Palermo,2018-01-04,01:00,VIA CRISPI FRANCESCO ,"(38.126988,13.362375)",,,,,,,,,,,
Palermo,2018-01-04,06:00,CORSO CALATAFIMI ,"(38.109118,13.345234)",,2,,,,,,,,,
Palermo,2018-01-04,10:00,VIA PIPITONE FEDERICO GIUSEPPE ,"(38.136151,13.3461)",,,,,,,,,,,
Palermo,2018-01-04,10:15,VIA RIZZO AMMIRAGLIO ,"(38.14339,13.358489)",,1,,,,,,,,,
Palermo,2018-01-04,11:30,VIA MONTE S.CALOGERO ,"(38.151831,13.326684)",,,,,,,,,,,
Palermo,2018-01-04,11:00,VIA EUGENIO L'EMIRO ,"(38.114628,13.341666)",,1,,,,,,,,,
Palermo,2018-01-05,09:30,VIALE REGIONE SICILIANA S.E. ,"(38.096784,13.33461)",,1,,,,,,,,,
Palermo,2018-01-04,14:30,VIALE COTTOLENGO ,"(38.169103,13.324313)",,,,,,,,,,,
Palermo,2018-01-05,16:00,VIA CRISTODULO AMMIRAGLIO ,"(38.096792,13.426032)",,1,,,,,,,,,
Palermo,2018-01-05,18:35,VIA MALASPINA ,"(38.128822,13.34001)",,1,,,,,,,,,
Palermo,2018-01-05,15:15,VIA SIRTORI GIUSEPPE GEN. ,"(38.127378,13.341325)",,1,,,,,,,,,
Palermo,2018-01-05,18:30,VIA LANZA DI SCALEA GIUSEPPE ,"(38.183166,13.30396)",,6,,,,,,,,,
Palermo,2018-01-05,23:00,PIAZZA GIULIO CESARE,"(38.110695,13.366503)",,1,,,,,,,,,
Palermo,2018-01-06,04:00,VIA STABILE MARIANO ,"(38.123149,13.358127)",,,,,,,,,,,
Palermo,2018-01-06,14:45,VIA DELL'ORSA MAGGIORE ,"(38.093681,13.360833)",,1,,,,,,,,,
Palermo,2018-01-06,15:30,P.ZZA PRINCIPE DI CAMPOREALE ,"(38.120122,13.339751)",,1,,,,,,,,,
Palermo,2018-01-07,06:15,CORSO DEI MILLE ,"(38.105498,13.375131)",,1,,,,,,,,,
Palermo,2018-01-07,11:15,VIA MESSINA MARINE ,"(38.106774,13.383103)",,1,,,,,,,,,
Palermo,2018-01-07,15:00,VIA ALBERGHERIA ,"(38.110598,13.359549)",,,,,,,,,,,
Palermo,2018-01-05,10:30,PIAZZALE BOLIVAR SIMON ,"(38.189187,13.29894)",,1,,,,,,,,,
Palermo,2018-01-05,15:10,VIA LANZA DI SCALEA GIUSEPPE ,"(38.180824,13.305851)",,,,,,,,,,,
Palermo,2018-01-06,12:30,VIA STABILE MARIANO ,"(38.12243,13.35637)",,,,,,,,,,,
Palermo,2018-01-07,01:45,VIALE NICOLETTI ROSARIO ,"(38.192709,13.287524)",,,,,,,,,,,
Palermo,2018-01-08,11:30,VIALE REGIONE SICILIANA N.O. ,"(38.147676,13.32708)",,1,,,,,,,,,
Palermo,2018-01-05,14:45,VIALE ERCOLE ,"(38.150433,13.348282)",,,,,,,,,,,
Palermo,2018-01-08,13:30,VIA ARMAFORTE EMANUELE ,"(38.125591,13.34024)",,,,,,,,,,,
Palermo,2018-01-08,16:00,VIA CASTELLANA ,"(38.125689,13.296974)",,1,,,,,,,,,
Palermo,2018-01-08,18:50,VIA DEL CASTORO ,"(38.084315,13.359298)",,1,,,,,,,,,
Palermo,2018-01-08,20:25,VIA DELL'ORSA MINORE ,"(38.095246,13.368692)",,1,,,,,,,,,
Palermo,2018-01-09,06:30,VIALE DE GASPERI ALCIDE ,"(38.149097,13.332874)",,1,,,,,,,,,
Palermo,2018-01-09,14:10,VIA DELLA LIBERTA' ,"(38.138747,13.346407)",,1,,,,,,,,,
Palermo,2018-01-09,14:00,VIA BEATO ANGELICO ,"(38.127342,13.32292)",,1,,,,,,,,,
Palermo,2018-01-09,14:10,VIA ONORATO CARMELO ,"(38.10746,13.346317)",,1,,,,,,,,,
Palermo,2018-01-09,14:30,PIAZZA TONNARA ,"(38.152487,13.374748)",,1,,,,,,,,,
Palermo,2018-01-09,18:30,VIALE STRASBURGO ,"(38.155241,13.327735)",,1,,,,,,,,,
Palermo,2018-01-10,01:40,STRADA PROV. PALERMO,"(38.092136,13.303306)",,,,,,,,,,,
Palermo,2018-01-10,08:05,VIA MAJALI GIULIANO ,"(38.109576,13.361482)",,1,,,,,,,,,
Palermo,2018-01-10,07:15,VIA ARIOSTO LUDOVICO ,"(38.134798,13.346967)",,,,,,,,,,,
Palermo,2018-01-10,11:15,VIA SAMMARTINO ,"(38.123092,13.350879)",,1,,,,,,,,,
Palermo,2018-01-10,11:15,VIA TOMMASO NATALE ,"(38.183362,13.292686)",,1,,,,,,,,,
Palermo,2018-01-08,16:00,VIA CAVOUR CAMILLO ,"(38.12189,13.360425)",,1,,,,,,,,,
Palermo,2018-01-10,07:40,VIA CIMABUE GIOVANNI ,"(38.130898,13.325735)",,,,,,,,,,,
Palermo,2018-01-10,08:50,VIALE REGIONE SICILIANA N.O. ,"(38.105366,13.330161)",,,,,,,,,,,
Palermo,2018-01-10,14:05,VIA DEI QUARTIERI ,"(38.161805,13.326298)",,1,,,,,,,,,
Palermo,2018-01-10,14:00,VIA PARATORE GIUSEPPE ,"(38.094061,13.373888)",,1,,,,,,,,,
Palermo,2018-01-10,15:00,VIA ARIOSTO LUDOVICO ,"(38.134309,13.345702)",,1,,,,,,,,,
Palermo,2018-01-10,23:15,VIA DI MARCO DOMENICO ,"(38.14094,13.343883)",,1,,,,,,,,,
Palermo,2018-01-10,22:15,VIA BONANNO PIETRO ,"(38.152623,13.364516)",,2,,,,,,,,,
Palermo,2018-01-11,04:00,PIAZZA TURBA EUCLIDE GEN. ,"(38.100884,13.338012)",,1,,,,,,,,,
Palermo,2018-01-09,08:40,VIALE REGIONE SICILIANA ,"(38.139689,13.330562)",,,,,,,,,,,
Palermo,2018-01-08,08:15,VIA BASILE ERNESTO ,"(38.10676,13.353006)",,,,,,,,,,,
Palermo,2018-01-10,16:10,PIAZZA GIULIO CESARE ,"(38.110814,13.366811)",,,,,,,,,,,
Palermo,2018-01-10,16:00,VIA DELL'ORSA MINORE ,"(38.096676,13.371611)",,1,,,,,,,,,
Palermo,2018-01-11,12:30,VIALE GALILEO GALILEI ,"(38.137679,13.332131)",,1,,,,,,,,,
Palermo,2018-01-10,16:00,VIALE STRASBURGO ,"(38.159894,13.323381)",,,,,,,,,,,
Palermo,2018-01-10,22:25,CORSO CALATAFIMI ,"(38.099547,13.321598)",,,,,,,,,,,
Palermo,2018-01-10,09:35,VIA PEREZ FRANCESCO PAOLO ,"(38.10791,13.365121)",,,,,,,,,,,
Palermo,2018-01-11,13:15,VIA CARTAGINE ,"(38.125186,13.304172)",,,,,,,,,,,
Palermo,2018-01-11,16:00,FORO UMBERTO I ,"(38.11303,13.377788)",,1,,,,,,,,,
Palermo,2018-01-11,17:15,VIA ROMA ,"(38.118429,13.362546)",,1,,,,,,,,,
Palermo,2018-01-11,15:50,VIALE REGIONE SICILIANA N.O. ,"(38.132489,13.329765)",,1,,,,,,,,,
Palermo,2018-01-12,06:35,VIA LA COLLA FRANCESCO ,"(38.101053,13.372784)",,3,,,,,,,,,
Palermo,2018-01-12,10:50,VIA BERNINI GIAN LORENZO ,"(38.131862,13.328822)",,1,,,,,,,,,
Palermo,2018-01-12,12:05,VIALE REGIONE SICILIANA N.O. ,"(38.125194,13.329378)",,1,,,,,,,,,
Palermo,2018-01-12,16:40,VIALE REGIONE SICILIANA S.E. ,"(38.103213,13.330394)",,,,,,,,,,,
Palermo,2018-01-12,19:15,VIALE REGIONE SICILIANA S.E. ,"(38.096484,13.336006)",,1,,,,,,,,,
Palermo,2018-01-12,20:00,CORSO CALATAFIMI ,"(38.101566,13.326529)",,1,,,,,,,,,
Palermo,2018-01-13,02:40,VIA PACINOTTI ANTONIO ,"(38.128704,13.335398)",,3,,,,,,,,,
Palermo,2018-01-13,08:15,VIALE REGIONE SICILIANA ,"(38.120432,13.328739)",,1,,,,,,,,,
Palermo,2018-01-13,10:45,VIALE EMILIA ,"(38.147108,13.33993)",,1,,,,,,,,,
Palermo,2018-01-13,16:00,VIA DON ORIONE ,"(38.142761,13.361826)",,,,,,,,,,,
Palermo,2018-01-13,18:00,VIALE STRASBURGO ,"(38.149105,13.332889)",,1,,,,,,,,,
Palermo,2018-01-13,21:10,VIALE DELLA RESURREZIONE ,"(38.170669,13.327669)",,1,,,,,,,,,
Palermo,2018-01-13,23:15,VIA ROMA ,"(38.124568,13.358902)",,2,,,,,,,,,
Palermo,2018-01-14,01:15,VIA LINCOLN ,"(38.113518,13.372574)",,,,,,,,,,,
Palermo,2018-01-14,03:15,VIA PANDOLFINI ,"(38.113386,13.307514)",,1,,,,,,,,,
Palermo,2018-01-14,07:30,VIA PEREZ FRANCESCO PAOLO ,"(38.107903,13.36514)",,,,,,,,,,,
