Citta',Data,Ora,Luogo,Coordinate,Illesi,Feriti,Riservata,Decessi,Natura
Roma,2018-01-01,00:00,VIALE DELL'ASTRONOMIA,"(41.835030000000003,12.46421)",0,0,0,0,Veicolo in marcia contro veicoli in sosta
Roma,2018-01-01,00:00,VIA GIOVANNI BATTISTA DE ROSSI,"(41.916319999999999,12.51721)",1,0,0,0,Veicolo in marcia contro veicoli in sosta
Roma,2018-01-01,00:30,VIALE DELLE GARDENIE,"(41.885869999999997,12.56439)",1,3,0,0,Scontro frontale/laterale DX fra veicoli in marcia
Roma,2018-01-01,01:15,VIA DI TOR VERGATA,"(41.834249999999997,12.61964)",2,2,0,0,Scontro frontale fra veicoli in marcia
Roma,2018-01-01,01:25,PIAZZA DI S. GIOVANNI IN LATERANO,"(41.886870000000002,12.50672)",6,0,0,0,Scontro laterale fra veicoli in marcia
Roma,2018-01-01,01:50,PIAZZA CESARIO CONSOLE,"(41.727379999999997,12.28571)",4,0,0,0,Scontro frontale/laterale DX fra veicoli in marcia
Roma,2018-01-01,02:00,VIA ENRICO DELL'ACQUA,"(41.86544,12.650320000000001)",3,0,0,0,Scontro frontale/laterale SX fra veicoli in marcia
Roma,2018-01-01,02:05,VIA MARMORATA,"(41.878720000000001,12.47916)",2,0,0,0,Veicolo in marcia contro ostacolo fisso
Roma,2018-01-01,02:15,VIA MARMORATA,"(41.879809999999999,12.478400000000001)",0,1,0,0,Tamponamento
Roma,2018-01-01,02:35,LUNGOTEVERE DEI MELLINI,"(41.906959999999998,12.473280000000001)",4,0,0,0,Tamponamento
Roma,2018-01-01,02:40,VIA MACERATA,"(41.889949999999999,12.526529999999999)",2,0,0,0,Veicolo in marcia contro veicoli in sosta
Roma,2018-01-01,02:40,VIA DELLA CAMILLUCCIA,"(41.932850000000002,12.44422)",3,0,0,0,Tamponamento
Roma,2018-01-01,02:45,VIA DI TORREVECCHIA,"(41.923319999999997,12.412229999999999)",8,0,0,0,Scontro frontale/laterale DX fra veicoli in marcia
Roma,2018-01-01,03:00,VIALE GIUSEPPE MAZZINI,"(41.916670000000003,12.46453)",1,0,0,0,Veicolo in marcia contro ostacolo fisso
Roma,2018-01-01,03:00,LUNGOTEVERE ARNALDO DA BRESCIA,"(41.914479999999998,12.47165)",3,0,0,0,Tamponamento
Roma,2018-01-01,03:00,VIA LAURENTINA,"(41.801929999999999,12.483700000000001)",1,0,0,0,Ribaltamento senza urto contro ostacolo fisso
Roma,2018-01-01,03:05,VIA LAURENTINA,"(41.801929999999999,12.483700000000001)",1,0,0,0,Veicolo in marcia contro ostacolo fisso
Roma,2018-01-01,03:15,VIA DEL FORO ITALICO,"(41.939909999999998,12.483750000000001)",5,0,0,0,Scontro laterale fra veicoli in marcia
Roma,2018-01-01,03:20,PIAZZALE VALERIO MASSIMO,"(41.905810000000002,12.522069999999999)",5,0,0,0,Scontro frontale/laterale DX fra veicoli in marcia
Roma,2018-01-01,03:30,Tang Est dir San Giovanni,"(41.907980000000002,12.531230000000001)",1,0,0,0,Veicolo in marcia contro ostacolo fisso
Roma,2018-01-01,03:45,VIALE DELL'OCEANO PACIFICO,"(41.825749999999999,12.45499)",1,0,0,0,Veicolo in marcia contro ostacolo fisso
Roma,2018-01-01,03:45,CORSO D'ITALIA,"(41.910870000000003,12.49713)",1,0,0,0,Veicolo in marcia contro veicoli in sosta
Roma,2018-01-01,04:00,VIA NOMENTANA,"(41.942279999999997,12.554819999999999)",0,1,0,0,Veicolo in marcia contro veicolo in sosta
Roma,2018-01-01,04:20,VIA CALOPEZZATI,"(41.73742,12.4701)",1,0,0,0,Veicolo in marcia contro ostacolo accidentale
Roma,2018-01-01,04:30,VIA DI DRAGONE,"(41.783430000000003,12.33258)",2,0,0,0,Veicolo in marcia contro ostacolo accidentale
Roma,2018-01-01,04:50,PIAZZA SALERNO,"(41.910600000000002,12.51296)",1,0,0,0,Veicolo in marcia contro ostacolo fisso
Roma,2018-01-01,05:00,VIALE DELLA CIVILTA' DEL LAVORO,"(41.835819999999998,12.468400000000001)",0,0,0,0,Veicolo in marcia contro ostacolo accidentale
Roma,2018-01-01,05:00,VIALE PALMIRO TOGLIATTI,"(41.85519,12.571389999999999)",2,0,0,0,Veicolo in marcia contro veicoli in sosta
Roma,2018-01-01,05:10,VIA PRENESTINA,"(41.89134,12.52801)",1,2,0,0,Scontro frontale/laterale SX fra veicoli in marcia
