ID,TipoPersona,Sesso,TipoLesione
3851558,Conducente,F,Illeso
3851558,Conducente,M,Illeso
3851558,Passeggero,M,Illeso
3851679,Passeggero,M,Illeso
3851679,Passeggero,M,Illeso
3851744,Conducente,M,Rimandato
3851796,Conducente,M,Illeso
3851796,Conducente,M,Rimandato
3851796,Conducente,F,Rimandato
3851881,Conducente,M,Rimandato
3851881,Conducente,M,Illeso
3851971,Conducente,M,Illeso
3851971,Passeggero,M,Illeso
3851971,Conducente,M,Illeso
3851992,Conducente,M,Illeso
3851992,Passeggero,F,Illeso
3851992,Conducente,F,Rifiuta cure immediate
3852042,Pedone,F,Rimandato
3852042,Conducente,F,Illeso
3852042,Passeggero,M,Illeso
3852042,Passeggero,M,Illeso
3852094,Conducente,M,Illeso
3852099,Conducente,M,Rifiuta cure immediate
3852099,Conducente,M,Illeso
3852145,Conducente,M,Illeso
3852145,Conducente,M,Illeso
3852145,Passeggero,F,Illeso
3852157,Conducente,M,Rimandato
3852160,Conducente,M,Rimandato
3852160,Passeggero,M,Rimandato
3852160,Conducente,M,Illeso
3852308,Conducente,F,Illeso
3852308,Conducente,M,Rimandato
3852329,Conducente,M,Illeso
3852329,Conducente,M,Rimandato
3852334,Conducente,M,Illeso
3852334,Conducente,M,Illeso
3852356,Conducente,F,Illeso
3852356,Passeggero,F,Illeso
3852356,Conducente,F,Illeso
3852364,Conducente,M,Illeso
3852364,Conducente,M,Rimandato
3852429,Conducente,M,Illeso
3852429,Conducente,F,Illeso
3852429,Passeggero,F,Illeso
3852429,Passeggero,M,Illeso
3852430,Conducente,M,Rimandato
3852440,Conducente,M,Illeso
3852440,Conducente,F,Rimandato
3852447,Conducente,M,Rimandato
3852469,Conducente,M,Illeso
3852469,Conducente,F,Illeso
3852474,Pedone,F,Rimandato
3852474,Conducente,F,Illeso
3852483,Conducente,M,Illeso
3852483,Passeggero,F,Illeso
3852609,Conducente,M,Illeso
3852609,Conducente,M,Illeso
3852609,Passeggero,M,Illeso
3852726,Conducente,M,Illeso
3852726,Conducente,F,Rimandato
3852726,Passeggero,M,Illeso
3852736,Conducente,F,Illeso
3852736,Conducente,M,Rifiuta cure immediate
3852738,Conducente,M,Illeso
3852778,Conducente,F,Illeso
3852778,Conducente,M,Illeso
3852802,Conducente,M,Rimandato
3852867,Pedone,M,Rimandato
3852867,Conducente,M,Illeso
