ID,TipoPersona,Sesso,TipoLesione
3706661,Conducente,M,Rimandato
3706661,Conducente,F,Illeso
3706773,Conducente,M,Illeso
3706774,Conducente,M,Rimandato
3706831,Conducente,F,Illeso
3706831,Conducente,F,Illeso
3706858,Conducente,M,Rimandato
3706858,Conducente,M,Illeso
3706944,Conducente,M,Rimandato
3706944,Passeggero,F,Rimandato
3707011,Conducente,F,Illeso
3707011,Passeggero,F,Illeso
3707011,Conducente,M,Illeso
3707069,Conducente,M,Illeso
3707069,Conducente,M,Rimandato
3707069,Conducente,M,Illeso
3707098,Conducente,M,Illeso
3707098,Conducente,M,Illeso
3707104,Conducente,M,Illeso
3707104,Conducente,M,Illeso
3707258,Conducente,M,Illeso
3707258,Conducente,M,Illeso
3707408,Conducente,M,Illeso
3707408,Passeggero,M,Illeso
3707408,Conducente,M,Ricoverato
3707517,Conducente,F,Illeso
3707528,Pedone,M,Rimandato
3707528,Conducente,F,Illeso
3707561,Conducente,M,Rimandato
3707600,Conducente,M,Illeso
3707600,Conducente,M,Illeso
3707613,Conducente,M,Illeso
3707613,Conducente,M,Illeso
3707810,Conducente,M,Illeso
3707810,Conducente,M,Illeso
3707810,Passeggero,M,Illeso
3707856,Conducente,M,Illeso
3707877,Conducente,M,Illeso
3707877,Conducente,F,Illeso
3707892,Conducente,F,Illeso
3707892,Passeggero,M,Illeso
3707892,Passeggero,F,Illeso
3707892,Conducente,M,Illeso
3707892,Passeggero,F,Illeso
3707934,Conducente,M,Illeso
3707970,Conducente,M,Illeso
3707975,Conducente,M,Illeso
3708386,Conducente,M,Deceduto durante prime cure
3708386,Passeggero,F,Prognosi riservata
3708388,Conducente,M,Illeso
3708388,Passeggero,F,Illeso
3708388,Conducente,M,Illeso
3708399,Conducente,F,Illeso
3708399,Conducente,M,Illeso
3708403,Conducente,F,Illeso
3708403,Conducente,M,Illeso
3708403,Passeggero,F,Illeso
3708411,Conducente,M,Illeso
3708411,Conducente,F,Illeso
3708414,Conducente,M,Illeso
3708414,Conducente,M,Illeso
3708418,Conducente,M,Illeso
3708418,Passeggero,F,Illeso
3708418,Conducente,M,Rimandato
3708419,Conducente,F,Illeso
3708419,Conducente,M,Rimandato
3708420,Conducente,M,Illeso
3708426,Conducente,M,Illeso
3708430,Conducente,F,Illeso
3708430,Conducente,M,Illeso
3708430,Passeggero,M,Illeso
3708433,Conducente,F,Illeso
3708433,Conducente,F,Illeso
3708433,Conducente,M,Illeso
3708434,Conducente,M,Illeso
3708435,Conducente,M,Illeso
3708435,Conducente,M,Illeso
3708435,Conducente,F,Rimandato
3708460,Conducente,M,Illeso
3708464,Conducente,M,Illeso
3708464,Passeggero,M,Illeso
3708464,Conducente,M,Illeso
3708466,Conducente,M,Illeso
3708466,Passeggero,M,Illeso
3708466,Conducente,M,Illeso
3708474,Conducente,M,Illeso
3708474,Passeggero,M,Illeso
3708474,Conducente,M,Illeso
3708474,Passeggero,F,Illeso
3708476,Conducente,F,Illeso
3708476,Conducente,M,Illeso
3708476,Conducente,M,Illeso
3708476,Passeggero,M,Illeso
3708476,Passeggero,M,Illeso
3708481,Conducente,F,Illeso
3708487,Conducente,M,Illeso
3708490,Conducente,M,Rifiuta cure immediate
3708490,Conducente,M,Rimandato
3708490,Conducente,M,Illeso
3708491,Conducente,M,Illeso
3708492,Conducente,M,Rifiuta cure immediate
3708492,Conducente,M,Rimandato
3708493,Conducente,M,Illeso
3708507,Conducente,M,Illeso
3708507,Conducente,M,Rimandato
3708509,Conducente,F,Illeso
3708509,Conducente,F,Illeso
3708517,Conducente,F,Illeso
3708517,Conducente,M,Illeso
3708525,Conducente,M,Illeso
3708525,Conducente,M,Illeso
3708526,Conducente,M,Illeso
3708536,Conducente,F,Illeso
3708536,Passeggero,M,Illeso
3708536,Conducente,F,Illeso
3708536,Passeggero,F,Illeso
3708541,Conducente,F,Illeso
3708541,Passeggero,M,Illeso
3708541,Conducente,M,Illeso
3708548,Conducente,M,Illeso
3708549,Conducente,M,Illeso
3708551,Conducente,F,Illeso
3708551,Conducente,F,Illeso
3708557,Conducente,M,Illeso
3708557,Conducente,M,Illeso
3708560,Conducente,M,Illeso
3708560,Conducente,F,Illeso
3708574,Conducente,M,Illeso
3708574,Conducente,M,Rimandato
3708574,Passeggero,F,Rimandato
3708589,Conducente,F,Illeso
3708589,Conducente,M,Illeso
3708589,Passeggero,M,Illeso
3708589,Passeggero,M,Illeso
3708589,Passeggero,F,Illeso
3708589,Passeggero,M,Illeso
3708589,Passeggero,M,Illeso
3708593,Conducente,M,Illeso
3708597,Conducente,M,Illeso
3708597,Conducente,F,Rimandato
3708601,Conducente,M,Illeso
3708601,Conducente,M,Illeso
3708606,Conducente,M,Illeso
3708606,Passeggero,F,Illeso
3708610,Conducente,M,Illeso
3708610,Conducente,M,Illeso
3708612,Conducente,M,Illeso
3708612,Conducente,M,Illeso
3708642,Conducente,M,Illeso
3708642,Passeggero,M,Illeso
3708693,Conducente,M,Illeso
3708719,Conducente,M,Illeso
3708730,Conducente,M,Illeso
3708730,Conducente,M,Illeso
3708730,Passeggero,F,Illeso
3708732,Conducente,M,Illeso
3708735,Conducente,M,Illeso
3708735,Passeggero,F,Illeso
3708735,Passeggero,F,Illeso
3708735,Conducente,F,Illeso
3708738,Pedone,M,Rifiuta cure immediate
3708738,Conducente,M,Illeso
3708756,Conducente,M,Illeso
3708769,Conducente,M,Illeso
3708769,Conducente,M,Rimandato
3708793,Conducente,M,Illeso
3708793,Conducente,M,Illeso
3708934,Conducente,F,Illeso
3708934,Passeggero,M,Illeso
3708934,Conducente,F,Illeso
3708973,Conducente,M,Illeso
3708999,Conducente,M,Illeso
3709011,Conducente,M,Illeso
3709011,Passeggero,M,Illeso
3709011,Passeggero,F,Illeso
3709011,Passeggero,F,Illeso
3709032,Conducente,M,Illeso
3709036,Conducente,F,Illeso
3709036,Conducente,M,Illeso
3709041,Conducente,F,Illeso
3709044,Conducente,M,Illeso
3709044,Passeggero,M,Illeso
3709044,Conducente,F,Illeso
3709087,Conducente,M,Illeso
3709087,Passeggero,F,Illeso
3709087,Conducente,M,Illeso
3709118,Conducente,M,Illeso
3709118,Conducente,M,Rimandato
3709278,Pedone,F,Rimandato
3709278,Conducente,M,Illeso
3709335,Conducente,M,Rifiuta cure immediate
3709335,Conducente,M,Illeso
3709353,Conducente,M,Rifiuta cure immediate
3709353,Conducente,M,Illeso
3709369,Conducente,F,Illeso
3709408,Conducente,F,Illeso
3709408,Conducente,M,Illeso
3709445,Conducente,M,Rimandato
3709445,Conducente,M,Illeso
3709445,Passeggero,M,Illeso
3709674,Conducente,F,Illeso
3709719,Conducente,F,Illeso
3709731,Conducente,M,Illeso
3709743,Conducente,M,Illeso
3709743,Passeggero,M,Illeso
3709743,Passeggero,M,Illeso
3709753,Conducente,F,Illeso
3709753,Passeggero,M,Illeso
3709753,Conducente,M,Illeso
3709753,Passeggero,M,Illeso
3709755,Conducente,M,Illeso
3709755,Passeggero,M,Illeso
3709760,Pedone,F,Rimandato
3709760,Conducente,M,Illeso
3709766,Conducente,F,Illeso
3709766,Conducente,M,Illeso
3709788,Conducente,M,Illeso
3709788,Conducente,M,Prognosi riservata
3709845,Conducente,F,Illeso
3709845,Conducente,M,Rimandato
3709865,Conducente,M,Rifiuta cure immediate
3709865,Passeggero,M,Illeso
3709865,Conducente,F,Illeso
3709865,Passeggero,F,Illeso
3709875,Conducente,F,Illeso
3709875,Conducente,M,Illeso
3709907,Conducente,M,Illeso
3709907,Passeggero,F,Illeso
3709907,Conducente,M,Illeso
3709907,Passeggero,M,Illeso
3709907,Passeggero,F,Illeso
3709946,Conducente,M,Illeso
3709985,Pedone,M,Deceduto sul posto
3709985,Conducente,M,Illeso
3710151,Pedone,M,Rimandato
3710151,Conducente,F,Illeso
3710151,Passeggero,F,Illeso
3710153,Conducente,F,Illeso
3710203,Conducente,M,Illeso
3710203,Conducente,M,Rifiuta cure immediate
3710203,Passeggero,F,Rifiuta cure immediate
3710203,Conducente,M,Illeso
3710206,Conducente,M,Illeso
3710206,Passeggero,F,Illeso
3710206,Conducente,M,Illeso
3710253,Conducente,M,Illeso
3710253,Conducente,M,Illeso
3710253,Conducente,M,Illeso
3710268,Conducente,M,Illeso
3710268,Passeggero,M,Illeso
3710268,Conducente,F,Illeso
3710268,Passeggero,M,Illeso
3710269,Conducente,F,Illeso
3710269,Passeggero,F,Illeso
3710269,Passeggero,M,Illeso
3710278,Conducente,M,Rimandato
3710279,Conducente,M,Illeso
3710286,Conducente,F,Illeso
3710286,Passeggero,M,Illeso
3710291,Conducente,M,Illeso
3710291,Passeggero,F,Illeso
3710298,Conducente,F,Illeso
3710304,Conducente,M,Illeso
3710306,Conducente,M,Illeso
3710306,Conducente,M,Illeso
3710307,Conducente,F,Illeso
3710307,Passeggero,F,Illeso
3710307,Passeggero,F,Illeso
3710309,Conducente,M,Illeso
3710309,Passeggero,M,Illeso
3710309,Conducente,M,Rimandato
3710310,Conducente,F,Rimandato
3710310,Conducente,M,Illeso
3710312,Conducente,M,Ricoverato
3710312,Conducente,M,Illeso
3710312,Conducente,F,Rimandato
3710312,Passeggero,F,Rimandato
3710312,Passeggero,F,Rimandato
3710312,Passeggero,F,Rimandato
3710312,Passeggero,F,Illeso
3710312,Passeggero,F,Rimandato
3710312,Passeggero,M,Rimandato
3710312,Passeggero,F,Illeso
3710312,Conducente,F,Illeso
3710321,Conducente,F,Illeso
3710321,Passeggero,F,Illeso
3710324,Conducente,F,Illeso
3710325,Conducente,F,Rimandato
3710325,Conducente,M,Illeso
3710326,Conducente,M,Illeso
3710326,Passeggero,F,Illeso
3710326,Passeggero,F,Illeso
3710326,Conducente,F,Illeso
3710332,Conducente,M,Rifiuta cure immediate
3710332,Passeggero,M,Rimandato
3710332,Passeggero,M,Rimandato
3710332,Conducente,M,Illeso
3710335,Conducente,F,Illeso
3710341,Conducente,M,Illeso
3710341,Conducente,F,Rimandato
3710354,Conducente,F,Illeso
3710369,Conducente,M,Illeso
3710383,Conducente,F,Illeso
3710411,Conducente,M,Illeso
3710450,Conducente,M,Illeso
3710450,Conducente,F,Illeso
3710450,Passeggero,M,Illeso
3710452,Conducente,M,Illeso
3710452,Conducente,F,Illeso
3710463,Pedone,F,Prognosi riservata
3710463,Conducente,M,Illeso
3710476,Conducente,M,Illeso
3710476,Conducente,M,Illeso
3710504,Conducente,M,Illeso
3710504,Conducente,F,Illeso
3710504,Passeggero,M,Illeso
3710509,Conducente,M,Illeso
3710509,Passeggero,M,Illeso
3710535,Conducente,M,Rifiuta cure immediate
3710535,Passeggero,F,Illeso
3710676,Pedone,F,Rimandato
3710676,Pedone,M,Rimandato
3710676,Conducente,M,Illeso
3710693,Conducente,M,Illeso
3710693,Conducente,M,Illeso
3710693,Passeggero,F,Illeso
3710693,Passeggero,M,Illeso
3710693,Passeggero,F,Illeso
3710759,Conducente,M,Illeso
3710759,Passeggero,F,Illeso
3710759,Conducente,M,Illeso
3710771,Conducente,M,Illeso
3710775,Conducente,M,Illeso
3710777,Conducente,M,Illeso
3710777,Conducente,M,Illeso
3710787,Conducente,M,Illeso
3710804,Conducente,F,Illeso
3710804,Conducente,M,Illeso
3710893,Conducente,F,Illeso
3710901,Conducente,M,Illeso
3710901,Passeggero,M,Illeso
3710901,Conducente,F,Illeso
3710901,Passeggero,M,Illeso
3710917,Conducente,F,Rifiuta cure immediate
3710917,Conducente,F,Rimandato
3710917,Passeggero,F,Illeso
3710933,Conducente,F,Illeso
3710933,Conducente,M,Illeso
3710942,Conducente,M,Illeso
3710966,Conducente,F,Illeso
3710966,Conducente,M,Illeso
3710991,Conducente,M,Illeso
3710991,Passeggero,M,Illeso
3711096,Conducente,M,Illeso
3711096,Conducente,F,Illeso
3711096,Conducente,M,Illeso
3711096,Conducente,M,Rimandato
3711096,Conducente,M,Rimandato
3711109,Conducente,M,Illeso
3711122,Pedone,M,Ricoverato
3711122,Conducente,M,Illeso
3711125,Conducente,F,Illeso
3711125,Conducente,M,Illeso
3711126,Conducente,M,Illeso
3711130,Conducente,F,Illeso
3711130,Conducente,M,Illeso
3711190,Conducente,M,Illeso
3711190,Conducente,M,Illeso
3711193,Conducente,M,Illeso
3711198,Conducente,M,Illeso
3711198,Conducente,F,Illeso
3711198,Passeggero,F,Illeso
3711198,Passeggero,F,Illeso
3711198,Passeggero,F,Illeso
3711208,Conducente,M,Illeso
3711228,Conducente,F,Illeso
3711228,Passeggero,F,Illeso
3711228,Conducente,M,Rifiuta cure immediate
3711252,Conducente,M,Illeso
3711520,Conducente,M,Illeso
3711520,Conducente,M,Rimandato
3711586,Conducente,M,Illeso
3711586,Conducente,M,Illeso
3711589,Conducente,M,Illeso
3711589,Passeggero,F,Rimandato
3711589,Conducente,M,Illeso
3711589,Conducente,M,Illeso
3711589,Conducente,M,Illeso
3711592,Conducente,M,Illeso
3711592,Conducente,F,Illeso
3711593,Conducente,F,Rimandato
3711594,Conducente,M,Illeso
3711595,Conducente,M,Illeso
3711596,Conducente,M,Illeso
3711599,Conducente,F,Illeso
3711599,Passeggero,F,Illeso
3711600,Conducente,M,Illeso
3711601,Conducente,M,Illeso
3711602,Conducente,M,Illeso
3711637,Conducente,M,Illeso
3711637,Passeggero,M,Illeso
3711637,Conducente,M,Rimandato
3711637,Passeggero,F,Rimandato
3711637,Passeggero,F,Rimandato
3711637,Passeggero,M,Rimandato
3711637,Conducente,M,Illeso
3711637,Passeggero,F,Illeso
3711637,Passeggero,F,Illeso
3711637,Conducente,M,Illeso
3711637,Passeggero,M,Illeso
3711637,Passeggero,M,Illeso
3711637,Passeggero,M,Illeso
3711642,Conducente,M,Illeso
3711686,Conducente,M,Illeso
3711686,Conducente,M,Illeso
3711712,Conducente,M,Illeso
3711730,Conducente,M,Illeso
3711730,Passeggero,F,Illeso
3711730,Conducente,M,Illeso
3711730,Conducente,M,Illeso
3711730,Passeggero,M,Illeso
3711742,Conducente,F,Illeso
3711742,Conducente,F,Illeso
3711761,Conducente,M,Illeso
3711762,Conducente,M,Illeso
3711774,Pedone,M,Rifiuta cure immediate
3711774,Conducente,M,Rifiuta cure immediate
3711786,Conducente,M,Rimandato
3711802,Conducente,F,Illeso
3711802,Conducente,M,Illeso
3711814,Conducente,M,Illeso
3711814,Passeggero,M,Illeso
3711814,Passeggero,M,Illeso
3711814,Conducente,M,Illeso
3711814,Passeggero,F,Illeso
3711822,Conducente,F,Illeso
3711822,Conducente,M,Rimandato
3711825,Conducente,M,Rifiuta cure immediate
3711825,Conducente,M,Rifiuta cure immediate
3711825,Passeggero,F,Illeso
3711825,Passeggero,F,Rimandato
3711825,Passeggero,M,Rifiuta cure immediate
3711873,Conducente,M,Illeso
3711873,Passeggero,M,Illeso
