ID,TipoPersona,Sesso,TipoLesione
3621540,Conducente,M,Illeso
3621540,Conducente,F,Illeso
3621540,Passeggero,F,Illeso
3621622,Conducente,M,Rifiuta cure immediate
3621622,Passeggero,F,Ricoverato
3621622,Conducente,M,Illeso
3621622,Passeggero,M,Illeso
3621640,Conducente,M,Illeso
3621640,Passeggero,F,Illeso
3621646,Conducente,F,Illeso
3621646,Conducente,M,Illeso
3621646,Passeggero,M,Illeso
3621750,Conducente,M,Rimandato
3621750,Passeggero,F,Rimandato
3621750,Passeggero,M,Rimandato
3621750,Conducente,M,Illeso
3621850,Conducente,F,Rimandato
3622030,Conducente,M,Illeso
3622030,Conducente,M,Illeso
3622030,Passeggero,F,Illeso
3622032,Conducente,M,Illeso
3622032,Passeggero,M,Ricoverato
3622032,Passeggero,M,Ricoverato
3622032,Conducente,M,Illeso
3622033,Conducente,M,Illeso
3622033,Passeggero,M,Illeso
3622033,Conducente,F,Illeso
3622033,Passeggero,M,Rimandato
3622269,Conducente,F,Rimandato
3622269,Conducente,M,Illeso
3622279,Conducente,M,Illeso
3622279,Conducente,F,Illeso
3622293,Conducente,F,Illeso
3622293,Passeggero,F,Illeso
3622293,Conducente,M,Illeso
3622293,Passeggero,F,Illeso
3622299,Conducente,M,Illeso
3622302,Conducente,M,Illeso
3622303,Conducente,M,Illeso
3622303,Conducente,M,Illeso
3622308,Conducente,M,Illeso
3622308,Passeggero,M,Illeso
3622308,Conducente,F,Illeso
3622308,Passeggero,M,Illeso
3622312,Conducente,M,Illeso
3622312,Passeggero,M,Illeso
3622313,Conducente,M,Illeso
3622313,Conducente,M,Illeso
3622313,Passeggero,F,Illeso
3622328,Conducente,F,Illeso
3622329,Passeggero,F,Illeso
3622329,Conducente,M,Illeso
3622336,Conducente,M,Illeso
3622336,Passeggero,F,Illeso
3622354,Conducente,M,Illeso
3622354,Passeggero,F,Illeso
3622354,Conducente,M,Illeso
3622358,Conducente,M,Illeso
3622358,Passeggero,F,Illeso
3622361,Conducente,M,Rimandato
3622366,Conducente,M,Illeso
3622369,Conducente,M,Illeso
3622369,Passeggero,M,Illeso
3622388,Conducente,M,Illeso
3622388,Passeggero,F,Illeso
3622388,Conducente,M,Illeso
3622388,Passeggero,F,Illeso
3622407,Conducente,M,Illeso
3622429,Conducente,M,Illeso
3622430,Pedone,M,Rifiuta cure immediate
3622430,Conducente,M,Illeso
3622430,Passeggero,F,Illeso
3622438,Conducente,M,Illeso
3622438,Conducente,M,Illeso
3622438,Conducente,M,Illeso
3622444,Conducente,M,Illeso
3622444,Conducente,M,Illeso
3622444,Passeggero,F,Illeso
3622462,Conducente,M,Illeso
3622462,Passeggero,M,Illeso
3622467,Conducente,M,Illeso
3622467,Passeggero,F,Illeso
3622467,Passeggero,F,Illeso
3622467,Conducente,M,Illeso
3622467,Passeggero,M,Illeso
3622467,Passeggero,M,Illeso
3622467,Passeggero,M,Illeso
3622467,Passeggero,M,Illeso
3622479,Pedone,F,Rimandato
3622479,Conducente,F,Illeso
3622487,Conducente,M,Illeso
3622495,Conducente,M,Illeso
3622495,Conducente,M,Rimandato
3622495,Passeggero,M,Rimandato
3622508,Conducente,M,Illeso
3622528,Conducente,M,Illeso
3622528,Conducente,M,Illeso
3622537,Conducente,M,Illeso
3622537,Passeggero,M,Illeso
3622537,Conducente,M,Rimandato
3622541,Conducente,M,Illeso
3622541,Passeggero,F,Illeso
3622543,Conducente,F,Illeso
3622543,Passeggero,F,Illeso
3622543,Conducente,M,Illeso
3622543,Passeggero,F,Illeso
3622543,Passeggero,F,Illeso
3622543,Passeggero,M,Illeso
3622552,Conducente,M,Ricoverato
3622554,Conducente,M,Rimandato
3622554,Conducente,F,Illeso
3622557,Conducente,F,Illeso
3622557,Passeggero,M,Illeso
3622557,Conducente,M,Rimandato
3622557,Passeggero,M,Rimandato
3622557,Conducente,F,Illeso
3622565,Conducente,M,Illeso
3622565,Passeggero,F,Illeso
3622565,Conducente,M,Illeso
3622586,Pedone sconosciuto,,Illeso
3622586,Conducente,M,Illeso
3622588,Conducente,M,Rifiuta cure immediate
3622588,Conducente,M,Illeso
3622588,Passeggero,F,Illeso
3622588,Passeggero,M,Illeso
3622588,Passeggero,F,Illeso
3622592,Conducente,M,Rifiuta cure immediate
3622593,Conducente,F,Ricoverato
3622600,Conducente,M,Rimandato
3622600,Conducente,M,Rimandato
3622600,Conducente,F,Illeso
3622612,Conducente,M,Illeso
3622613,Conducente,M,Illeso
3622617,Conducente,M,Illeso
3622617,Passeggero,M,Illeso
3622617,Conducente,M,Illeso
3622617,Passeggero,M,Illeso
3622618,Conducente,M,Illeso
3622620,Pedone,M,Rifiuta cure immediate
3622620,Conducente,M,Illeso
3622620,Conducente,F,Illeso
3622623,Conducente,M,Illeso
3622623,Conducente,M,Illeso
3622623,Passeggero,F,Illeso
3622626,Conducente,M,Illeso
3622632,Conducente,M,Illeso
3622632,Passeggero,F,Illeso
3622654,Conducente,M,Illeso
3622654,Passeggero,F,Illeso
3622654,Passeggero,M,Illeso
3622654,Conducente,M,Illeso
3622655,Conducente,M,Illeso
3622655,Passeggero,F,Illeso
3622655,Passeggero,F,Illeso
3622655,Passeggero,M,Illeso
3622655,Passeggero,F,Illeso
3622657,Conducente,M,Illeso
3622657,Conducente,M,Illeso
3622663,Pedone,F,Rimandato
3622663,Conducente,M,Illeso
3622672,Conducente,M,Illeso
3622672,Conducente,F,Rimandato
3622692,Conducente,M,Illeso
3622692,Conducente,M,Illeso
3622692,Passeggero,F,Illeso
3622692,Passeggero,M,Illeso
3622692,Passeggero,F,Illeso
3622733,Conducente,M,Illeso
3622785,Conducente,M,Illeso
3622785,Passeggero,F,Rimandato
3622785,Conducente,M,Illeso
3622825,Conducente,M,Illeso
3622825,Conducente,F,Illeso
3622914,Conducente,M,Illeso
3622914,Conducente,M,Rimandato
3622950,Conducente,M,Illeso
3622950,Passeggero,F,Illeso
3622966,Conducente,M,Illeso
3622981,Conducente,F,Illeso
3622981,Conducente,F,Illeso
3622981,Passeggero,M,Illeso
3622981,Passeggero,M,Illeso
3622981,Passeggero,M,Illeso
3623014,Conducente,M,Illeso
3623014,Conducente,M,Rimandato
3623088,Conducente,M,Illeso
3623088,Conducente,M,Rimandato
3623169,Conducente,M,Illeso
3623169,Passeggero,F,Illeso
3623169,Conducente,F,Rimandato
3623169,Passeggero,M,Rimandato
3623169,Passeggero,F,Rimandato
3623169,Passeggero,M,Rimandato
3623169,Passeggero,F,Illeso
3623169,Passeggero,F,Rimandato
3623190,Conducente,F,Rimandato
3623197,Conducente,M,Illeso
3623197,Conducente,M,Illeso
3623215,Pedone,M,Rimandato
3623215,Conducente,F,Illeso
3623232,Conducente,F,Illeso
3623232,Passeggero,F,Illeso
3623232,Conducente,M,Illeso
3623315,Conducente,M,Illeso
3623315,Passeggero,F,Illeso
3623315,Passeggero,M,Illeso
3623315,Passeggero,F,Illeso
3623543,Conducente,M,Illeso
3623543,Passeggero,F,Illeso
