ID,TipoPersona,Sesso,TipoLesione
BG0,,,
BG1,,,
BG2,,,
BG3,,,
BG4,,,
BG5,,,
BG6,,,
BG7,,,
BG8,,,
BG9,,,
BG10,,,
BG11,,,
BG12,,,
BG13,,,
BG14,,,
BG15,,,
BG16,,,
BG17,,,
BG18,,,
BG19,,,
BG20,,,
BG21,,,
BG22,,,
BG23,,,
BG24,,,
BG25,,,
BG26,,,
BG27,,,
BG28,,,
BG29,,,
BG30,,,
BG31,,,
BG32,,,
BG33,,,
BG34,,,
BG35,,,
BG36,,,
BG37,,,
BG38,,,
BG39,,,
BG40,,,
BG41,,,
BG42,,,
BG43,,,
BG44,,,
BG45,,,
BG46,,,
BG47,,,
BG48,,,
BG49,,,
BG50,,,
BG51,,,
BG52,,,
BG53,,,
BG54,,,
BG55,,,
BG56,,,
BG57,,,
BG58,,,
BG59,,,
BG60,,,
BG61,,,
BG62,,,
BG63,,,
BG64,,,
BG65,,,
BG66,,,
BG67,,,
BG68,,,
BG69,,,
BG70,,,
BG71,,,
BG72,,,
BG73,,,
BG74,,,
BG75,,,
BG76,,,
BG77,,,
BG78,,,
BG79,,,
BG80,,,
BG81,,,
BG82,,,
BG83,,,
BG84,,,
BG85,,,
BG86,,,
BG87,,,
BG88,,,
BG89,,,
BG90,,,
BG91,,,
BG92,,,
BG93,,,
BG94,,,
BG95,,,
BG96,,,
BG97,,,
BG98,,,
BG99,,,
BG100,,,
BG101,,,
BG102,,,
BG103,,,
BG104,,,
BG105,,,
BG106,,,
BG107,,,
BG108,,,
BG109,,,
BG110,,,
BG111,,,
BG112,,,
BG113,,,
BG114,,,
BG115,,,
BG116,,,
BG117,,,
BG118,,,
BG119,,,
BG120,,,
BG121,,,
BG122,,,
BG123,,,
BG124,,,
BG125,,,
BG126,,,
BG127,,,
BG128,,,
BG129,,,
BG130,,,
BG131,,,
BG132,,,
BG133,,,
BG134,,,
BG135,,,
BG136,,,
BG137,,,
BG138,,,
BG139,,,
BG140,,,
BG141,,,
BG142,,,
BG143,,,
BG144,,,
BG145,,,
BG146,,,
BG147,,,
BG148,,,
BG149,,,
BG150,,,
BG151,,,
BG152,,,
BG153,,,
BG154,,,
BG155,,,
BG156,,,
BG157,,,
BG158,,,
BG159,,,
BG160,,,
BG161,,,
BG162,,,
BG163,,,
BG164,,,
BG165,,,
BG166,,,
BG167,,,
BG168,,,
BG169,,,
BG170,,,
BG171,,,
BG172,,,
BG173,,,
BG174,,,
BG175,,,
BG176,,,
BG177,,,
BG178,,,
BG179,,,
BG180,,,
BG181,,,
BG182,,,
BG183,,,
BG184,,,
BG185,,,
BG186,,,
BG187,,,
BG188,,,
BG189,,,
BG190,,,
BG191,,,
BG192,,,
BG193,,,
BG194,,,
BG195,,,
BG196,,,
BG197,,,
BG198,,,
BG199,,,
BG200,,,
BG201,,,
BG202,,,
BG203,,,
BG204,,,
BG205,,,
BG206,,,
BG207,,,
BG208,,,
BG209,,,
BG210,,,
BG211,,,
BG212,,,
BG213,,,
BG214,,,
BG215,,,
BG216,,,
BG217,,,
BG218,,,
BG219,,,
BG220,,,
BG221,,,
BG222,,,
BG223,,,
BG224,,,
BG225,,,
BG226,,,
BG227,,,
BG228,,,
BG229,,,
BG230,,,
BG231,,,
BG232,,,
BG233,,,
BG234,,,
BG235,,,
BG236,,,
BG237,,,
BG238,,,
BG239,,,
BG240,,,
BG241,,,
BG242,,,
BG243,,,
BG244,,,
BG245,,,
BG246,,,
BG247,,,
BG248,,,
BG249,,,
BG250,,,
BG251,,,
BG252,,,
BG253,,,
BG254,,,
BG255,,,
BG256,,,
BG257,,,
BG258,,,
BG259,,,
BG260,,,
BG261,,,
BG262,,,
BG263,,,
BG264,,,
BG265,,,
BG266,,,
BG267,,,
BG268,,,
BG269,,,
BG270,,,
BG271,,,
BG272,,,
BG273,,,
BG274,,,
BG275,,,
BG276,,,
BG277,,,
BG278,,,
BG279,,,
BG280,,,
BG281,,,
BG282,,,
BG283,,,
BG284,,,
BG285,,,
BG286,,,
BG287,,,
BG288,,,
BG289,,,
BG290,,,
BG291,,,
BG292,,,
BG293,,,
BG294,,,
BG295,,,
BG296,,,
BG297,,,
BG298,,,
BG299,,,
BG300,,,
BG301,,,
BG302,,,
BG303,,,
BG304,,,
BG305,,,
BG306,,,
BG307,,,
BG308,,,
BG309,,,
BG310,,,
BG311,,,
BG312,,,
BG313,,,
BG314,,,
BG315,,,
BG316,,,
BG317,,,
BG318,,,
BG319,,,
BG320,,,
BG321,,,
BG322,,,
BG323,,,
BG324,,,
BG325,,,
BG326,,,
BG327,,,
BG328,,,
BG329,,,
BG330,,,
BG331,,,
BG332,,,
BG333,,,
BG334,,,
BG335,,,
BG336,,,
BG337,,,
BG338,,,
BG339,,,
BG340,,,
BG341,,,
BG342,,,
BG343,,,
BG344,,,
BG345,,,
BG346,,,
BG347,,,
BG348,,,
BG349,,,
BG350,,,
BG351,,,
BG352,,,
BG353,,,
BG354,,,
BG355,,,
BG356,,,
BG357,,,
BG358,,,
BG359,,,
BG360,,,
BG361,,,
BG362,,,
BG363,,,
BG364,,,
BG365,,,
BG366,,,
BG367,,,
BG368,,,
BG369,,,
BG370,,,
BG371,,,
BG372,,,
BG373,,,
BG374,,,
BG375,,,
BG376,,,
BG377,,,
BG378,,,
BG379,,,
BG380,,,
BG381,,,
BG382,,,
BG383,,,
BG384,,,
BG385,,,
BG386,,,
BG387,,,
BG388,,,
BG389,,,
BG390,,,
BG391,,,
BG392,,,
BG393,,,
BG394,,,
BG395,,,
BG396,,,
BG397,,,
BG398,,,
BG399,,,
BG400,,,
BG401,,,
BG402,,,
BG403,,,
BG404,,,
BG405,,,
BG406,,,
BG407,,,
BG408,,,
BG409,,,
BG410,,,
BG411,,,
BG412,,,
BG413,,,
BG414,,,
BG415,,,
BG416,,,
BG417,,,
BG418,,,
BG419,,,
BG420,,,
BG421,,,
BG422,,,
BG423,,,
BG424,,,
BG425,,,
BG426,,,
BG427,,,
BG428,,,
BG429,,,
BG430,,,
BG431,,,
BG432,,,
BG433,,,
BG434,,,
BG435,,,
BG436,,,
BG437,,,
BG438,,,
BG439,,,
BG440,,,
BG441,,,
BG442,,,
BG443,,,
BG444,,,
BG445,,,
BG446,,,
BG447,,,
BG448,,,
BG449,,,
BG450,,,
BG451,,,
BG452,,,
BG453,,,
BG454,,,
BG455,,,
BG456,,,
BG457,,,
BG458,,,
BG459,,,
BG460,,,
BG461,,,
BG462,,,
BG463,,,
BG464,,,
BG465,,,
BG466,,,
BG467,,,
BG468,,,
BG469,,,
BG470,,,
BG471,,,
BG472,,,
BG473,,,
BG474,,,
BG475,,,
BG476,,,
BG477,,,
BG478,,,
BG479,,,
BG480,,,
BG481,,,
BG482,,,
BG483,,,
BG484,,,
BG485,,,
BG486,,,
BG487,,,
BG488,,,
BG489,,,
BG490,,,
BG491,,,
BG492,,,
BG493,,,
BG494,,,
BG495,,,
BG496,,,
BG497,,,
BG498,,,
BG499,,,
BG500,,,
BG501,,,
BG502,,,
BG503,,,
BG504,,,
BG505,,,
BG506,,,
BG507,,,
BG508,,,
BG509,,,
BG510,,,
BG511,,,
BG512,,,
BG513,,,
BG514,,,
BG515,,,
BG516,,,
BG517,,,
BG518,,,
BG519,,,
BG520,,,
BG521,,,
BG522,,,
BG523,,,
BG524,,,
BG525,,,
BG526,,,
BG527,,,
BG528,,,
BG529,,,
BG530,,,
BG531,,,
BG532,,,
BG533,,,
BG534,,,
BG535,,,
BG536,,,
BG537,,,
BG538,,,
BG539,,,
BG540,,,
BG541,,,
BG542,,,
BG543,,,
BG544,,,
BG545,,,
BG546,,,
BG547,,,
BG548,,,
BG549,,,
BG550,,,
BG551,,,
BG552,,,
BG553,,,
BG554,,,
BG555,,,
