Citta';Data;Ora;Luogo;Latitudine;Longitudine;Illesi;Feriti;Riservata;Decessi;Natura
Bergamo;2017-12-31;20:20; VIA BIANZANA all'intersezione con VIA SERASSI;45.7048; 9.6929;5;0;0;0;Scontro frontale/laterale SX fra veicoli in marcia
Bergamo;2017-12-31;23:55; VIALE PAPA GIOVANNI XXIII chiesa delle grazie;45.6938; 9.6712;3;0;0;0;Tamponamento
Bergamo;2017-12-30;13:20; VIA PALEOCAPA all'intersezione semaforizzata con VIA QUARENGHI;45.6896; 9.6692;4;1;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-30;17:40; VIA SAN GIOVANNI BOSCO all'intersezione con VIA BONOMELLI G.;45.6889; 9.6704;4;0;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-29;14:15; S.P. EX 671  in corrispondenza della chilometrica6.2;45.6755; 9.6747;2;5;0;0;Scontro frontale/laterale DX fra veicoli in marcia
Bergamo;2017-12-29;12:30; VIALE DELLE MURA .;45.7022; 9.6653;3;0;0;0;Scontro frontale fra veicoli in marcia
Bergamo;2017-12-29;07:15; VIA ORIO all'intersezione con ROTATORIA VIA PER ORIO;45.6774; 9.6848;3;0;0;0;Tamponamento
Bergamo;2017-12-29;12:25; SS671 svincolo nuovo ospedale direzione Curno;45.681; 9.6367;1;0;0;0;Fuoriuscita dalla sede stradale
Bergamo;2017-12-28;19:05; VIA PINAMONTE DA BREMBATE all'intersezione con VIA BONO B.;45.6942; 9.6823;1;0;0;0;Investimento di pedone
Bergamo;2017-12-28;20:00; VIA PAPA LEONE XIII in prossimità del civico n.2;45.7093; 9.6942;0;1;0;0;Infortunio per caduta da veicolo
Bergamo;2017-12-28;16:30; VIA SAN BERNARDINO in corrispondenza del civico n.73;45.6857; 9.6626;2;0;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-28;15:10; AUTOSTRADA all'intersezione con ROTATORIA AUTOSTRADA;45.6781; 9.6697;2;1;0;0;Tamponamento
Bergamo;2017-12-28;13:50; VIA SAN GIOVANNI BOSCO in prossimità del civico n.49;45.6815; 9.6794;4;0;0;0;Tamponamento
Bergamo;2017-12-28;22:00; S.P. 671 in corrispondenza della chilometrica6.4;45.6753; 9.6768;1;0;0;0;Veicolo in marcia contro ostacolo accidentale
Bergamo;2017-12-28;13:15; VIA BROSETA all'intersezione con VIA VELA;45.6931; 9.656;3;0;0;0;Tamponamento
Bergamo;2017-12-27;16:15; VIA BORGO SANTA CATERINA all'intersezione con VIA CELESTINI;45.7052; 9.6811;2;1;0;0;Scontro frontale fra veicoli in marcia
Bergamo;2017-12-27;19:05; VIA MARTIN LUTHER KING  in corrispondenza del palo luce n.8;45.6845; 9.6416;5;1;0;0;Investimento di pedone
Bergamo;2017-12-27;09:40; VIA MORONI GIANBATTISTA in prossimità del civico n.241;45.6873; 9.6594;1;0;0;0;Veicolo in marcia contro veicolo fermo
Bergamo;2017-12-27;06:50; VIA SAN BERNARDINO all'intersezione semaforizzata con VIA SPINO;45.6827; 9.6622;2;1;0;0;Scontro frontale/laterale SX fra veicoli in marcia
Bergamo;2017-12-27;18:00; VIALE GIULIO CESARE in prossimità del civico n.10;45.7056; 9.6788;1;0;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-27;21:20; S.P. 671 poco prima svincolo r.da Autostrada;45.6757; 9.6727;3;0;0;0;Veicolo in marcia contro ostacolo accidentale
Bergamo;2017-12-27;07:40; ROTATORIA VIA PER ORIO all'intersezione con SVINCOLO 671;45.6594; 9.7118;1;0;0;0;Fuoriuscita dalla sede stradale
Bergamo;2017-12-27;07:50; ROTATORIA VIA PER ORIO all'intersezione con SVINCOLO 671;45.6594; 9.7118;1;0;0;0;Fuoriuscita dalla sede stradale
Bergamo;2017-12-27;17:40; VIA BORGO PALAZZO in prossimità attraversamento pedonale via Pelandi;45.6927; 9.6951;1;1;0;0;Investimento di pedone
Bergamo;2017-12-26;10:50; VIALE PIROVANO all'intersezione con VIA VIVALDI;45.6952; 9.6889;2;1;0;0;Infortunio per sola frenata improvvisa
Bergamo;2017-12-25;12:50; VIA LUNGA in corrispondenza del palo luce n.8;45.6859; 9.6956;1;0;0;0;Veicolo in marcia contro ostacolo fisso
Bergamo;2017-12-24;23:00; VIA PALAZZOLO DON LUIGI in prossimità del civico n.67;45.6887; 9.6651;0;0;0;0;Veicolo in marcia contro veicolo in sosta
Bergamo;2017-12-24;00:10; VIA SALVO D'ACQUISTO all'intersezione semaforizzata con ROTATORIA CARDUCCI;45.689; 9.6488;1;0;0;0;Infortunio per caduta da veicolo
Bergamo;2017-12-24;16:20; VIALE PIERRE E MARIE CURIE in corrispondenza del civico n.2;45.6909; 9.6467;0;1;0;0;Veicolo in marcia contro veicoli in sosta
Bergamo;2017-12-24;13:45; VIA SUARDI all'intersezione con VIA F.LLI CAIROLI;45.7047; 9.6851;3;0;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-23;07:40; VIA SAN GIOVANNI BOSCO all'intersezione semaforizzata con CIRCONV. MUGAZZONE;45.682; 9.6785;2;1;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-23;20:35; VIA BORGO PALAZZO all'intersezione semaforizzata con PIAZZA S. ANNA;45.6966; 9.683;2;0;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-23;13:15; VIA GHISLANDI in prossimità del civico n.7;45.6968; 9.6836;1;0;0;0;Scontro laterale fra veicoli in marcia
Bergamo;2017-12-23;15:30; VIA VERDI in corrispondenza del civico n.31/E;45.6997; 9.6741;1;1;0;0;Scontro frontale/laterale DX fra veicoli in marcia
