ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3757860,Roma,01-04-2018,00:10,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,0,2,0,0
3757864,Roma,01-04-2018,04:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3757928,Roma,01-04-2018,01:10,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Sufficiente,1,0,0,0
3757983,Roma,01-04-2018,11:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3758035,Roma,01-04-2018,02:25,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,2,0,0,0
3758279,Roma,01-04-2018,13:25,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,3,0,0
3758285,Roma,01-04-2018,13:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,4,0,0,0
3758646,Roma,02-04-2018,07:45,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3758933,Roma,01-04-2018,19:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3758943,Roma,01-04-2018,20:05,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,0,2,0,0
3758948,Roma,01-04-2018,00:45,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3758963,Roma,02-04-2018,10:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,5,0,0,0
3758977,Roma,02-04-2018,06:45,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3759011,Roma,01-04-2018,04:10,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3759015,Roma,01-04-2018,08:15,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3759092,Roma,01-04-2018,08:20,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
3759095,Roma,01-04-2018,14:00,Veicolo in marcia contro ostacolo accidentale,,,,2,0,0,0
3759101,Roma,01-04-2018,16:00,Tamponamento,,Sereno,Buona,2,0,0,0
3759126,Roma,01-04-2018,07:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,0,2,0,0
