ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3655297,07-02-2018,08:50,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3659667,19-02-2018,19:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3664611,01-02-2018,01:30,Veicolo in marcia contro veicoli in sosta,,Sereno,Sufficiente,1,0,0,0
3664675,01-02-2018,08:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3664766,01-02-2018,08:30,Investimento di pedone,,Sereno,Buona,2,0,0,0
3664842,01-02-2018,01:15,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,1,4,0,0
3664862,01-02-2018,08:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3664912,01-02-2018,10:40,Tamponamento,,Nuvoloso,Buona,1,1,0,0
3664990,01-02-2018,02:45,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,1,0,0
3665107,01-02-2018,11:45,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3665177,01-02-2018,00:05,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Insufficiente,1,0,0,0
3665215,01-02-2018,13:00,Infortunio per caduta del veicolo,,Nuvoloso,Buona,1,0,0,0
3665231,01-02-2018,13:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3665288,01-02-2018,14:20,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3665344,01-02-2018,09:54,Investimento di pedone,,Nuvoloso,Buona,2,1,0,0
3665367,01-02-2018,09:00,Investimento di pedone,,Pioggia in atto,Sufficiente,1,1,0,0
3665384,01-02-2018,08:50,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3665397,01-02-2018,15:20,Tamponamento,,Nuvoloso,Buona,3,0,0,0
3665404,01-02-2018,09:00,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,1,0,0,0
3665407,01-02-2018,14:20,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3665567,01-02-2018,16:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3665573,01-02-2018,14:50,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3665599,01-02-2018,15:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3665628,01-02-2018,17:15,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3665666,01-02-2018,09:50,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3665672,01-02-2018,10:20,Tamponamento,,Pioggia in atto,Buona,1,1,0,0
3665681,01-02-2018,16:45,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,2,0,0,0
3665750,01-02-2018,18:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,2,0,0,0
3665756,01-02-2018,18:30,Investimento di pedone,,Nuvoloso,Sufficiente,1,1,0,0
3666057,01-02-2018,16:00,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3666067,01-02-2018,07:45,Tamponamento Multiplo,,Nuvoloso,Buona,4,0,0,0
3666071,01-02-2018,17:00,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3666078,01-02-2018,16:00,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,2,0,0,0
3666079,01-02-2018,18:30,Tamponamento,,Nuvoloso,Sufficiente,3,1,0,0
3666084,01-02-2018,21:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,5,1,0,0
3666086,01-02-2018,08:50,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3666087,01-02-2018,14:00,Scontro frontale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3666088,01-02-2018,20:15,Tamponamento,,Nuvoloso,Sufficiente,1,1,0,0
3666090,01-02-2018,13:00,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3666097,01-02-2018,08:40,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3666103,01-02-2018,14:40,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,0,1,0,0
3666113,01-02-2018,18:40,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3666120,01-02-2018,08:50,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3666134,01-02-2018,19:40,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3666136,01-02-2018,15:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3666145,01-02-2018,18:40,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,2,0,0
3666150,01-02-2018,21:10,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
