ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3621540,Roma,01-01-2018,02:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3621622,Roma,01-01-2018,01:15,Scontro frontale fra veicoli in marcia,,Sereno,Sufficiente,2,2,0,0
3621640,Roma,01-01-2018,04:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3621646,Roma,01-01-2018,01:50,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,4,0,0,0
3621750,Roma,01-01-2018,00:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,1,3,0,0
3621850,Roma,01-01-2018,10:15,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,1,0,0
3622030,Roma,01-01-2018,12:00,Scontro frontale fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3622032,Roma,01-01-2018,07:00,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,2,0,0
3622033,Roma,01-01-2018,10:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,1,0,0
3622269,Roma,01-01-2018,07:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3622279,Roma,01-01-2018,13:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3622293,Roma,01-01-2018,11:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3622299,Roma,01-01-2018,06:30,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
3622302,Roma,01-01-2018,07:10,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Sufficiente,1,0,0,0
3622303,Roma,01-01-2018,09:50,Tamponamento,,Pioggia in atto,Buona,2,0,0,0
3622308,Roma,02-01-2018,00:45,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3622312,Roma,01-01-2018,07:45,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,2,0,0,0
3622313,Roma,01-01-2018,11:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3622328,Roma,01-01-2018,04:12,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3622329,Roma,01-01-2018,18:00,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,2,0,0,0
3622336,Roma,01-01-2018,02:05,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,2,0,0,0
3622354,Roma,01-01-2018,02:40,Tamponamento,,Sereno,Buona,3,0,0,0
3622358,Roma,01-01-2018,05:00,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,2,0,0,0
3622361,Roma,01-01-2018,19:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,0,1,0,0
3622366,Roma,01-01-2018,03:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,1,0,0,0
3622369,Roma,01-01-2018,05:30,Fuoriuscita dalla sede stradale,,Nuvoloso,Sufficiente,2,0,0,0
3622388,Roma,01-01-2018,18:00,Scontro frontale fra veicoli in marcia,,Nuvoloso,Sufficiente,4,0,0,0
3622407,Roma,01-01-2018,19:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3622429,Roma,01-01-2018,03:45,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,1,0,0,0
3622430,Roma,02-01-2018,,Investimento di pedone,,Sereno,Buona,2,1,0,0
3622438,Roma,01-01-2018,06:00,Tamponamento Multiplo,,Nuvoloso,Sufficiente,3,0,0,0
3622444,Roma,01-01-2018,03:00,Tamponamento,,Sereno,Sufficiente,3,0,0,0
3622462,Roma,01-01-2018,22:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3622467,Roma,01-01-2018,02:45,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,8,0,0,0
3622479,Roma,01-01-2018,19:45,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3622487,Roma,01-01-2018,14:40,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3622495,Roma,01-01-2018,19:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
3622508,Roma,01-01-2018,17:00,Infortunio per sola frenata improvvisa,,Nuvoloso,Sufficiente,1,0,0,0
3622528,Roma,02-01-2018,02:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
