ID,Data,Ora,Tipo,Causa,Meteo,Visibilità,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3802129,Roma,01-05-2018,08:00,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3802401,Roma,01-05-2018,12:30,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,3,0,0
3802402,Roma,01-05-2018,10:50,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
3802628,Roma,01-05-2018,17:55,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3802658,Roma,01-05-2018,18:20,Tamponamento Multiplo,,Nuvoloso,Buona,3,2,0,0
3802778,Roma,01-05-2018,20:10,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3802849,Roma,02-05-2018,01:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Insufficiente,0,3,0,0
3803043,Roma,01-05-2018,11:00,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,2,1,0,0
3803047,Roma,01-05-2018,16:50,Tamponamento,,Sereno,Buona,2,0,0,0
3803049,Roma,01-05-2018,11:20,Investimento di pedone,,Pioggia in atto,Buona,0,2,0,0
3803054,Roma,01-05-2018,18:00,Tamponamento,,Nuvoloso,Buona,7,0,0,0
3803055,Roma,01-05-2018,23:15,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Sufficiente,3,1,0,0
3803066,Roma,01-05-2018,10:40,Scontro laterale fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3803067,Roma,01-05-2018,20:30,Scontro laterale fra veicoli in marcia,,,,2,0,0,0
3803074,Roma,01-05-2018,21:40,Tamponamento,,Sereno,Buona,1,2,0,0
3803082,Roma,01-05-2018,21:20,Veicolo in marcia contro veicolo fermo,,Sereno,Buona,1,0,0,0
3803083,Roma,01-05-2018,16:30,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,2,0,0,0
3803084,Roma,01-05-2018,19:10,Infortunio per caduta del veicolo,,Sereno,Buona,1,1,0,0
3803099,Roma,01-05-2018,13:00,Infortunio per sola frenata improvvisa,,Sereno,Buona,1,0,0,0
3803102,Roma,02-05-2018,00:05,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
