ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3706661,01-03-2018,07:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3706773,01-03-2018,07:30,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,1,0,0,0
3706774,01-03-2018,03:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,0,1,0,0
3706831,01-03-2018,07:15,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3706858,01-03-2018,08:15,Tamponamento,,Nuvoloso,Buona,1,1,0,0
3706944,01-03-2018,08:50,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Buona,0,2,0,0
3707011,01-03-2018,07:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3707069,01-03-2018,09:00,Tamponamento Multiplo,,Nuvoloso,Buona,2,1,0,0
3707098,01-03-2018,08:35,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3707104,01-03-2018,10:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3707258,01-03-2018,11:10,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3707408,01-03-2018,12:00,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3707517,01-03-2018,09:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3707528,01-03-2018,13:30,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
3707561,01-03-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,0,1,0,0
3707600,01-03-2018,11:40,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3707613,01-03-2018,08:41,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,2,0,0,0
3707810,01-03-2018,16:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3707856,01-03-2018,06:15,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3707877,01-03-2018,16:20,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3707892,01-03-2018,16:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
3707934,01-03-2018,18:10,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,1,0,0,0
3707970,01-03-2018,06:16,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3707975,01-03-2018,17:50,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3708386,01-03-2018,22:00,Fuoriuscita dalla sede stradale,,Sereno,Buona,0,0,1,1
3708388,01-03-2018,20:00,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Sufficiente,3,0,0,0
3708399,01-03-2018,08:50,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3708403,01-03-2018,15:10,Tamponamento,,Nuvoloso,Buona,3,0,0,0
3708411,01-03-2018,18:15,Tamponamento,,Nuvoloso,Buona,2,0,0,0
3708414,01-03-2018,12:30,Scontro laterale fra veicoli in marcia,,Nebbia,Sufficiente,2,0,0,0
3708418,01-03-2018,08:20,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
3708419,01-03-2018,05:50,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,1,1,0,0
3708420,01-03-2018,10:50,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3708426,01-03-2018,14:40,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3708430,01-03-2018,09:15,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3708433,01-03-2018,11:00,Tamponamento Multiplo,,Nuvoloso,Buona,3,0,0,0
3708434,01-03-2018,19:50,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3708435,01-03-2018,13:30,Tamponamento Multiplo,,Nuvoloso,Buona,2,1,0,0
3708460,01-03-2018,10:00,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3708464,01-03-2018,19:00,Tamponamento,,Sereno,Sufficiente,3,0,0,0
3708466,02-03-2018,00:40,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Sufficiente,3,0,0,0
3708474,01-03-2018,18:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,4,0,0,0
3708476,01-03-2018,19:20,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,6,0,0,0
3708481,01-03-2018,01:10,Veicolo in marcia contro ostacolo accidentale,,Sereno,Insufficiente,1,0,0,0
3708487,01-03-2018,09:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
3708490,01-03-2018,13:10,Tamponamento Multiplo,,Nuvoloso,Buona,1,2,0,0
3708491,01-03-2018,17:10,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
