ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
08352018010116500,2018-01-01,16:50,Scontro frontale laterale,Distrazione,,,,3,,0
08352018010210201,2018-01-02,10:20,Tamponamento,Distrazione,,,,0,,0
08352018010216502,2018-01-02,16:50,Investimento di pedone,Mancata precedenza,,,,1,,0
08352018010317153,2018-01-03,17:15,Altro,Mancata precedenza,,,,0,,0
08352018010512404,2018-01-05,12:40,Scontro frontale laterale,Mancata precedenza,,,,0,,0
08352018010718405,2018-01-07,18:40,Scontro frontale laterale,Distrazione,,,,0,,0
08352018010808056,2018-01-08,08:05,Scontro frontale laterale,Mancata precedenza,,,,3,,0
08352018010810107,2018-01-08,10:10,Scontro frontale laterale,Mancata precedenza,,,,0,,0
08352018010908008,2018-01-09,08:00,Urto contro ostacolo fisso,Altro,,,,0,,0
08352018010919509,2018-01-09,19:50,Tamponamento,Distrazione,,,,0,,0
083520180110093010,2018-01-10,09:30,Urto contro ostacolo fisso,Distrazione,,,,0,,0
083520180111172011,2018-01-11,17:20,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180112102512,2018-01-12,10:25,Urto contro ostacolo fisso,Distrazione,,,,0,,0
083520180112131513,2018-01-12,13:15,Investimento di pedone,Altro,,,,1,,0
083520180113101514,2018-01-13,10:15,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180116082515,2018-01-16,08:25,Scontro frontale laterale,Mancata precedenza,,,,2,,0
083520180117124016,2018-01-17,12:40,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180118085017,2018-01-18,08:50,Scontro frontale laterale,Distrazione,,,,0,,0
083520180113141518,2018-01-13,14:15,Tamponamento,Distanza sicurezza,,,,0,,0
083520180121130019,2018-01-21,13:00,Urto contro ostacolo fisso,Distrazione,,,,2,,0
083520180122104020,2018-01-22,10:40,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180123165521,2018-01-23,16:55,Altro,Altro,,,,0,,0
083520180124123022,2018-01-24,12:30,Tamponamento,Distanza sicurezza,,,,0,,0
083520180124200023,2018-01-24,20:00,Urto contro ostacolo fisso,Improvviso malore,,,,0,,0
083520180125111524,2018-01-25,11:15,Scontro frontale laterale,Mano da tenere,,,,1,,0
083520180126074025,2018-01-26,07:40,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180127121026,2018-01-27,12:10,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180129075527,2018-01-29,07:55,Tamponamento,Velocità,,,,1,,0
083520180130093028,2018-01-30,09:30,Scontro frontale laterale,Distrazione,,,,0,,0
083520180130160029,2018-01-30,16:00,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180131134530,2018-01-31,13:45,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180201121031,2018-02-01,12:10,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180201180032,2018-02-01,18:00,Investimento di pedone,Mancata precedenza,,,,2,,0
083520180205081033,2018-02-05,08:10,Investimento di pedone,Altro,,,,1,,0
083520180207132034,2018-02-07,13:20,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180207161535,2018-02-07,16:15,Scontro frontale laterale,Mano da tenere,,,,3,,0
083520180207193536,2018-02-07,19:35,Investimento di pedone,Distrazione,,,,1,,0
083520180212174537,2018-02-12,17:45,Scontro frontale laterale,Mancata precedenza,,,,2,,0
083520180213081038,2018-02-13,08:10,Fuoriuscita sede stradale,Velocità,,,,1,,0
083520180213114039,2018-02-13,11:40,Scontro frontale laterale,Mano da tenere,,,,0,,0
083520180214155040,2018-02-14,15:50,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180214173041,2018-02-14,17:30,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180216114042,2018-02-16,11:40,Tamponamento,Distrazione,,,,0,,0
083520180217124043,2018-02-17,12:40,Urto veicolo in sosta,Guasto meccanico,,,,0,,0
083520180220090044,2018-02-20,09:00,Tamponamento,Distanza sicurezza,,,,3,,0
083520180220144545,2018-02-20,14:45,Scontro frontale laterale,Velocità,,,,1,,0
083520180221085546,2018-02-21,08:55,Urto veicolo in sosta,Guasto meccanico,,,,0,,0
083520180221193547,2018-02-21,19:35,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180224131048,2018-02-24,13:10,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180225110049,2018-02-25,11:00,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180225133050,2018-02-25,13:30,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180226081051,2018-02-26,08:10,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180226132052,2018-02-26,13:20,Scontro frontale laterale,Mano da tenere,,,,0,,0
083520180227090053,2018-02-27,09:00,Urto veicolo in sosta,Distrazione,,,,0,,0
083520180301145054,2018-03-01,14:50,Scontro frontale laterale,Distrazione,,,,0,,0
083520180302104155,2018-03-02,10:41,Urto contro ostacolo fisso,Improvviso malore,,,,1,,0
083520180302164556,2018-03-02,16:45,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180303181557,2018-03-03,18:15,Scontro frontale laterale,Altro,,,,0,,0
083520180304083058,2018-03-04,08:30,Urto contro ostacolo fisso,Velocità,,,,0,,0
083520180307132059,2018-03-07,13:20,Scontro frontale laterale,Altro,,,,0,,0
083520180308081060,2018-03-08,08:10,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180308111561,2018-03-08,11:15,Scontro frontale laterale,Mancata precedenza,,,,1,,0
083520180312082562,2018-03-12,08:25,Scontro frontale laterale,Distrazione,,,,0,,0
083520180312182063,2018-03-12,18:20,Tamponamento,Distanza sicurezza,,,,0,,0
083520180313101064,2018-03-13,10:10,Tamponamento,Distanza sicurezza,,,,1,,0
083520180313163565,2018-03-13,16:35,Scontro frontale laterale,Distrazione,,,,0,,0
083520180314083066,2018-03-14,08:30,Scontro frontale laterale,Mancata precedenza,,,,2,,0
083520180315115567,2018-03-15,11:55,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180317103568,2018-03-17,10:35,Scontro frontale laterale,Distanza sicurezza,,,,0,,0
083520180319104069,2018-03-19,10:40,Tamponamento,Distanza sicurezza,,,,0,,0
083520180319183070,2018-03-19,18:30,Scontro frontale laterale,Velocità,,,,2,,0
083520180321083571,2018-03-21,08:35,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180326132572,2018-03-26,13:25,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180326161073,2018-03-26,16:10,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180328153074,2018-03-28,15:30,Scontro frontale laterale,Velocità,,,,2,,0
083520180329165175,2018-03-29,16:51,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180330162076,2018-03-30,16:20,Scontro frontale laterale,Distrazione,,,,0,,0
083520180403155377,2018-04-03,15:53,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180403181578,2018-04-03,18:15,Scontro frontale laterale,Mano da tenere,,,,0,,0
083520180403190079,2018-04-03,19:00,Tamponamento,Distanza sicurezza,,,,0,,0
083520180407083080,2018-04-07,08:30,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180407133081,2018-04-07,13:30,Tamponamento,Distanza sicurezza,,,,0,,0
083520180410085082,2018-04-10,08:50,Tamponamento,Distanza sicurezza,,,,3,,0
083520180411082583,2018-04-11,08:25,Tamponamento,Distanza sicurezza,,,,2,,0
083520180411132084,2018-04-11,13:20,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180412090085,2018-04-12,09:00,Scontro frontale laterale,Mancata precedenza,,,,1,,0
083520180414180086,2018-04-14,18:00,Tamponamento,Distanza sicurezza,,,,1,,0
083520180416085587,2018-04-16,08:55,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180416200588,2018-04-16,20:05,Scontro frontale laterale,Velocità,,,,0,,0
083520180417121589,2018-04-17,12:15,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180417151590,2018-04-17,15:15,Scontro frontale laterale,Mancata precedenza,,,,3,,0
083520180418141591,2018-04-18,14:15,Scontro frontale laterale,Distanza sicurezza,,,,0,,0
083520180418193092,2018-04-18,19:30,Investimento di pedone,Mancata precedenza,,,,1,,0
083520180419153093,2018-04-19,15:30,Scontro frontale laterale,Velocità,,,,0,,0
083520180420082594,2018-04-20,08:25,Scontro frontale laterale,Mancata precedenza,,,,0,,0
083520180421191595,2018-04-21,19:15,Scontro frontale laterale,Mancata precedenza,,,,1,,0
083520180422093096,2018-04-22,09:30,Scontro frontale laterale,Velocità,,,,2,,0
083520180423142597,2018-04-23,14:25,Scontro frontale laterale,Mancata precedenza,,,,1,,0
083520180423170598,2018-04-23,17:05,Tamponamento,Distanza sicurezza,,,,0,,0
083520180424172099,2018-04-24,17:20,Tamponamento,Distrazione,,,,0,,0
0835201804270950100,2018-04-27,09:50,Scontro frontale laterale,Mancata precedenza,,,,0,,0
0835201804271315101,2018-04-27,13:15,Fuoriuscita sede stradale,Velocità,,,,0,,0
0835201804281100102,2018-04-28,11:00,Scontro frontale laterale,Distrazione,,,,0,,0
0835201804281800103,2018-04-28,18:00,Tamponamento,Distrazione,,,,0,,0
0835201804301105104,2018-04-30,11:05,Tamponamento,Distrazione,,,,0,,0
0835201804301415105,2018-04-30,14:15,Scontro frontale laterale,Mancata precedenza,,,,0,,0
0835201804301900106,2018-04-30,19:00,Scontro frontale laterale,Mancata precedenza,,,,0,,0
0835201805021450107,2018-05-02,14:50,Scontro frontale laterale,Mancata precedenza,,,,0,,0
0835201805031710108,2018-05-03,17:10,Scontro frontale laterale,Mano da tenere,,,,0,,0
0835201805041720109,2018-05-04,17:20,Scontro frontale,Mancata precedenza,,,,1,,0
0835201805081600110,2018-05-08,16:00,Tamponamento,Distanza sicurezza,,,,0,,0
0835201805100800111,2018-05-10,08:00,Scontro frontale laterale,Mano da tenere,,,,2,,0
0835201805102105112,2018-05-10,21:05,Tamponamento,Altro,,,,1,,0
0835201805110855113,2018-05-11,08:55,Scontro frontale laterale,Mancata precedenza,,,,1,,0
0835201805120900114,2018-05-12,09:00,Scontro frontale laterale,Mancata precedenza,,,,0,,0
0835201805121210115,2018-05-12,12:10,Tamponamento,Distanza sicurezza,,,,0,,0
0835201805131350116,2018-05-13,13:50,Scontro frontale laterale,Mano da tenere,,,,3,,0
0835201805161030117,2018-05-16,10:30,Tamponamento,Distanza sicurezza,,,,1,,0
0835201805161700118,2018-05-16,17:00,Scontro frontale laterale,Mancata precedenza,,,,0,,0
0835201805162000119,2018-05-16,20:00,Investimento di pedone,Mancata precedenza,,,,1,,0
0835201805181315120,2018-05-18,13:15,Tamponamento,Distrazione,,,,0,,0
0835201805191115121,2018-05-19,11:15,Investimento di pedone,Mancata precedenza,,,,1,,0
0835201805191945122,2018-05-19,19:45,Investimento di pedone,Mancata precedenza,,,,1,,0
0835201805230845123,2018-05-23,08:45,Scontro frontale laterale,Mancata precedenza,,,,1,,0
