ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
0912018010101000,2018-01-01,01:00,,,,,,2,,
0912018010103301,2018-01-01,03:30,,,,,,,,
0912018010103002,2018-01-01,03:00,,,,,,,,
0912018010108003,2018-01-01,08:00,,,,,,1,,
0912018010116554,2018-01-01,16:55,,,,,,,,
0912018010113155,2018-01-01,13:15,,,,,,1,,
0912018010117006,2018-01-01,17:00,,,,,,1,,
0912018010209157,2018-01-02,09:15,,,,,,,,
0912018010211308,2018-01-02,11:30,,,,,,,,
0912018010207509,2018-01-02,07:50,,,,,,,,
09120180102180010,2018-01-02,18:00,,,,,,,,
09120180102183011,2018-01-02,18:30,,,,,,2,,
09120180102220012,2018-01-02,22:00,,,,,,,,
09120180103094513,2018-01-03,09:45,,,,,,1,,
09120180103140014,2018-01-03,14:00,,,,,,2,,
09120180102070415,2018-01-02,07:04,,,,,,,,
09120180102110016,2018-01-02,11:00,,,,,,1,,
09120180103153017,2018-01-03,15:30,,,,,,1,,
09120180103162018,2018-01-03,16:20,,,,,,,,
09120180103210019,2018-01-03,21:00,,,,,,,,
09120180103211520,2018-01-03,21:15,,,,,,,,
09120180104010021,2018-01-04,01:00,,,,,,,,
09120180104060022,2018-01-04,06:00,,,,,,2,,
09120180104100023,2018-01-04,10:00,,,,,,,,
09120180104101524,2018-01-04,10:15,,,,,,1,,
09120180104113025,2018-01-04,11:30,,,,,,,,
09120180104110026,2018-01-04,11:00,,,,,,1,,
09120180105093027,2018-01-05,09:30,,,,,,1,,
09120180104143028,2018-01-04,14:30,,,,,,,,
09120180105160029,2018-01-05,16:00,,,,,,1,,
09120180105183530,2018-01-05,18:35,,,,,,1,,
09120180105151531,2018-01-05,15:15,,,,,,1,,
09120180105183032,2018-01-05,18:30,,,,,,6,,
09120180105230033,2018-01-05,23:00,,,,,,1,,
09120180106040034,2018-01-06,04:00,,,,,,,,
09120180106144535,2018-01-06,14:45,,,,,,1,,
09120180106153036,2018-01-06,15:30,,,,,,1,,
09120180107061537,2018-01-07,06:15,,,,,,1,,
09120180107111538,2018-01-07,11:15,,,,,,1,,
09120180107150039,2018-01-07,15:00,,,,,,,,
09120180105103040,2018-01-05,10:30,,,,,,1,,
09120180105151041,2018-01-05,15:10,,,,,,,,
09120180106123042,2018-01-06,12:30,,,,,,,,
09120180107014543,2018-01-07,01:45,,,,,,,,
09120180108113044,2018-01-08,11:30,,,,,,1,,
09120180105144545,2018-01-05,14:45,,,,,,,,
09120180108133046,2018-01-08,13:30,,,,,,,,
09120180108160047,2018-01-08,16:00,,,,,,1,,
09120180108185048,2018-01-08,18:50,,,,,,1,,
09120180108202549,2018-01-08,20:25,,,,,,1,,
09120180109063050,2018-01-09,06:30,,,,,,1,,
09120180109141051,2018-01-09,14:10,,,,,,1,,
09120180109140052,2018-01-09,14:00,,,,,,1,,
09120180109141053,2018-01-09,14:10,,,,,,1,,
09120180109143054,2018-01-09,14:30,,,,,,1,,
09120180109183055,2018-01-09,18:30,,,,,,1,,
09120180110014056,2018-01-10,01:40,,,,,,,,
09120180110080557,2018-01-10,08:05,,,,,,1,,
09120180110071558,2018-01-10,07:15,,,,,,,,
09120180110111559,2018-01-10,11:15,,,,,,1,,
09120180110111560,2018-01-10,11:15,,,,,,1,,
09120180108160061,2018-01-08,16:00,,,,,,1,,
09120180110074062,2018-01-10,07:40,,,,,,,,
09120180110085063,2018-01-10,08:50,,,,,,,,
09120180110140564,2018-01-10,14:05,,,,,,1,,
09120180110140065,2018-01-10,14:00,,,,,,1,,
09120180110150066,2018-01-10,15:00,,,,,,1,,
09120180110231567,2018-01-10,23:15,,,,,,1,,
09120180110221568,2018-01-10,22:15,,,,,,2,,
09120180111040069,2018-01-11,04:00,,,,,,1,,
09120180109084070,2018-01-09,08:40,,,,,,,,
09120180108081571,2018-01-08,08:15,,,,,,,,
09120180110161072,2018-01-10,16:10,,,,,,,,
09120180110160073,2018-01-10,16:00,,,,,,1,,
09120180111123074,2018-01-11,12:30,,,,,,1,,
09120180110160075,2018-01-10,16:00,,,,,,,,
09120180110222576,2018-01-10,22:25,,,,,,,,
09120180110093577,2018-01-10,09:35,,,,,,,,
09120180111131578,2018-01-11,13:15,,,,,,,,
09120180111160079,2018-01-11,16:00,,,,,,1,,
09120180111171580,2018-01-11,17:15,,,,,,1,,
09120180111155081,2018-01-11,15:50,,,,,,1,,
09120180112063582,2018-01-12,06:35,,,,,,3,,
09120180112105083,2018-01-12,10:50,,,,,,1,,
09120180112120584,2018-01-12,12:05,,,,,,1,,
09120180112164085,2018-01-12,16:40,,,,,,,,
09120180112191586,2018-01-12,19:15,,,,,,1,,
09120180112200087,2018-01-12,20:00,,,,,,1,,
09120180113024088,2018-01-13,02:40,,,,,,3,,
09120180113081589,2018-01-13,08:15,,,,,,1,,
09120180113104590,2018-01-13,10:45,,,,,,1,,
09120180113160091,2018-01-13,16:00,,,,,,,,
09120180113180092,2018-01-13,18:00,,,,,,1,,
09120180113211093,2018-01-13,21:10,,,,,,1,,
09120180113231594,2018-01-13,23:15,,,,,,2,,
09120180114011595,2018-01-14,01:15,,,,,,,,
09120180114031596,2018-01-14,03:15,,,,,,1,,
09120180114073097,2018-01-14,07:30,,,,,,,,
09120180114084598,2018-01-14,08:45,,,,,,,,
09120180114051099,2018-01-14,05:10,,,,,,,,
091201801141800100,2018-01-14,18:00,,,,,,2,,
091201801150215101,2018-01-15,02:15,,,,,,1,,
091201801041830102,2018-01-04,18:30,,,,,,,,
091201801110005103,2018-01-11,00:05,,,,,,1,,
091201801151425104,2018-01-15,14:25,,,,,,,,
091201801081530105,2018-01-08,15:30,,,,,,,,
091201801110036106,2018-01-11,00:36,,,,,,1,,
091201801111713107,2018-01-11,17:13,,,,,,1,,
091201801141250108,2018-01-14,12:50,,,,,,,,
091201801151620109,2018-01-15,16:20,,,,,,1,,
091201801151730110,2018-01-15,17:30,,,,,,,,
091201801160745111,2018-01-16,07:45,,,,,,1,,
091201801160845112,2018-01-16,08:45,,,,,,1,,
091201801121110113,2018-01-12,11:10,,,,,,,,
091201801161255114,2018-01-16,12:55,,,,,,1,,
091201801161410115,2018-01-16,14:10,,,,,,,,
091201801161720116,2018-01-16,17:20,,,,,,1,,
091201801161740117,2018-01-16,17:40,,,,,,1,,
091201801170100118,2018-01-17,01:00,,,,,,1,,
091201801170130119,2018-01-17,01:30,,,,,,1,,
091201801051225120,2018-01-05,12:25,,,,,,,,
091201801081410121,2018-01-08,14:10,,,,,,1,,
091201801171000122,2018-01-17,10:00,,,,,,,,
091201801171430123,2018-01-17,14:30,,,,,,,,
091201801171315124,2018-01-17,13:15,,,,,,1,,
091201801171445125,2018-01-17,14:45,,,,,,1,,
091201801172005126,2018-01-17,20:05,,,,,,,,
091201801172045127,2018-01-17,20:45,,,,,,,,
091201801172230128,2018-01-17,22:30,,,,,,1,,
091201801180820129,2018-01-18,08:20,,,,,,1,,
091201801180755130,2018-01-18,07:55,,,,,,1,,
091201801171355131,2018-01-17,13:55,,,,,,,,
091201801180910132,2018-01-18,09:10,,,,,,,,
091201801181045133,2018-01-18,10:45,,,,,,,,
091201801181515134,2018-01-18,15:15,,,,,,4,,
091201801181325135,2018-01-18,13:25,,,,,,1,,
091201801181800136,2018-01-18,18:00,,,,,,1,,
091201801182045137,2018-01-18,20:45,,,,,,1,,
091201801182050138,2018-01-18,20:50,,,,,,1,,
091201801181610139,2018-01-18,16:10,,,,,,,,
091201801190750140,2018-01-19,07:50,,,,,,1,,
091201801190800141,2018-01-19,08:00,,,,,,1,,
091201801191300142,2018-01-19,13:00,,,,,,,,
091201801191410143,2018-01-19,14:10,,,,,,1,,
091201801191605144,2018-01-19,16:05,,,,,,,,
091201801191750145,2018-01-19,17:50,,,,,,,,
091201801200015146,2018-01-20,00:15,,,,,,,,
091201801200105147,2018-01-20,01:05,,,,,,2,,
091201801200245148,2018-01-20,02:45,,,,,,,,
091201801200845149,2018-01-20,08:45,,,,,,1,,
091201801201230150,2018-01-20,12:30,,,,,,1,,
091201801201345151,2018-01-20,13:45,,,,,,1,,
091201801201710152,2018-01-20,17:10,,,,,,1,,
091201801201730153,2018-01-20,17:30,,,,,,,,
091201801210150154,2018-01-21,01:50,,,,,,,,
091201801210545155,2018-01-21,05:45,,,,,,2,,
091201801210900156,2018-01-21,09:00,,,,,,3,,
091201801210835157,2018-01-21,08:35,,,,,,,,
091201801211315158,2018-01-21,13:15,,,,,,2,,
091201801211100159,2018-01-21,11:00,,,,,,1,,
091201801212150160,2018-01-21,21:50,,,,,,3,,
091201801220900161,2018-01-22,09:00,,,,,,,,
091201801220855162,2018-01-22,08:55,,,,,,1,,
091201801221110163,2018-01-22,11:10,,,,,,,,
091201801221240164,2018-01-22,12:40,,,,,,1,,
091201801221450165,2018-01-22,14:50,,,,,,1,,
091201801100830166,2018-01-10,08:30,,,,,,1,,
091201801151525167,2018-01-15,15:25,,,,,,1,,
091201801171530168,2018-01-17,15:30,,,,,,,,
091201801181050169,2018-01-18,10:50,,,,,,,,
091201801211745170,2018-01-21,17:45,,,,,,,,
091201801221725171,2018-01-22,17:25,,,,,,1,,
