ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
063621540,2018-01-01,02:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
063621622,2018-01-01,01:15,Scontro frontale fra veicoli in marcia,,Sereno,Sufficiente,2,2,0,0
063621640,2018-01-01,04:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
063621646,2018-01-01,01:50,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,4,0,0,0
063621750,2018-01-01,00:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,1,3,0,0
063621850,2018-01-01,10:15,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,1,0,0
063622030,2018-01-01,12:00,Scontro frontale fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
063622032,2018-01-01,07:00,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,2,2,0,0
063622033,2018-01-01,10:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,1,0,0
063622269,2018-01-01,07:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
063622279,2018-01-01,13:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
063622293,2018-01-01,11:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
063622299,2018-01-01,06:30,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
063622302,2018-01-01,07:10,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Sufficiente,1,0,0,0
063622303,2018-01-01,09:50,Tamponamento,,Pioggia in atto,Buona,2,0,0,0
063622308,2018-01-02,00:45,Scontro frontale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
063622312,2018-01-01,07:45,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,2,0,0,0
063622313,2018-01-01,11:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
063622328,2018-01-01,04:12,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
063622329,2018-01-01,18:00,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,2,0,0,0
063622336,2018-01-01,02:05,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,2,0,0,0
063622354,2018-01-01,02:40,Tamponamento,,Sereno,Buona,3,0,0,0
063622358,2018-01-01,05:00,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,2,0,0,0
063622361,2018-01-01,19:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,0,1,0,0
063622366,2018-01-01,03:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,1,0,0,0
063622369,2018-01-01,05:30,Fuoriuscita dalla sede stradale,,Nuvoloso,Sufficiente,2,0,0,0
063622388,2018-01-01,18:00,Scontro frontale fra veicoli in marcia,,Nuvoloso,Sufficiente,4,0,0,0
063622407,2018-01-01,19:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
063622429,2018-01-01,03:45,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Sufficiente,1,0,0,0
063622430,2018-01-02,,Investimento di pedone,,Sereno,Buona,2,1,0,0
063622438,2018-01-01,06:00,Tamponamento Multiplo,,Nuvoloso,Sufficiente,3,0,0,0
063622444,2018-01-01,03:00,Tamponamento,,Sereno,Sufficiente,3,0,0,0
063622462,2018-01-01,22:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
063622467,2018-01-01,02:45,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,8,0,0,0
063622479,2018-01-01,19:45,Investimento di pedone,,Nuvoloso,Buona,1,1,0,0
063622487,2018-01-01,14:40,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
063622495,2018-01-01,19:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,1,2,0,0
063622508,2018-01-01,17:00,Infortunio per sola frenata improvvisa,,Nuvoloso,Sufficiente,1,0,0,0
063622528,2018-01-02,02:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
063622537,2018-01-01,13:25,Infortunio per sola frenata improvvisa,,Nuvoloso,Buona,2,1,0,0
063622541,2018-01-01,02:40,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,2,0,0,0
063622543,2018-01-01,01:25,Scontro laterale fra veicoli in marcia,,Sereno,Sufficiente,6,0,0,0
063622552,2018-01-01,04:00,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,0,1,0,0
063622554,2018-01-02,08:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
063622557,2018-01-01,17:15,Tamponamento Multiplo,,Nuvoloso,Buona,3,2,0,0
063622565,2018-01-01,23:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
063622586,2018-01-01,05:35,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Sufficiente,2,0,0,0
063622588,2018-01-01,11:40,Ribaltamento senza urto contro ostacolo fisso,,Nuvoloso,Buona,4,1,0,0
063622592,2018-01-01,02:15,Tamponamento,,Sereno,Buona,0,1,0,0
063622593,2018-01-01,10:30,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,0,1,0,0
063622600,2018-01-01,05:10,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,1,2,0,0
063622612,2018-01-01,07:00,Veicolo in marcia contro ostacolo fisso,,,,1,0,0,0
063622613,2018-01-01,07:30,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,1,0,0,0
063622617,2018-01-01,02:35,Tamponamento,,Sereno,Sufficiente,4,0,0,0
063622618,2018-01-01,05:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,1,0,0,0
063622620,2018-01-01,16:35,Veicolo in marcia contro veicolo fermo,,Sereno,Sufficiente,2,1,0,0
063622623,2018-01-01,06:15,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Sufficiente,3,0,0,0
063622626,2018-01-01,07:30,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
063622632,2018-01-01,21:20,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,2,0,0,0
063622654,2018-01-01,17:15,Tamponamento,,Nuvoloso,Buona,7,0,0,0
063622655,2018-01-01,21:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Insufficiente,5,0,0,0
063622657,2018-01-01,21:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
063622663,2018-01-02,10:35,Investimento di pedone,,Sereno,Buona,1,1,0,0
063622672,2018-01-02,10:30,Scontro laterale fra veicoli in marcia,,Sereno,Buona,1,1,0,0
063622692,2018-01-01,17:50,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Buona,5,0,0,0
063622733,2018-01-02,05:30,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,1,0,0,0
063622785,2018-01-02,07:35,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,1,0,0
063622825,2018-01-02,08:45,Tamponamento,,Sereno,Buona,2,0,0,0
063622914,2018-01-02,10:25,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
063622950,2018-01-01,15:40,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,2,0,0,0
063622966,2018-01-01,07:00,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,1,0,0,0
063622981,2018-01-01,12:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,5,0,0,0
063623014,2018-01-02,12:30,Infortunio per sola frenata improvvisa,,Sereno,Buona,1,1,0,0
063623088,2018-01-02,12:50,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
063623169,2018-01-02,12:20,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,5,0,0
063623190,2018-01-02,13:10,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,0,1,0,0
063623197,2018-01-02,16:50,Veicolo in marcia contro veicolo fermo,,Sereno,Sufficiente,2,0,0,0
063623215,2018-01-02,11:30,Investimento di pedone,,Sereno,Sufficiente,1,1,0,0
063623232,2018-01-02,15:15,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
063623315,2018-01-02,19:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,4,0,0,0
063623543,2018-01-02,19:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,2,1,0,0
063623544,2018-01-02,18:15,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,4,0,0,0
063623545,2018-01-02,18:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
063623553,2018-01-01,20:40,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
063623559,2018-01-02,17:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,2,0,0,0
063623561,2018-01-02,14:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,6,0,0,0
063623562,2018-01-02,15:05,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,2,0,0,0
063623564,2018-01-02,19:00,Tamponamento Multiplo,,Sereno,Sufficiente,2,2,0,0
063623568,2018-01-02,15:50,Tamponamento,,Sereno,Buona,2,0,0,0
063623570,2018-01-02,17:50,Tamponamento Multiplo,,Sereno,Sufficiente,4,1,0,0
063623571,2018-01-02,19:55,Tamponamento,,Sereno,Buona,2,0,0,0
063623572,2018-01-02,15:30,Investimento di pedone,,Sereno,Buona,1,1,0,0
063623575,2018-01-02,18:00,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Sufficiente,1,1,0,0
063623578,2018-01-02,22:40,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,0,0,0
063623580,2018-01-02,11:00,Veicolo in marcia contro treno,,Sereno,Buona,3,0,0,0
063623581,2018-01-02,13:45,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Buona,0,1,0,0
063623583,2018-01-02,19:40,Scontro frontale fra veicoli in marcia,,Sereno,Sufficiente,2,1,0,0
063623585,2018-01-02,08:00,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
063623589,2018-01-02,15:10,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,2,0,0,0
063623590,2018-01-02,13:50,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
