ID,Modello,Targa,Tipo veicolo
3802129,Autovettura privata,,
3802129,Autovettura privata,,
3802401,Autovettura privata,,
3802401,Autovettura privata,,
3802401,Autovettura privata,,
3802401,Autovettura privata,,
3802401,Autovettura privata,,
3802402,Autovettura privata,,
3802628,Autovettura privata,,
3802628,Autovettura privata,,
3802658,Autovettura privata,,
3802658,Autovettura privata,,
3802658,Autovettura privata,,
3802658,Autovettura privata,,
3802658,Autovettura privata,,
3802778,Autovettura privata,,
3802778,Autovettura privata,,
3802778,Motociclo a solo,,
3802849,Autovettura privata,,
3802849,Autovettura privata,,
3802849,Autovettura privata,,
3803043,Autovettura privata,,
3803043,Autovettura privata,,
3803043,Autovettura privata,,
3803047,Autovettura privata,,
3803047,Autovettura privata,,
3803049,,,
3803049,Motociclo a solo,,
3803054,Autovettura privata,,
3803054,Autovettura privata,,
3803054,Autovettura privata,,
3803054,Autovettura privata,,
3803054,Autovettura privata,,
3803054,Autovettura privata,,
3803055,Autovettura privata,,
3803055,Autovettura privata,,
3803055,Autovettura privata,,
3803055,Autovettura privata,,
3803066,Autovettura privata,,
3803066,Autovettura privata,,
3803066,Autovettura privata,,
3803067,Autovettura privata,,
3803067,Autovettura privata,,
3803074,Autovettura di polizia,,
3803074,Autovettura di polizia,,
3803074,Autovettura privata,,
3803082,Autovettura privata,,
3803083,Autovettura privata,,
3803083,Autovettura privata,,
3803084,Autovettura privata,,
3803084,Motociclo a solo,,
3803099,Motociclo a solo,,
3803102,Autovettura privata,,
3803115,Autovettura privata,,
3803115,Autovettura privata,,
3803119,Autovettura privata,,
3803119,Autovettura privata,,
3803126,Autovettura privata,,
3803126,Autovettura privata,,
3803126,Autovettura privata,,
3803138,Motociclo a solo,,
3803146,Autovettura privata,,
3803146,Autovettura privata,,
3803146,Autovettura privata,,
3803146,Autovettura privata,,
3803146,Autovettura privata,,
3803146,Autovettura privata,,
3803146,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803168,Autovettura privata,,
3803180,Autovettura privata,,
3803180,Autovettura privata,,
3803180,Autovettura privata,,
3803180,Autovettura privata,,
3803200,Autovettura privata,,
3803200,Autovettura privata,,
3803200,Autobus turistico,,
3803200,Autobus turistico,,
3803208,Autovettura privata,,
3803208,Velocipede,,
3803210,Autovettura privata,,
3803221,Autovettura privata,,
3803223,Autovettura privata,,
3803223,Autovettura privata,,
3803223,Autovettura privata,,
3803260,Autovettura privata,,
3803260,Autovettura privata,,
3803260,Autovettura privata,,
3803260,Autovettura privata,,
3803291,Autovettura privata,,
3803291,Autovettura privata,,
3803294,Autovettura privata,,
3803305,Autovettura privata,,
3803305,Autovettura privata,,
3803305,Autocarro inferiore 35 q.,,
3803308,Autovettura privata,,
3803311,Autovettura pubblica,,
3803311,Motociclo a solo,,
3803322,Autovettura privata,,
3803322,Autovettura privata,,
3803322,Autocarro inferiore 35 q.,,
3803322,Autocarro inferiore 35 q.,,
3803325,Autovettura privata,,
3803325,Autovettura privata,,
3803325,Autovettura privata,,
3803328,Velocipede,,
3803328,Autovettura privata,,
3803346,Autovettura privata,,
3803353,Autocarro superiore 35 q.,,
3803353,Autovettura privata,,
3803367,Autovettura privata,,
3803367,Autovettura privata,,
3803367,Autovettura privata,,
3803402,Autobus urbano,,
3803402,Autovettura privata,,
3803404,Autovettura privata,,
3803404,Autovettura privata,,
3803404,Autovettura privata,,
3803440,Autovettura privata,,
3803440,Autovettura privata,,
3803440,Autovettura privata,,
3803465,Autovettura privata,,
3803465,Autovettura privata,,
3803465,Autovettura privata,,
3803499,,,
3803499,Autovettura privata,,
3803506,Autocarro inferiore 35 q.,,
