anno,mese,organo,organosede,data,orario,tipostrada,zona,localita,LAT,LON,abitato,tipo_sx,causa,n_veicoli,n_pesanti,solo_danni,feriti,decessi
2018,Gennaio,Polizia Municipale,MATERA,lunedì 1 gennaio 2018,"16,50",Provinciale,S.P. Matera-Montescaglioso,km 2+600,40.639179018502254,16.622164249420166,no,Scontro frontale laterale,Distrazione,2,0,no,3,0
2018,Gennaio,Polizia Municipale,MATERA,martedì 2 gennaio 2018,"10,20",Comunale,Matera,via zanardelli,,,si,Tamponamento,Distrazione,2,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,martedì 2 gennaio 2018,"16,50",Comunale,Matera,"vai annunziatella altezza ""Linea Sport""",40.67079852,16.60556406,si,Investimento di pedone,Mancata precedenza,1,0,no,1,0
2018,Gennaio,Polizia Municipale,MATERA,mercoledì 3 gennaio 2018,"17,15",Comunale,Matera,Via Trabaci c/o rotatoria Via La Martella,40.67351842,16.58615291,si,Altro,Mancata precedenza,2,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,venerdì 5 gennaio 2018,"12,40",Comunale,Matera,Via Da Vinci incr. Via Pizzilli- Vico III Nazionale,40.67642331,16.59537435,si,Scontro frontale laterale,Mancata precedenza,2,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,domenica 7 gennaio 2018,"18,40",Comunale,Matera,Via Nazionale n. 56,40.67357741,16.60001725,si,Scontro frontale laterale,Distrazione,2,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,lunedì 8 gennaio 2018,"8,05",Comunale,Matera,Via Parini intersezione Via Petrarca,40.67344315,16.59621119,si,Scontro frontale laterale,Mancata precedenza,2,0,no,3,0
2018,Gennaio,Polizia Municipale,MATERA,lunedì 8 gennaio 2018,"10,10",Comunale,Matera,"Area Ospedale ""Madonna delle Grazie"" Parcheggio",40.6542876,16.61323786,si,Scontro frontale laterale,Mancata precedenza,2,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,martedì 9 gennaio 2018,"8,00",Comunale,Matera,Via A.Moro altezza n. 26,40.66573479,16.60027206,si,Urto contro ostacolo fisso,Altro,1,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,martedì 9 gennaio 2018,"19,50",Comunale,Matera,Via Don Minzoni ang. Piazza Matteotti,40.66666253,16.60217911,si,Tamponamento,Distrazione,2,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,mercoledì 10 gennaio 2018,"9,30",Comunale,Matera,Via Dante fr. civ. n. 61/G,40.6723609,16.59390986,si,Urto contro ostacolo fisso,Distrazione,1,0,si,0,0
2018,Gennaio,Polizia Municipale,MATERA,giovedì 11 gennaio 2018,"17,20",Comunale,Matera,Via dei Peucezi civ. 20-22,40.68247476,16.58620387,si,Investimento di pedone,Mancata precedenza,1,0,no,1,0
